ID;InkomensbronEersteJaar;InkomensbronTweedeJaar;Perioden;Koopkrachtontwikkeling_1;k_10ePercentiel_2;k_25ePercentiel_3;k_50ePercentiel_4;k_75ePercentiel_5;k_90ePercentiel_6;PercentageVanDeBevolking_7;PercentageVanCategorieIn1eJaar_8;PercentageMetInkomensdaling_9
0;Totaal personen;Totaal personen;2001;5.0;-16.0;-2.8;5.0;15.1;32.0;100;100;32.0
1;Totaal personen;Totaal personen;2002;1.6;-19.0;-5.2;1.6;9.0;23.0;100;100;40.0
2;Totaal personen;Totaal personen;2003;0.1;-20.0;-6.4;0.1;6.8;19.0;100;100;49.0
3;Totaal personen;Totaal personen;2004;0.7;-18.0;-5.4;0.7;8.2;24.0;100;100;46.0
4;Totaal personen;Totaal personen;2005;-0.3;-19.0;-6.5;-0.3;7.7;23.0;100;100;52.0
5;Totaal personen;Totaal personen;2006;3.0;-16.0;-3.6;3.0;12.0;28.0;100;100;36.0
6;Totaal personen;Totaal personen;2007;3.1;-14.0;-2.4;3.1;11.6;29.0;100;100;33.0
7;Totaal personen;Totaal personen;2008;1.4;-17.0;-4.6;1.4;9.1;23.0;100;100;42.0
8;Totaal personen;Totaal personen;2009;1.9;-19.0;-5.2;1.9;9.1;23.0;100;100;41.0
9;Totaal personen;Totaal personen;2010;-0.5;-21.0;-7.5;-0.5;6.0;21.0;100;100;54.0
10;Totaal personen;Totaal personen;2011;-0.7;-19.0;-6.4;-0.7;6.2;21.0;100;100;54.0
11;Totaal personen;Totaal personen;2012;-1.1;-20.0;-7.3;-1.1;5.1;19.0;100;100;58.0
12;Totaal personen;Totaal personen;2013;-1.2;-20.0;-7.2;-1.2;5.7;21.0;100;100;56.0
13;Totaal personen;Totaal personen;2014;1.8;-17.0;-4.2;1.8;9.3;27.0;100;100;38.0
14;Totaal personen;Totaal personen;2015;1.1;-18.0;-4.4;1.1;7.9;22.0;100;100;42.0
15;Totaal personen;1 Inkomen uit arbeid;2001;6.9;-12.0;-1.4;6.9;16.5;32.0;63;63;28.0
16;Totaal personen;1 Inkomen uit arbeid;2002;2.1;-17.0;-5.0;2.1;9.4;21.0;63;63;40.0
17;Totaal personen;1 Inkomen uit arbeid;2003;0.6;-18.0;-6.0;0.6;7.3;19.0;62;62;47.0
18;Totaal personen;1 Inkomen uit arbeid;2004;1.3;-16.0;-5.2;1.3;8.4;21.0;61;61;44.0
19;Totaal personen;1 Inkomen uit arbeid;2005;0.1;-18.0;-6.5;0.1;7.8;20.0;61;61;50.0
20;Totaal personen;1 Inkomen uit arbeid;2006;4.1;-14.0;-2.9;4.1;12.6;27.0;61;61;33.0
21;Totaal personen;1 Inkomen uit arbeid;2007;3.8;-13.0;-2.3;3.8;11.7;25.0;61;61;32.0
22;Totaal personen;1 Inkomen uit arbeid;2008;1.9;-16.0;-4.6;1.9;9.2;21.0;61;61;41.0
23;Totaal personen;1 Inkomen uit arbeid;2009;3.0;-15.0;-3.8;3.0;10.1;22.0;60;60;37.0
24;Totaal personen;1 Inkomen uit arbeid;2010;-0.1;-18.0;-6.5;-0.1;6.3;19.0;59;59;51.0
25;Totaal personen;1 Inkomen uit arbeid;2011;0.2;-16.0;-5.6;0.2;6.6;18.0;58;58;49.0
26;Totaal personen;1 Inkomen uit arbeid;2012;-0.7;-17.0;-6.5;-0.7;5.3;17.0;58;58;54.0
27;Totaal personen;1 Inkomen uit arbeid;2013;0.2;-16.0;-5.6;0.2;6.6;19.0;57;57;49.0
28;Totaal personen;1 Inkomen uit arbeid;2014;2.8;-14.0;-3.4;2.8;9.6;24.0;56;56;36.0
29;Totaal personen;1 Inkomen uit arbeid;2015;2.5;-14.0;-3.0;2.5;9.2;22.0;55;55;36.0
30;Totaal personen;1.1 Loon werknemer;2001;7.4;-12.0;-0.9;7.4;16.9;32.0;54;54;27.0
31;Totaal personen;1.1 Loon werknemer;2002;2.1;-17.0;-4.9;2.1;9.5;21.0;53;53;40.0
