ID;AllePerioden;VerdiendePremieSchadeverzekeringen_1;GeledenSchadeSchadeverzekeringen_2
0;1951;96.0;51.0
1;1952;107.0;58.0
2;1953;117.0;62.0
3;1954;128.0;67.0
4;1955;148.0;78.0
5;1956;169.0;91.0
6;1957;192.0;107.0
7;1958;213.0;122.0
8;1959;236.0;136.0
9;1960;268.0;155.0
10;1961;296.0;176.0
11;1962;368.0;231.0
12;1963;423.0;278.0
13;1964;849.0;313.0
14;1965;580.0;370.0
15;1966;660.0;432.0
16;1967;750.0;497.0
17;1968;843.0;564.0
18;1969;980.0;673.0
19;1970;1144.0;818.0
20;1971;1305.0;946.0
21;1972;1550.0;1138.0
22;1973;1795.0;1265.0
23;1974;2045.0;1425.0
24;1975;2293.0;1654.0
25;1976;2558.0;1909.0
26;1977;2851.0;2129.0
27;1978;3309.0;2413.0
28;1979;3711.0;2675.0
29;1980;4144.0;2905.0
30;1981;4375.0;3131.0
31;1982;4455.0;3286.0
32;1983;4551.0;3435.0
33;1984;4725.0;3586.0
34;1985;5150.0;4882.0
35;1986;5463.0;5066.0
36;1987;5974.0;5627.0
37;1988;6314.0;5691.0
38;1989;6773.0;5879.0
39;1990;7246.0;7551.0
40;1991;7580.0;6583.0
41;1992;7727.0;7708.0
42;1993;8706.0;8522.0
43;1994;;
44;1995;10681.0;8217.0
45;1996;11101.0;8425.0
46;1997;11807.0;9060.0
