ID;Geslacht;GeboortelandOuders;Herkomstland;Perioden;Personen_1;GemiddeldGestandaardiseerdInkomen_2;PersonenMetInkomen_3;GemiddeldPersoonlijkInkomen_4;PersonenEconomischZelfstandig_5;PersonenMetLaagInkomen_6
0;Totaal mannen en vrouwen;Totaal;Totaal;2011;16309.8;26.9;12807.3;28.8;67.7;5.8
1;Totaal mannen en vrouwen;Totaal;Totaal;2012;16378.0;27.1;12891.6;29.1;67.6;6.7
2;Totaal mannen en vrouwen;Totaal;Totaal;2013;16429.5;27.3;12951.4;29.4;67.1;7.4
3;Totaal mannen en vrouwen;Totaal;Totaal;2014;16454.5;28.9;13005.8;29.9;67.3;7.2
4;Totaal mannen en vrouwen;Totaal;Totaal;2015;16528.1;28.7;13115.5;30.4;68.1;6.9
5;Totaal mannen en vrouwen;Totaal;Totaal;2016;16595.2;30.0;13225.4;31.0;69.2;6.5
6;Totaal mannen en vrouwen;Totaal;Totaal;2017;16707.3;31.1;13396.7;32.0;70.3;6.3
7;Totaal mannen en vrouwen;Totaal;Totaal;2018;16806.3;31.5;13551.8;32.3;71.7;6.3
8;Totaal mannen en vrouwen;Totaal;Totaal;2019;16909.9;33.9;13702.3;33.4;72.8;5.9
9;Totaal mannen en vrouwen;Totaal;Totaal;2020;17018.5;34.5;13805.8;34.3;72.4;5.4
10;Totaal mannen en vrouwen;Totaal;Totaal;2021;17098.8;36.1;13960.8;35.7;74.1;5.0
11;Totaal mannen en vrouwen;Totaal;Totaal;2022;17203.8;38.2;14179.3;37.4;76.2;3.6
12;Totaal mannen en vrouwen;Totaal;Totaal;2023;17389.9;41.2;14348.7;39.7;76.2;3.3
13;Totaal mannen en vrouwen;Totaal;Nederland;2011;12887.7;27.9;10276.8;29.6;70.7;3.8
14;Totaal mannen en vrouwen;Totaal;Nederland;2012;12895.2;28.1;10311.7;29.9;70.7;4.3
15;Totaal mannen en vrouwen;Totaal;Nederland;2013;12898.5;28.4;10333.5;30.3;70.4;4.7
16;Totaal mannen en vrouwen;Totaal;Nederland;2014;12872.4;30.1;10341.6;30.8;70.9;4.5
17;Totaal mannen en vrouwen;Totaal;Nederland;2015;12877.9;29.8;10386.2;31.2;71.7;4.3
18;Totaal mannen en vrouwen;Totaal;Nederland;2016;12864.9;31.2;10420.9;31.9;72.9;4.0
19;Totaal mannen en vrouwen;Totaal;Nederland;2017;12873.6;32.4;10490.6;33.1;74.1;3.8
20;Totaal mannen en vrouwen;Totaal;Nederland;2018;12860.5;32.7;10538.2;33.3;75.4;3.8
21;Totaal mannen en vrouwen;Totaal;Nederland;2019;12848.1;35.4;10580.4;34.4;76.3;3.5
22;Totaal mannen en vrouwen;Totaal;Nederland;2020;12834.9;35.9;10583.8;35.4;76.3;3.2
23;Totaal mannen en vrouwen;Totaal;Nederland;2021;12820.5;37.5;10636.7;36.6;77.8;2.9
24;Totaal mannen en vrouwen;Totaal;Nederland;2022;12800.4;39.7;10704.4;38.3;79.6;2.1
25;Totaal mannen en vrouwen;Totaal;Nederland;2023;12758.1;42.9;10698.8;40.7;79.9;1.7
26;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);2011;1036.1;26.2;812.1;28.2;62.1;8.2
27;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);2012;1060.2;26.2;831.0;28.4;62.2;9.4
28;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);2013;1081.7;26.3;845.8;28.7;61.8;10.3
29;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);2014;1105.3;27.8;864.4;29.3;62.3;9.8
30;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);2015;1135.0;27.7;888.4;29.9;63.3;9.1
31;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);2016;1162.5;28.8;910.4;30.4;64.9;8.4
32;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);2017;1193.9;29.8;938.4;31.4;66.5;7.9
33;Totaal mannen en vrouwen;Totaal;Europa (exclusief Nederland);2018;1232.3;30.2;973.1;32.0;68.6;7.6
