ID;Functies;Perioden;TotaalUitgaven_1;LonenEnSocialeLasten_2;Aankopen_3;RenteEnPacht_4;TotaalOverdrachten_5;Inkomensoverdrachten_6;Kapitaaloverdrachten_7;Investeringen_8;TotaalInkomsten_9;Verkopen_10;RentePachtEnDividend_11;Inkomensoverdrachten_12;Kapitaalinkomsten_13
0;Totaal beleidsterreinen;2003;130690;10743;12298;10750;92073;85517;6556;4826;117151;2951;6095;102961;5144
1;Totaal beleidsterreinen;2004;130016;10717;11710;10655;92900;86229;6671;4035;121374;3042;7007;106059;5266
2;Totaal beleidsterreinen;2005;132760;10846;12147;10407;95532;89051;6481;3828;133263;3383;8618;115788;5474
3;Totaal beleidsterreinen;2006;141174;11216;12944;10259;102672;96223;6449;4083;145259;3256;11307;125068;5628
4;Totaal beleidsterreinen;2007;150865;11691;13886;10721;110174;102963;7212;4393;153593;3096;11198;133495;5804
5;Totaal beleidsterreinen;2008;159305;12137;14915;11559;116006;107973;8032;4689;162061;3393;16925;135862;5881
6;Totaal beleidsterreinen;2009;172869;12618;16032;10786;128535;116089;12446;4899;153506;3427;14579;129500;5999
7;Totaal beleidsterreinen;2010*;183718;12948;15844;9607;140301;121909;18392;5018;159094;4113;13638;134990;6352
8;Totaal algemeen overheidsbestuur;2003;43996;2372;3950;10784;26382;25013;1369;508;107439;788;913;101619;4120
9;Totaal algemeen overheidsbestuur;2004;42453;2253;3894;10660;25225;23988;1237;421;111021;798;1203;104685;4336
10;Totaal algemeen overheidsbestuur;2005;43209;2323;4376;10335;25680;24208;1472;494;121178;820;1193;114453;4713
11;Totaal algemeen overheidsbestuur;2006;45567;2424;4338;10258;28034;26410;1625;513;130456;916;1371;123467;4703
12;Totaal algemeen overheidsbestuur;2007;48380;2582;4621;10720;29868;28201;1667;589;139203;1021;1545;131806;4832
13;Totaal algemeen overheidsbestuur;2008;51923;2603;4848;11558;32312;30276;2036;602;142181;1013;2331;134018;4820
14;Totaal algemeen overheidsbestuur;2009;48769;2679;2850;10786;31758;29061;2698;696;133507;910;2417;127620;2561
15;Totaal algemeen overheidsbestuur;2010*;51677;2770;2953;9607;35733;32276;3457;614;137705;897;1167;133036;2605
16;Algemeen overheidsbestuur (algemeen);2003;2561;0;2561;0;0;0;0;0;2561;0;0;0;2561
17;Algemeen overheidsbestuur (algemeen);2004;2577;0;2577;0;0;0;0;0;2577;0;0;0;2577
18;Algemeen overheidsbestuur (algemeen);2005;2766;0;2648;0;0;0;0;118;2766;118;0;0;2648
19;Algemeen overheidsbestuur (algemeen);2006;2788;0;2667;0;0;0;0;121;2788;121;0;0;2667
20;Algemeen overheidsbestuur (algemeen);2007;2918;0;2794;0;0;0;0;124;2918;124;0;0;2794
21;Algemeen overheidsbestuur (algemeen);2008;2993;0;2874;0;0;0;0;119;2993;119;0;0;2874
22;Algemeen overheidsbestuur (algemeen);2009;84;0;84;0;0;0;0;0;84;0;0;0;84
23;Algemeen overheidsbestuur (algemeen);2010*;42;0;42;0;0;0;0;0;42;0;0;0;42
24;Uitvoerende, wetgevende overheidsorganen;2003;8306;2148;1200;476;4069;4066;3;414;104665;704;786;101619;1557
25;Uitvoerende, wetgevende overheidsorganen;2004;8904;2164;1167;552;4677;4677;0;344;108235;769;1059;104649;1758
26;Uitvoerende, wetgevende overheidsorganen;2005;9014;2220;1478;489;4542;4544;-2;286;118068;658;933;114414;2064
27;Uitvoerende, wetgevende overheidsorganen;2006;8998;2316;1370;601;4416;4423;-7;296;127266;715;1108;123410;2034
28;Uitvoerende, wetgevende overheidsorganen;2007;9077;2453;1387;754;4149;4197;-48;333;135781;808;1194;131746;2032
29;Uitvoerende, wetgevende overheidsorganen;2008;9502;2463;1464;615;4616;4545;70;345;137884;820;1155;133970;1939
30;Uitvoerende, wetgevende overheidsorganen;2009;6620;2514;1746;59;1758;1552;206;542;132134;850;1320;127571;2393
31;Uitvoerende, wetgevende overheidsorganen;2010*;8788;2576;1822;0;3868;3868;0;522;136939;840;785;132962;2352
32;Hulp aan het buitenland;2003;3234;15;21;0;3128;2588;540;71;16;0;14;0;1
33;Hulp aan het buitenland;2004;3275;12;12;0;3182;2628;554;69;11;0;10;0;0
34;Hulp aan het buitenland;2005;3516;10;25;0;3412;2671;740;69;14;0;14;0;0
35;Hulp aan het buitenland;2006;3998;11;39;0;3879;3138;741;68;12;1;11;0;0
36;Hulp aan het buitenland;2007;4134;9;51;0;3991;3218;773;83;15;1;14;0;0
37;Hulp aan het buitenland;2008;4525;8;53;0;4373;3429;944;92;13;1;11;0;0
38;Hulp aan het buitenland;2009;4914;6;114;0;4695;3301;1394;100;69;4;8;0;58
39;Hulp aan het buitenland;2010*;5608;6;133;0;5427;3143;2284;42;234;6;38;0;189
40;Algemene dienstverlening gecentraliseerd;2003;471;200;157;0;90;64;26;23;88;84;4;0;0
