ID;Geslacht;OnderwijspositieBasisjaar;PositieInVolgendSchooljaar;Migratieachtergrond;Generatie;Regiokenmerken;Perioden;AantalDeelnemers_1;PercentageDeelnemers_2
0;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Nederland;2004/'05 naar 2005/'06;435317.0;100.0
1;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Nederland;2005/'06 naar 2006/'07;483812.0;100.0
2;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Nederland;2006/'07 naar 2007/'08;496227.0;100.0
3;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Nederland;2007/'08 naar 2008/'09;509642.0;100.0
4;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Nederland;2008/'09 naar 2009/'10;513925.0;100.0
5;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Nederland;2009/'10 naar 2010/'11;522274.0;100.0
6;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Nederland;2010/'11 naar 2011/'12;528162.0;100.0
7;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Nederland;2011/'12 naar 2012/'13;519962.0;100.0
8;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Nederland;2012/'13 naar 2013/'14;510857.0;100.0
9;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Nederland;2013/'14 naar 2014/'15;498108.0;100.0
10;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Nederland;2014/'15 naar 2015/'16;481405.0;100.0
11;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Nederland;2015/'16 naar 2016/'17;476275.0;100.0
12;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Nederland;2016/'17 naar 2017/'18;483362.0;100.0
13;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Vier grootste gemeenten (G4);2004/'05 naar 2005/'06;49657.0;100.0
14;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Vier grootste gemeenten (G4);2005/'06 naar 2006/'07;58212.0;100.0
15;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Vier grootste gemeenten (G4);2006/'07 naar 2007/'08;60045.0;100.0
16;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Vier grootste gemeenten (G4);2007/'08 naar 2008/'09;62260.0;100.0
17;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Vier grootste gemeenten (G4);2008/'09 naar 2009/'10;61720.0;100.0
18;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Vier grootste gemeenten (G4);2009/'10 naar 2010/'11;61976.0;100.0
19;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Vier grootste gemeenten (G4);2010/'11 naar 2011/'12;63001.0;100.0
20;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Vier grootste gemeenten (G4);2011/'12 naar 2012/'13;61493.0;100.0
21;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Vier grootste gemeenten (G4);2012/'13 naar 2013/'14;60240.0;100.0
22;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Vier grootste gemeenten (G4);2013/'14 naar 2014/'15;59142.0;100.0
23;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Vier grootste gemeenten (G4);2014/'15 naar 2015/'16;56834.0;100.0
24;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Vier grootste gemeenten (G4);2015/'16 naar 2016/'17;56311.0;100.0
25;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Vier grootste gemeenten (G4);2016/'17 naar 2017/'18;56768.0;100.0
26;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Gemeenten >= 100.000 inwoners (excl. G4);2004/'05 naar 2005/'06;77207.0;100.0
27;Totaal mannen en vrouwen;Totaal mbo (excl. extranei);Totaal;Totaal;Totaal;Gemeenten >= 100.000 inwoners (excl. G4);2005/'06 naar 2006/'07;86927.0;100.0
