ID;TypeOfSelfEmployment;BranchesSIC2008;PersonCharacteristics;Sex;Periods;SelfEmployedPersons_1;AveragePersonalIncome_2;MedianPersonalIncome_3;AverageSelfEmployedIncome_4;MedianSelfEmployedIncome_5;AverageEquivalisedIncome_6;MedianEquivalisedIncome_7;SelfEmployedWithCompanyCapital_8;MedianWealth_9;MedianCompanyCapital_10;SelfEmployedPersons_11;AveragePersonalIncome_12;MedianPersonalIncome_13;AverageSelfEmployedIncome_14;MedianSelfEmployedIncome_15;AverageEquivalisedIncome_16;MedianEquivalisedIncome_17;SelfEmployedPersonsWithCompCapital_18;MedianWealth_19;MedianCompanyCapital_20
0;Self-employed;A-U All economic activities;Total persons;Total male and female;2007;1005.5;38.0;28.4;36.8;26.9;32.8;26.5;839.7;226.4;33.2;1523.0;37.6;28.8;25.5;12.1;31.4;25.8;1055.9;199.7;26.6
1;Self-employed;A-U All economic activities;Total persons;Total male and female;2008;1054.8;38.7;28.9;37.8;27.6;31.4;26.9;885.0;211.1;32.8;1604.8;38.3;29.4;26.2;12.2;30.5;26.3;1116.3;184.8;25.9
2;Self-employed;A-U All economic activities;Total persons;Total male and female;2009;1076.8;36.6;26.6;35.7;25.5;29.8;25.9;933.9;182.0;29.1;1654.3;36.9;28.1;24.5;11.1;29.4;25.8;1185.0;160.0;23.0
3;Self-employed;A-U All economic activities;Total persons;Total male and female;2010;1056.4;38.3;28.2;37.2;26.9;30.7;26.3;;;;1645.5;38.2;29.3;25.2;12.3;30.0;26.0;;;
4;Self-employed;A-U All economic activities;Total persons;Total male and female;2011;1093.1;38.8;29.4;38.3;28.2;34.9;29.6;949.2;167.5;27.9;1679.1;38.9;30.3;26.2;13.2;33.9;29.1;1205.2;148.4;22.6
5;Self-employed;A-U All economic activities;Total persons;Total male and female;2012;1106.2;38.1;28.2;37.5;27.1;34.7;29.3;966.6;145.4;27.7;1695.5;38.6;29.7;25.8;12.9;33.8;28.9;1230.3;127.7;22.4
6;Self-employed;A-U All economic activities;Total persons;Total male and female;2013;1120.2;37.9;27.8;37.0;26.5;33.9;29.0;977.2;116.5;27.3;1710.5;38.6;29.3;25.6;12.9;33.4;28.9;1245.4;99.7;22.3
7;Self-employed;A-U All economic activities;Total persons;Total male and female;2014;1149.7;39.1;28.9;38.1;27.5;38.5;30.4;1000.7;112.3;26.4;1733.1;39.8;30.1;26.8;14.0;37.3;30.1;1273.6;97.9;21.7
8;Self-employed;A-U All economic activities;Total persons;Total male and female;2015;1180.0;39.8;29.9;38.8;28.4;35.7;30.9;1017.2;118.2;27.3;1763.6;40.3;30.7;27.5;14.7;35.1;30.6;1295.1;104.5;22.5
9;Self-employed;A-U All economic activities;Total persons;Total male and female;2016;1208.4;41.5;31.6;40.5;30.0;38.3;32.8;1054.1;127.5;29.0;1791.0;41.6;32.0;28.8;15.8;37.4;32.4;1340.2;113.6;23.9
10;Self-employed;A-U All economic activities;Total persons;Total male and female;2017;1223.5;43.6;33.2;42.1;31.6;40.2;34.2;1072.6;144.3;30.9;1841.8;45.3;33.5;30.0;16.6;39.9;33.6;1377.4;130.8;26.1
11;Self-employed;A-U All economic activities;Total persons;Total male and female;2018;1261.8;44.9;35.0;43.8;33.4;41.6;35.0;1110.1;170.4;33.6;1896.2;44.2;34.6;30.7;17.4;40.0;34.2;1412.6;151.7;27.7
12;Self-employed;A-U All economic activities;Total persons;Total male and female;2019;1294.4;46.5;36.5;45.2;34.8;47.5;36.7;1143.6;194.0;35.8;1957.7;45.3;35.6;31.6;18.0;44.9;35.8;1453.3;174.2;29.9
13;Self-employed;A-U All economic activities;Total persons;Total male and female;2020;1291.9;47.4;37.3;45.5;34.9;46.0;38.1;1150.4;221.7;38.9;1976.7;45.8;35.8;31.4;16.8;43.7;37.0;1488.8;194.7;31.9
14;Self-employed;A-U All economic activities;Total persons;Total male and female;2021;1330.8;50.3;40.1;48.5;38.0;47.8;40.1;1181.2;257.4;41.6;2089.9;48.3;38.2;32.7;17.7;45.6;39.0;1529.0;229.1;34.4
15;Self-employed;A-U All economic activities;Total persons;Total male and female;2022;1395.9;52.4;42.9;50.8;40.8;50.5;42.1;1227.0;328.9;45.5;2167.5;50.2;40.7;34.6;20.4;48.1;41.1;1579.8;301.0;38.1
16;Self-employed;A-U All economic activities;Total persons;Total male and female;2023;1433.1;54.2;45.0;52.7;43.3;53.5;44.2;1268.9;336.3;48.0;2247.5;52.4;43.2;35.7;20.6;51.3;43.5;1631.5;306.7;40.4
17;Self-employed;A-U All economic activities;Total persons;Male;2007;610.4;48.4;39.5;47.3;38.8;33.7;27.3;546.8;232.6;36.2;914.4;47.4;38.6;33.0;21.6;32.4;26.5;685.7;210.8;28.3
18;Self-employed;A-U All economic activities;Total persons;Male;2008;637.2;49.3;40.3;48.6;40.0;32.0;27.7;579.0;218.1;36.0;949.4;48.6;39.7;34.1;22.7;31.3;27.1;725.3;197.5;28.0
19;Self-employed;A-U All economic activities;Total persons;Male;2009;652.9;46.2;37.4;45.6;37.4;30.1;26.4;614.2;187.2;31.9;976.1;46.4;38.0;31.8;20.1;30.0;26.4;771.4;171.7;24.8
20;Self-employed;A-U All economic activities;Total persons;Male;2010;661.7;46.7;37.1;45.9;36.7;30.8;26.4;;;;995.3;46.9;38.0;31.9;20.2;30.5;26.4;;;
21;Self-employed;A-U All economic activities;Total persons;Male;2011;682.6;47.4;38.6;47.4;38.5;35.3;29.9;624.2;168.7;30.6;1019.3;47.6;39.0;33.1;21.9;34.5;29.5;783.0;155.9;24.4
22;Self-employed;A-U All economic activities;Total persons;Male;2012;692.5;46.3;37.1;46.1;36.8;35.1;29.5;635.1;146.5;30.6;1029.0;46.8;38.0;32.5;21.0;34.5;29.4;798.5;135.0;24.4
23;Self-employed;A-U All economic activities;Total persons;Male;2013;699.1;46.1;36.6;45.5;36.0;34.2;29.2;640.4;119.2;30.4;1032.1;47.0;37.7;32.4;20.9;34.1;29.3;806.3;107.8;24.5
24;Self-employed;A-U All economic activities;Total persons;Male;2014;717.2;47.5;37.9;46.8;37.2;39.4;30.8;654.3;115.0;29.7;1044.8;48.4;38.6;33.8;22.3;38.6;30.6;822.4;106.1;23.9
25;Self-employed;A-U All economic activities;Total persons;Male;2015;735.7;48.2;39.0;47.5;38.3;35.8;31.2;662.5;121.3;30.9;1061.2;48.9;39.3;34.6;23.4;35.7;31.1;831.8;112.6;25.0
26;Self-employed;A-U All economic activities;Total persons;Male;2016;753.7;49.9;40.7;49.2;40.0;38.8;33.2;685.2;131.1;32.8;1077.1;50.2;40.6;36.1;25.0;38.2;32.9;858.4;122.1;26.5
27;Self-employed;A-U All economic activities;Total persons;Male;2017;760.2;52.3;42.2;51.0;41.6;40.5;34.6;693.1;147.0;34.8;1106.4;55.2;42.1;37.4;26.0;41.0;34.2;879.1;139.6;29.1
28;Self-employed;A-U All economic activities;Total persons;Male;2018;789.7;53.3;44.0;52.5;43.5;42.3;35.4;718.8;173.9;38.3;1139.5;52.8;43.2;38.2;27.1;41.0;34.7;898.4;160.4;30.9
29;Self-employed;A-U All economic activities;Total persons;Male;2019;816.7;54.5;45.0;53.7;44.6;48.9;37.1;743.9;196.3;40.6;1178.7;53.7;44.0;39.0;27.9;46.7;36.3;925.4;182.0;33.2
30;Self-employed;A-U All economic activities;Total persons;Male;2020;821.6;55.1;45.6;53.6;44.6;46.6;38.4;752.1;223.4;43.7;1199.4;53.8;44.0;38.5;26.5;44.7;37.5;950.7;202.2;35.2
31;Self-employed;A-U All economic activities;Total persons;Male;2021;849.4;57.9;47.4;56.5;47.0;48.3;40.3;773.0;257.8;46.5;1261.3;56.3;46.1;40.0;28.1;46.5;39.4;973.8;236.6;37.8
32;Self-employed;A-U All economic activities;Total persons;Male;2022;893.2;59.9;49.6;58.5;48.1;51.1;42.3;802.0;328.0;50.5;1309.9;58.2;48.4;42.0;31.1;49.2;41.5;1004.3;308.6;41.8
