ID;Geslacht;Migratieachtergrond;Onderwijssoort;Perioden;Leerlingen_1;VoortijdigSchoolverlaters_2;NietVoortijdigSchoolverlaters_3;VoortijdigSchoolverlatersPercentage_4
0;Totaal mannen en vrouwen;Totaal;Totaal onderwijs;2012/'13;1321190;31290;1289890;2.0
1;Totaal mannen en vrouwen;Totaal;Totaal onderwijs;2013/'14;1331050;29320;1301730;2.0
2;Totaal mannen en vrouwen;Totaal;Totaal onderwijs;2014/'15;1341570;28120;1313450;2.0
3;Totaal mannen en vrouwen;Totaal;Totaal onderwijs;2015/'16;1350280;27360;1322920;2.0
4;Totaal mannen en vrouwen;Totaal;Totaal onderwijs;2016/'17;1357170;28360;1328810;2.0
5;Totaal mannen en vrouwen;Totaal;Totaal onderwijs;2017/'18;1351640;30260;1321380;2.0
6;Totaal mannen en vrouwen;Totaal;Totaal onderwijs;2018/'19;1338710;31470;1307240;2.0
7;Totaal mannen en vrouwen;Totaal;Totaal onderwijs;2019/'20;1321840;26360;1295480;2.0
8;Totaal mannen en vrouwen;Totaal;Totaal onderwijs;2020/'21;1303660;28420;1275230;2.0
9;Totaal mannen en vrouwen;Totaal;Totaal vmbo/havo/vwo;2012/'13;917970;5290;912680;1.0
10;Totaal mannen en vrouwen;Totaal;Totaal vmbo/havo/vwo;2013/'14;929760;5110;924640;1.0
11;Totaal mannen en vrouwen;Totaal;Totaal vmbo/havo/vwo;2014/'15;940190;5080;935110;1.0
12;Totaal mannen en vrouwen;Totaal;Totaal vmbo/havo/vwo;2015/'16;948160;5330;942830;1.0
13;Totaal mannen en vrouwen;Totaal;Totaal vmbo/havo/vwo;2016/'17;948200;5590;942610;1.0
14;Totaal mannen en vrouwen;Totaal;Totaal vmbo/havo/vwo;2017/'18;938510;5470;933040;1.0
15;Totaal mannen en vrouwen;Totaal;Totaal vmbo/havo/vwo;2018/'19;921200;5110;916090;1.0
16;Totaal mannen en vrouwen;Totaal;Totaal vmbo/havo/vwo;2019/'20;903950;3900;900050;0.0
17;Totaal mannen en vrouwen;Totaal;Totaal vmbo/havo/vwo;2020/'21;886520;4420;882100;0.0
18;Totaal mannen en vrouwen;Totaal;Leerjaar 1 en 2;2012/'13;395580;730;394860;0.0
19;Totaal mannen en vrouwen;Totaal;Leerjaar 1 en 2;2013/'14;400050;700;399360;0.0
20;Totaal mannen en vrouwen;Totaal;Leerjaar 1 en 2;2014/'15;400380;780;399590;0.0
21;Totaal mannen en vrouwen;Totaal;Leerjaar 1 en 2;2015/'16;399220;940;398280;0.0
22;Totaal mannen en vrouwen;Totaal;Leerjaar 1 en 2;2016/'17;396210;1320;394880;0.0
23;Totaal mannen en vrouwen;Totaal;Leerjaar 1 en 2;2017/'18;385790;1420;384370;0.0
24;Totaal mannen en vrouwen;Totaal;Leerjaar 1 en 2;2018/'19;374580;1070;373510;0.0
25;Totaal mannen en vrouwen;Totaal;Leerjaar 1 en 2;2019/'20;368200;850;367360;0.0
26;Totaal mannen en vrouwen;Totaal;Leerjaar 1 en 2;2020/'21;363530;870;362660;0.0
27;Totaal mannen en vrouwen;Totaal;Vmbo 3-4 zonder diploma;2012/'13;113810;990;112820;1.0
28;Totaal mannen en vrouwen;Totaal;Vmbo 3-4 zonder diploma;2013/'14;115410;860;114550;1.0
29;Totaal mannen en vrouwen;Totaal;Vmbo 3-4 zonder diploma;2014/'15;116900;740;116160;1.0
30;Totaal mannen en vrouwen;Totaal;Vmbo 3-4 zonder diploma;2015/'16;117450;790;116670;1.0
31;Totaal mannen en vrouwen;Totaal;Vmbo 3-4 zonder diploma;2016/'17;115750;740;115000;1.0
32;Totaal mannen en vrouwen;Totaal;Vmbo 3-4 zonder diploma;2017/'18;114330;840;113490;1.0
33;Totaal mannen en vrouwen;Totaal;Vmbo 3-4 zonder diploma;2018/'19;110990;840;110140;1.0
34;Totaal mannen en vrouwen;Totaal;Vmbo 3-4 zonder diploma;2019/'20;101440;610;100830;1.0
35;Totaal mannen en vrouwen;Totaal;Vmbo 3-4 zonder diploma;2020/'21;98000;590;97400;1.0
36;Totaal mannen en vrouwen;Totaal;Vmbo 3-4 met diploma;2012/'13;91270;2100;89170;2.0
37;Totaal mannen en vrouwen;Totaal;Vmbo 3-4 met diploma;2013/'14;94730;2140;92590;2.0
38;Totaal mannen en vrouwen;Totaal;Vmbo 3-4 met diploma;2014/'15;98610;2130;96480;2.0
39;Totaal mannen en vrouwen;Totaal;Vmbo 3-4 met diploma;2015/'16;101150;2130;99020;2.0
40;Totaal mannen en vrouwen;Totaal;Vmbo 3-4 met diploma;2016/'17;101490;1840;99650;2.0
41;Totaal mannen en vrouwen;Totaal;Vmbo 3-4 met diploma;2017/'18;98390;1540;96850;2.0
42;Totaal mannen en vrouwen;Totaal;Vmbo 3-4 met diploma;2018/'19;96310;1520;94790;2.0
43;Totaal mannen en vrouwen;Totaal;Vmbo 3-4 met diploma;2019/'20;97990;1330;96660;1.0
44;Totaal mannen en vrouwen;Totaal;Vmbo 3-4 met diploma;2020/'21;90220;1300;88920;1.0
45;Totaal mannen en vrouwen;Totaal;Havo 3-5/vwo 3-6;2012/'13;317310;1470;315830;0.0
46;Totaal mannen en vrouwen;Totaal;Havo 3-5/vwo 3-6;2013/'14;319560;1420;318140;0.0
47;Totaal mannen en vrouwen;Totaal;Havo 3-5/vwo 3-6;2014/'15;324300;1420;322880;0.0
48;Totaal mannen en vrouwen;Totaal;Havo 3-5/vwo 3-6;2015/'16;330340;1480;328860;0.0
49;Totaal mannen en vrouwen;Totaal;Havo 3-5/vwo 3-6;2016/'17;334760;1690;333080;1.0
50;Totaal mannen en vrouwen;Totaal;Havo 3-5/vwo 3-6;2017/'18;340000;1680;338320;0.0
51;Totaal mannen en vrouwen;Totaal;Havo 3-5/vwo 3-6;2018/'19;339310;1670;337640;0.0
52;Totaal mannen en vrouwen;Totaal;Havo 3-5/vwo 3-6;2019/'20;336310;1110;335200;0.0
53;Totaal mannen en vrouwen;Totaal;Havo 3-5/vwo 3-6;2020/'21;334770;1650;333120;0.0
54;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);2012/'13;389820;24360;365460;6.0
