ID;BedrijfstakkenBranchesSBI2008;Seizoencorrectie;Marges;Perioden;OmzetAfgelopen3Maanden_1;OmzetKomende3Maanden_2;VerkoopprTarievenKomende3Mnd_3;InkoopordersKomende3Mnd_4;PersoneelssterkteAfgelopen3Mnd_5;PersoneelssterkteKomende3Mnd_6;InvesteringenVerslagjaar_7;EconomischKlimaatAfgelopen3Mnd_8;EconomischKlimaatKomende3Mnd_9;WinstgevendheidAfgelopen3Mnd_10
2629;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2019 februari;;;;;;;;;;
2630;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2019 maart;;;;;;;;;;
2631;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2019 april;43.5;-3.0;12.2;;-44.7;9.0;26.4;3.0;-21.5;36.4
2632;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2019 mei;;;;;;;;;;
2633;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2019 juni;;;;;;;;;;
2634;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2019 juli;3.7;15.2;-3.2;;-41.5;14.3;1.4;3.9;1.8;-16.9
2635;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2019 augustus;;;;;;;;;;
2636;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2019 september;;;;;;;;;;
2637;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2019 oktober;-1.8;-16.4;18.8;;5.4;-3.9;-29.4;-8.5;-13.6;-57.9
2638;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2019 november;;;;;;;;;;
2639;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2019 december;;;;;;;;;;
2640;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2020 januari;-17.5;-22.5;9.1;;-7.8;-18.9;-38.3;-14.9;-10.2;-0.5
2641;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2020 februari;;;;;;;;;;
2642;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2020 maart;;;;;;;;;;
2643;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2020 april;-53.1;-67.7;0.7;;-30.0;-36.1;-25.4;-44.8;-57.3;-64.6
2644;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2020 mei;;;;;;;;;;
2645;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2020 juni;;;;;;;;;;
2646;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2020 juli;-65.2;-16.0;3.1;;-33.1;-57.0;-62.6;-66.8;-23.5;-63.8
2647;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2020 augustus;;;;;;;;;;
2648;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2020 september;;;;;;;;;;
2649;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2020 oktober;-21.9;-12.2;14.5;;-62.7;-50.0;-54.3;-51.0;-29.7;-58.4
2650;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2020 november;;;;;;;;;;
2651;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2020 december;;;;;;;;;;
2652;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2021 januari;-3.0;-1.5;14.0;;-51.3;-36.3;-41.9;-24.7;-11.8;-4.6
2653;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2021 februari;;;;;;;;;;
2654;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2021 maart;;;;;;;;;;
2655;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2021 april;20.4;-2.7;14.7;;-43.1;-26.7;-1.5;-12.1;8.4;8.9
2656;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2021 mei;;;;;;;;;;
2657;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2021 juni;;;;;;;;;;
2658;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2021 juli;58.3;-15.9;20.9;;-46.9;-19.2;-15.6;21.5;16.5;-6.1
2659;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2021 augustus;;;;;;;;;;
2660;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2021 september;;;;;;;;;;
2661;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2021 oktober;31.9;30.8;29.1;;-23.0;-11.6;-28.6;25.7;11.3;19.1
2662;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2021 november;;;;;;;;;;
2663;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2021 december;;;;;;;;;;
2664;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2022 januari;29.5;-22.6;2.5;;-25.9;-27.5;14.8;2.4;-5.6;21.1
2665;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2022 februari;;;;;;;;;;
2666;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2022 maart;;;;;;;;;;
2667;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2022 april;-18.2;43.1;42.6;;-23.9;-18.4;-22.2;-11.4;-9.5;-5.2
2668;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2022 mei;;;;;;;;;;
2669;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2022 juni;;;;;;;;;;
2670;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2022 juli;37.3;-26.5;23.8;;-16.7;-22.7;21.4;-7.9;-10.5;13.3
2671;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2022 augustus;;;;;;;;;;
2672;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2022 september;;;;;;;;;;
2673;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2022 oktober;-20.0;-29.0;-16.8;;-25.7;6.5;13.9;-11.5;-16.1;-1.7
2674;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2022 november;;;;;;;;;;
2675;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2022 december;;;;;;;;;;
2676;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2023 januari;-34.4;-25.4;-8.0;;-12.7;6.5;1.7;-13.9;-34.8;-27.4
2677;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2023 februari;;;;;;;;;;
2678;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2023 maart;;;;;;;;;;
2679;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2023 april;-20.2;-3.2;-4.3;;-20.0;-10.5;-25.1;-29.3;-21.9;-62.9
2680;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2023 mei;;;;;;;;;;
2681;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2023 juni;;;;;;;;;;
2682;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2023 juli;-32.5;11.1;-1.1;;2.6;0.2;1.9;-15.0;-9.5;-26.4
2683;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2023 augustus;;;;;;;;;;
2684;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2023 september;;;;;;;;;;
2685;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2023 oktober;-28.1;6.2;9.9;;4.8;-3.7;-18.8;-10.5;-9.4;-60.5
2686;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2023 november;;;;;;;;;;
2687;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2023 december;;;;;;;;;;
2688;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2024 januari;-10.4;-24.7;-1.5;;1.5;-5.1;-13.6;-60.1;-15.9;-38.6
2689;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2024 februari;;;;;;;;;;
2690;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2024 maart;;;;;;;;;;
2691;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2024 april;0.2;-17.4;-10.4;;-0.3;1.2;-12.2;-9.4;0.6;-0.1
2692;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2024 mei;;;;;;;;;;
2693;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2024 juni;;;;;;;;;;
2694;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2024 juli;-2.7;-20.0;-0.5;;18.0;1.7;-11.0;0.7;-7.4;-3.3
2695;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2024 augustus;;;;;;;;;;
2696;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2024 september;;;;;;;;;;
2697;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2024 oktober;-31.8;-32.4;-7.4;;-15.1;-20.7;-0.7;0.9;-7.1;-32.7
2698;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2024 november;;;;;;;;;;
2699;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2024 december;;;;;;;;;;
2700;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2025 januari;8.1;-16.8;-6.0;;20.1;-30.5;0.8;-24.2;-5.5;-5.6
2701;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2025 februari;;;;;;;;;;
2702;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Ondergrens 95%-interval;2025 maart;;;;;;;;;;
2703;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2012 januari;;;;;;;;;;
2704;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2012 februari;;;;;;;;;;
2705;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2012 maart;;;;;;;;;;
2706;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2012 april;;;;;;;;;;
2707;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2012 mei;;;;;;;;;;
2708;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2012 juni;;;;;;;;;;
2709;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2012 juli;;;;;;;;;;
2710;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2012 augustus;;;;;;;;;;
2711;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2012 september;;;;;;;;;;
2712;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2012 oktober;;;;;;;;;;
2713;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2012 november;;;;;;;;;;
2714;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2012 december;;;;;;;;;;
2715;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2013 januari;;;;;;;;;;
2716;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2013 februari;;;;;;;;;;
2717;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2013 maart;;;;;;;;;;
2718;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2013 april;;;;;;;;;;
2719;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2013 mei;;;;;;;;;;
2720;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2013 juni;;;;;;;;;;
2721;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2013 juli;;;;;;;;;;
2722;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2013 augustus;;;;;;;;;;
2723;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2013 september;;;;;;;;;;
2724;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2013 oktober;;;;;;;;;;
2725;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2013 november;;;;;;;;;;
2726;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2013 december;;;;;;;;;;
2727;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2014 januari;-2.8;48.3;7.3;;79.3;44.6;12.4;4.4;8.1;0.9
2728;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2014 februari;;;;;;;;;;
2729;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2014 maart;;;;;;;;;;
2730;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2014 april;49.9;64.7;12.7;;70.3;78.6;58.4;12.4;15.1;49.2
2731;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2014 mei;;;;;;;;;;
2732;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2014 juni;;;;;;;;;;
2733;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2014 juli;33.7;28.7;-9.7;;79.4;53.7;21.1;47.3;26.3;37.7
2734;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2014 augustus;;;;;;;;;;
2735;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2014 september;;;;;;;;;;
2736;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2014 oktober;39.2;34.3;44.1;;53.6;50.1;70.7;45.1;19.4;13.1
2737;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2014 november;;;;;;;;;;
2738;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2014 december;;;;;;;;;;
2739;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2015 januari;41.0;10.6;22.3;;27.6;5.1;9.6;-2.0;2.7;43.1
2740;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2015 februari;;;;;;;;;;
2741;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2015 maart;;;;;;;;;;
2742;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2015 april;38.9;16.4;-3.4;;11.3;-27.3;58.7;-18.7;-14.5;55.0
2743;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2015 mei;;;;;;;;;;
2744;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2015 juni;;;;;;;;;;
2745;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2015 juli;28.0;37.0;2.3;;14.9;3.6;5.5;1.9;0.4;36.0
2746;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2015 augustus;;;;;;;;;;
2747;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2015 september;;;;;;;;;;
2748;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2015 oktober;18.5;32.6;23.3;;-3.5;3.9;46.4;31.3;-3.1;27.4
2749;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2015 november;;;;;;;;;;
2750;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2015 december;;;;;;;;;;
2751;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2016 januari;11.8;16.3;-11.6;;-26.7;-29.4;-20.0;-36.9;-30.5;-31.0
2752;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2016 februari;;;;;;;;;;
2753;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2016 maart;;;;;;;;;;
2754;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2016 april;-14.0;5.2;4.2;;-14.5;-6.1;-8.2;-15.4;-2.2;-11.4
2755;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2016 mei;;;;;;;;;;
2756;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2016 juni;;;;;;;;;;
2757;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2016 juli;9.7;4.5;-1.8;;-10.9;-7.8;-10.5;-18.8;-9.9;17.5
2758;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2016 augustus;;;;;;;;;;
2759;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2016 september;;;;;;;;;;
2760;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2016 oktober;-1.9;-6.2;-23.1;;-30.4;-42.5;22.9;-14.5;-13.5;16.8
2761;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2016 november;;;;;;;;;;
2762;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2016 december;;;;;;;;;;
2763;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2017 januari;-14.6;8.2;-10.6;;-48.8;-41.6;3.1;0.2;4.5;-8.5
2764;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2017 februari;;;;;;;;;;
2765;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2017 maart;;;;;;;;;;
2766;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2017 april;-12.6;20.4;-0.7;;-47.6;-30.0;-15.8;2.3;9.5;-23.0
2767;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2017 mei;;;;;;;;;;
2768;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2017 juni;;;;;;;;;;
2769;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2017 juli;31.7;19.8;14.5;;-38.2;-4.3;6.2;-21.0;-17.6;7.8
2770;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2017 augustus;;;;;;;;;;
2771;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2017 september;;;;;;;;;;
2772;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2017 oktober;-10.2;-49.1;23.0;;-20.9;-15.7;-38.3;15.9;12.5;18.2
2773;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2017 november;;;;;;;;;;
2774;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2017 december;;;;;;;;;;
2775;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2018 januari;-36.0;14.0;39.3;;-33.3;-9.6;39.2;4.9;4.7;-1.2
2776;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2018 februari;;;;;;;;;;
2777;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2018 maart;;;;;;;;;;
2778;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2018 april;33.6;0.6;-0.4;;-31.2;-18.9;62.8;15.5;-12.4;-52.7
2779;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2018 mei;;;;;;;;;;
2780;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2018 juni;;;;;;;;;;
2781;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2018 juli;-13.1;-37.6;30.6;;-33.4;-25.0;15.3;1.4;10.7;28.2
2782;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2018 augustus;;;;;;;;;;
2783;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2018 september;;;;;;;;;;
2784;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2018 oktober;-11.5;24.1;20.1;;-30.0;-12.6;10.0;-1.3;36.9;-36.0
2785;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2018 november;;;;;;;;;;
2786;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2018 december;;;;;;;;;;
2787;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2019 januari;14.8;30.8;28.9;;-8.2;-16.6;40.7;26.0;8.8;43.5
2788;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2019 februari;;;;;;;;;;
2789;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2019 maart;;;;;;;;;;
2790;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2019 april;65.1;19.0;19.6;;-5.5;27.8;45.6;17.2;-5.1;57.2
2791;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2019 mei;;;;;;;;;;
2792;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2019 juni;;;;;;;;;;
2793;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2019 juli;21.7;36.8;10.6;;-13.3;33.5;23.0;23.9;10.8;9.3
2794;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2019 augustus;;;;;;;;;;
2795;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2019 september;;;;;;;;;;
2796;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2019 oktober;27.2;25.6;33.0;;15.6;18.1;-11.0;3.3;0.6;-15.9
2797;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2019 november;;;;;;;;;;
2798;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2019 december;;;;;;;;;;
2799;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2020 januari;20.1;7.7;23.7;;21.6;16.7;-7.7;-2.3;8.2;35.9
2800;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2020 februari;;;;;;;;;;
2801;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2020 maart;;;;;;;;;;
2802;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2020 april;-29.1;-53.5;15.5;;6.8;-14.9;-3.0;-19.0;-34.9;-34.8
2803;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2020 mei;;;;;;;;;;
2804;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2020 juni;;;;;;;;;;
2805;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2020 juli;-45.2;10.6;10.9;;-14.7;-39.8;-39.0;-46.0;-5.9;-44.2
2806;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2020 augustus;;;;;;;;;;
2807;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2020 september;;;;;;;;;;
2808;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2020 oktober;13.7;23.0;23.9;;-45.9;-32.8;-33.1;-33.0;2.1;-25.0
2809;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2020 november;;;;;;;;;;
2810;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2020 december;;;;;;;;;;
2811;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2021 januari;29.2;23.1;30.0;;-35.3;-24.9;-16.9;-6.7;-2.8;15.8
2812;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2021 februari;;;;;;;;;;
2813;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2021 maart;;;;;;;;;;
2814;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2021 april;39.2;14.1;24.1;;-19.9;-10.3;14.9;8.3;21.8;33.3
2815;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2021 mei;;;;;;;;;;
2816;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2021 juni;;;;;;;;;;
2817;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2021 juli;79.5;8.7;31.5;;-27.3;-1.6;5.6;37.1;30.7;11.9
2818;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2021 augustus;;;;;;;;;;
2819;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2021 september;;;;;;;;;;
2820;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2021 oktober;58.1;53.2;43.3;;-4.6;8.8;-9.0;45.3;24.3;39.9
2821;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2021 november;;;;;;;;;;
2822;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2021 december;;;;;;;;;;
2823;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2022 januari;49.1;5.6;23.7;;-4.7;-5.5;35.6;27.8;5.4;41.5
2824;B Delfstoffenwinning;Seizoengecorrigeerde cijfers;Bovengrens 95%-interval;2022 februari;;;;;;;;;;
