ID;Sex;PersonalCharacteristics;SIC2008;Periods;EmployedLabourForce_1
0;Total male and female;Total persons;A-U All economic activities;2003 1st quarter;7771
1;Total male and female;Total persons;A-U All economic activities;2003 2nd quarter;7782
2;Total male and female;Total persons;A-U All economic activities;2003 3rd quarter;7809
3;Total male and female;Total persons;A-U All economic activities;2003 4th quarter;7770
4;Total male and female;Total persons;A-U All economic activities;2003;7783
5;Total male and female;Total persons;A-U All economic activities;2004 1st quarter;7719
6;Total male and female;Total persons;A-U All economic activities;2004 2nd quarter;7754
7;Total male and female;Total persons;A-U All economic activities;2004 3rd quarter;7793
8;Total male and female;Total persons;A-U All economic activities;2004 4th quarter;7777
9;Total male and female;Total persons;A-U All economic activities;2004;7761
10;Total male and female;Total persons;A-U All economic activities;2005 1st quarter;7739
11;Total male and female;Total persons;A-U All economic activities;2005 2nd quarter;7812
12;Total male and female;Total persons;A-U All economic activities;2005 3rd quarter;7856
13;Total male and female;Total persons;A-U All economic activities;2005 4th quarter;7866
14;Total male and female;Total persons;A-U All economic activities;2005;7818
15;Total male and female;Total persons;A-U All economic activities;2006 1st quarter;7845
16;Total male and female;Total persons;A-U All economic activities;2006 2nd quarter;7905
17;Total male and female;Total persons;A-U All economic activities;2006 3rd quarter;7977
18;Total male and female;Total persons;A-U All economic activities;2006 4th quarter;8027
19;Total male and female;Total persons;A-U All economic activities;2006;7938
20;Total male and female;Total persons;A-U All economic activities;2007 1st quarter;8052
21;Total male and female;Total persons;A-U All economic activities;2007 2nd quarter;8156
22;Total male and female;Total persons;A-U All economic activities;2007 3rd quarter;8227
23;Total male and female;Total persons;A-U All economic activities;2007 4th quarter;8241
24;Total male and female;Total persons;A-U All economic activities;2007;8169
25;Total male and female;Total persons;A-U All economic activities;2008 1st quarter;8269
26;Total male and female;Total persons;A-U All economic activities;2008 2nd quarter;8359
27;Total male and female;Total persons;A-U All economic activities;2008 3rd quarter;8400
28;Total male and female;Total persons;A-U All economic activities;2008 4th quarter;8406
29;Total male and female;Total persons;A-U All economic activities;2008;8358
30;Total male and female;Total persons;A-U All economic activities;2009 1st quarter;8399
31;Total male and female;Total persons;A-U All economic activities;2009 2nd quarter;8390
32;Total male and female;Total persons;A-U All economic activities;2009 3rd quarter;8360
33;Total male and female;Total persons;A-U All economic activities;2009 4th quarter;8296
34;Total male and female;Total persons;A-U All economic activities;2009;8361
35;Total male and female;Total persons;A-U All economic activities;2010 1st quarter;8228
36;Total male and female;Total persons;A-U All economic activities;2010 2nd quarter;8279
37;Total male and female;Total persons;A-U All economic activities;2010 3rd quarter;8305
38;Total male and female;Total persons;A-U All economic activities;2010 4th quarter;8299
39;Total male and female;Total persons;A-U All economic activities;2010;8278
40;Total male and female;Total persons;A-U All economic activities;2011 1st quarter;8232
41;Total male and female;Total persons;A-U All economic activities;2011 2nd quarter;8259
42;Total male and female;Total persons;A-U All economic activities;2011 3rd quarter;8301
43;Total male and female;Total persons;A-U All economic activities;2011 4th quarter;8327
44;Total male and female;Total persons;A-U All economic activities;2011;8280
45;Total male and female;Total persons;A-U All economic activities;2012 1st quarter;8283
46;Total male and female;Total persons;A-U All economic activities;2012 2nd quarter;8327
47;Total male and female;Total persons;A-U All economic activities;2012 3rd quarter;8368
