ID;SIC93;Periods;Production_1;AverageDailyProduction_2;ProductionSeasonallyAdjusted_3;DevelopmentProduction_4;DevelopmentAverageDailyProduction_5;DevelopmentSeasonallyAdjusted_6;ShortTermDevelopmentAverageDaily_7;ShortTermDevelopmentSeasonallyAdj_8;TotalTurnover_9;DomesticSales_10;InternationalSales_11;TotalOrders_12;DomesticOrders_13;ForeignOrders_14
0;C-E: Industry (excl. construction);1995 January;95.8;96.0;90.3;;;;;;;;;;;
1;C-E: Industry (excl. construction);1995 February;86.5;87.1;86.9;;;-3.8;;;;;;;;
2;C-E: Industry (excl. construction);1995 March;98.0;95.1;88.0;;;1.3;;;;;;;;
3;C-E: Industry (excl. construction);1995 1st quarter;93.4;92.7;88.4;;;;;;;;;;;
4;C-E: Industry (excl. construction);1995 April;82.2;84.3;86.7;;;-1.4;;;;;;;;
5;C-E: Industry (excl. construction);1995 May;86.8;84.9;88.2;;;1.7;;;;;;;;
6;C-E: Industry (excl. construction);1995 June;84.9;83.9;87.3;;;-1.0;;;;;;;;
7;C-E: Industry (excl. construction);1995 2nd quarter;84.7;84.4;87.4;;;-1.1;;;;;;;;
8;C-E: Industry (excl. construction);1995 July;75.3;78.3;87.9;;;0.7;;;;;;;;
9;C-E: Industry (excl. construction);1995 August;79.3;77.2;89.2;;;1.5;;;;;;;;
10;C-E: Industry (excl. construction);1995 September;86.7;87.2;89.3;;;0.2;;;;;;;;
11;C-E: Industry (excl. construction);1995 3rd quarter;80.4;80.9;88.8;;;1.6;;;;;;;;
12;C-E: Industry (excl. construction);1995 October;94.1;95.0;89.3;;;0.0;;;;;;;;
13;C-E: Industry (excl. construction);1995 November;99.2;97.4;89.5;;;0.2;;;;;;;;
14;C-E: Industry (excl. construction);1995 December;95.8;98.4;91.9;;;2.6;;;;;;;;
15;C-E: Industry (excl. construction);1995 4th quarter;96.4;96.9;90.2;;;1.6;;;;;;;;
16;C-E: Industry (excl. construction);1995;88.7;88.7;88.7;;;;;;;;;;;
17;C-E: Industry (excl. construction);1996 January;97.8;96.5;90.8;2.1;0.6;-1.1;;;;;;;;
18;C-E: Industry (excl. construction);1996 February;94.5;91.5;91.1;9.3;5.1;0.3;;;;;;;;
19;C-E: Industry (excl. construction);1996 March;97.8;100.0;92.3;-0.2;5.1;1.3;;;;;;;;
20;C-E: Industry (excl. construction);1996 1st quarter;96.7;96.0;91.4;3.5;3.5;1.3;;;;;;;;
21;C-E: Industry (excl. construction);1996 April;86.9;87.7;90.3;5.7;4.0;-2.1;;;;;;;;
22;C-E: Industry (excl. construction);1996 May;89.1;87.1;90.5;2.6;2.6;0.2;;;;;;;;
23;C-E: Industry (excl. construction);1996 June;83.8;86.2;89.8;-1.3;2.7;-0.7;;;;;;;;
24;C-E: Industry (excl. construction);1996 2nd quarter;86.6;87.0;90.2;2.3;3.1;-1.3;;;;;;;;
25;C-E: Industry (excl. construction);1996 July;81.9;81.6;91.3;8.8;4.2;1.7;;;;;;;;
26;C-E: Industry (excl. construction);1996 August;79.5;78.8;91.0;0.2;2.1;-0.4;;;;;;;;
27;C-E: Industry (excl. construction);1996 September;88.3;89.3;91.5;1.9;2.5;0.5;;;;;;;;
28;C-E: Industry (excl. construction);1996 3rd quarter;83.2;83.2;91.3;3.5;2.9;1.2;;;;;;;;
29;C-E: Industry (excl. construction);1996 October;98.8;96.5;90.8;4.9;1.6;-0.8;;;;;;;;
30;C-E: Industry (excl. construction);1996 November;96.7;97.5;89.7;-2.5;0.2;-1.1;;;;;;;;
31;C-E: Industry (excl. construction);1996 December;95.2;97.5;91.2;-0.7;-0.9;1.6;;;;;;;;
32;C-E: Industry (excl. construction);1996 4th quarter;96.9;97.2;90.6;0.5;0.3;-0.8;;;;;;;;
33;C-E: Industry (excl. construction);1996;90.9;90.9;90.9;2.4;2.4;2.4;;;;;;;;
34;C-E: Industry (excl. construction);1997 January;99.3;96.9;91.2;1.6;0.4;0.0;;;;;;;;
35;C-E: Industry (excl. construction);1997 February;88.4;89.2;88.6;-6.5;-2.6;-2.8;;;;;;;;
36;C-E: Industry (excl. construction);1997 March;90.4;94.1;86.7;-7.5;-5.9;-2.2;;;;;;;;
37;C-E: Industry (excl. construction);1997 1st quarter;92.7;93.4;88.8;-4.1;-2.7;-1.9;;;;;;;;
38;C-E: Industry (excl. construction);1997 April;91.0;89.1;91.7;4.7;1.6;5.8;;;;;;;;
39;C-E: Industry (excl. construction);1997 May;85.7;86.1;89.3;-3.9;-1.2;-2.6;;;;;;;;
40;C-E: Industry (excl. construction);1997 June;85.5;86.2;90.0;2.0;0.1;0.8;;;;;;;;
41;C-E: Industry (excl. construction);1997 2nd quarter;87.4;87.1;90.3;0.9;0.2;1.7;;;;;;;;
42;C-E: Industry (excl. construction);1997 July;83.0;81.1;90.5;1.3;-0.6;0.6;;;;;;;;
43;C-E: Industry (excl. construction);1997 August;77.1;79.2;91.4;-3.0;0.5;0.9;;;;;;;;
44;C-E: Industry (excl. construction);1997 September;90.4;89.7;91.9;2.4;0.5;0.5;;;;;;;;
45;C-E: Industry (excl. construction);1997 3rd quarter;83.5;83.3;91.3;0.3;0.1;1.0;;;;;;;;
46;C-E: Industry (excl. construction);1997 October;100.0;97.2;91.4;1.3;0.7;-0.5;;;;;;;;
47;C-E: Industry (excl. construction);1997 November;97.4;100.7;92.7;0.7;3.2;1.4;;;;;;;;
48;C-E: Industry (excl. construction);1997 December;96.7;95.4;89.4;1.6;-2.1;-3.6;;;;;;;;
