ID;EmployedPersons;SectorBranches;Periods;AllGrowers_1;NormalGrowers_2;FastGrowers_3;BusinessesWithAStableTurnover_4;AllDecliners_5;NormalDecliners_6;FastDecliners_7
0;Total 1 or more employed persons;B-E Industry (no construction), energy;2012 1st quarter;48.0;20.0;28.0;2.0;50.0;22.0;28.0
1;Total 1 or more employed persons;B-E Industry (no construction), energy;2012 2nd quarter;44.0;18.0;26.0;2.0;54.0;25.0;30.0
2;Total 1 or more employed persons;B-E Industry (no construction), energy;2012 3rd quarter;47.0;19.0;28.0;2.0;52.0;24.0;28.0
3;Total 1 or more employed persons;B-E Industry (no construction), energy;2012 4th quarter;41.0;17.0;24.0;1.0;58.0;24.0;33.0
4;Total 1 or more employed persons;B-E Industry (no construction), energy;2012;42.0;22.0;20.0;2.0;56.0;31.0;25.0
5;Total 1 or more employed persons;B-E Industry (no construction), energy;2013 1st quarter;40.0;17.0;23.0;2.0;58.0;25.0;33.0
6;Total 1 or more employed persons;B-E Industry (no construction), energy;2013 2nd quarter;44.0;19.0;25.0;2.0;55.0;25.0;30.0
7;Total 1 or more employed persons;B-E Industry (no construction), energy;2013 3rd quarter;45.0;19.0;26.0;2.0;54.0;23.0;31.0
8;Total 1 or more employed persons;B-E Industry (no construction), energy;2013 4th quarter;52.0;20.0;32.0;2.0;46.0;21.0;25.0
9;Total 1 or more employed persons;B-E Industry (no construction), energy;2013;44.0;23.0;21.0;2.0;54.0;30.0;24.0
10;Total 1 or more employed persons;B-E Industry (no construction), energy;2014 1st quarter;55.0;21.0;33.0;2.0;44.0;21.0;23.0
11;Total 1 or more employed persons;B-E Industry (no construction), energy;2014 2nd quarter;53.0;22.0;31.0;2.0;46.0;21.0;25.0
12;Total 1 or more employed persons;B-E Industry (no construction), energy;2014 3rd quarter;51.0;21.0;30.0;2.0;48.0;22.0;26.0
13;Total 1 or more employed persons;B-E Industry (no construction), energy;2014 4th quarter;51.0;21.0;31.0;2.0;47.0;21.0;25.0
14;Total 1 or more employed persons;B-E Industry (no construction), energy;2014;53.0;27.0;26.0;2.0;45.0;25.0;20.0
15;Total 1 or more employed persons;B-E Industry (no construction), energy;2015 1st quarter;51.0;20.0;31.0;2.0;47.0;22.0;25.0
16;Total 1 or more employed persons;B-E Industry (no construction), energy;2015 2nd quarter;54.0;21.0;32.0;2.0;45.0;21.0;24.0
17;Total 1 or more employed persons;B-E Industry (no construction), energy;2015 3rd quarter;52.0;20.0;32.0;2.0;46.0;21.0;25.0
18;Total 1 or more employed persons;B-E Industry (no construction), energy;2015 4th quarter;54.0;22.0;32.0;2.0;44.0;20.0;24.0
19;Total 1 or more employed persons;B-E Industry (no construction), energy;2015;55.0;27.0;28.0;2.0;43.0;24.0;19.0
20;Total 1 or more employed persons;B-E Industry (no construction), energy;2016 1st quarter;54.0;22.0;32.0;2.0;44.0;20.0;24.0
21;Total 1 or more employed persons;B-E Industry (no construction), energy;2016 2nd quarter;52.0;21.0;31.0;2.0;46.0;22.0;24.0
22;Total 1 or more employed persons;B-E Industry (no construction), energy;2016 3rd quarter;53.0;21.0;32.0;2.0;45.0;21.0;24.0
23;Total 1 or more employed persons;B-E Industry (no construction), energy;2016 4th quarter;53.0;21.0;32.0;2.0;45.0;21.0;24.0
24;Total 1 or more employed persons;B-E Industry (no construction), energy;2016;55.0;28.0;27.0;2.0;43.0;24.0;19.0
25;Total 1 or more employed persons;B-E Industry (no construction), energy;2017 1st quarter;54.0;21.0;33.0;2.0;44.0;20.0;24.0
26;Total 1 or more employed persons;B-E Industry (no construction), energy;2017 2nd quarter;54.0;22.0;32.0;2.0;45.0;21.0;24.0
27;Total 1 or more employed persons;B-E Industry (no construction), energy;2017 3rd quarter;55.0;21.0;34.0;2.0;43.0;19.0;24.0
28;Total 1 or more employed persons;B-E Industry (no construction), energy;2017 4th quarter;55.0;21.0;33.0;2.0;44.0;20.0;23.0
29;Total 1 or more employed persons;B-E Industry (no construction), energy;2017;56.0;28.0;28.0;2.0;42.0;23.0;18.0
30;Total 1 or more employed persons;B-E Industry (no construction), energy;2018 1st quarter;55.0;22.0;33.0;2.0;43.0;20.0;23.0
31;Total 1 or more employed persons;B-E Industry (no construction), energy;2018 2nd quarter;55.0;22.0;34.0;2.0;43.0;20.0;22.0
32;Total 1 or more employed persons;B-E Industry (no construction), energy;2018 3rd quarter;53.0;20.0;33.0;2.0;45.0;21.0;24.0
33;Total 1 or more employed persons;B-E Industry (no construction), energy;2018 4th quarter;56.0;22.0;34.0;2.0;42.0;20.0;23.0
34;Total 1 or more employed persons;B-E Industry (no construction), energy;2018;57.0;28.0;29.0;2.0;41.0;23.0;18.0
