ID;Sex;PersonalCharacteristics;Periods;TotalPopulationAged1564_1;LabourForce_2;EmployedLabourForce_3;ProfessionalPrestige_4;SocioEconomicStatus_5;I_6;II_7;III_8;IV_9;V_10;VI_11;VII_12;UnemployedLabourForce_13;PeopleNotIncludedInTheLabourForce_14;GrossLabourParticipation_15;NetLabourParticipation_16;RegisteredUnemployed_17;EmploymentRate_18
103;Total sex;10;1903;;2141.0;2071.0;;;;;;;;;;70.0;;;;;3.3
104;Total sex;10;1904;;2170.0;2101.0;;;;;;;;;;69.0;;;;;3.2
105;Total sex;10;1905;;2200.0;2137.0;;;;;;;;;;63.0;;;;;2.9
106;Total sex;10;1906;;2229.0;2170.0;;;;;;;;;;60.0;;;;;2.7
107;Total sex;10;1907;;2257.0;2191.0;;;;;;;;;;65.0;;;;;2.9
108;Total sex;10;1908;;2285.0;2212.0;;;;;;;;;;73.0;;;;;3.2
109;Total sex;10;1909;;2311.0;2235.0;;;;;;;;;;76.0;;;;;3.3
110;Total sex;10;1910;;2327.0;2251.0;;;;;;;;;;76.0;;;;;3.3
111;Total sex;10;1911;;2355.0;2275.0;;;;;;;;;;80.0;;;;;3.4
112;Total sex;10;1912;;2388.0;2314.0;;;;;;;;;;74.0;;;;;3.1
113;Total sex;10;1913;;2424.0;2349.0;;;;;;;;;;75.0;;;;;3.1
114;Total sex;10;1914;;2469.0;2384.0;;;;;;;;;;85.0;;;;;3.4
115;Total sex;10;1915;;2508.0;2405.0;;;;;;;;;;104.0;;;;;4.1
116;Total sex;10;1916;;2549.0;2492.0;;;;;;;;;;57.0;;;;;2.2
117;Total sex;10;1917;;2591.0;2524.0;;;;;;;;;;67.0;;;;;2.6
118;Total sex;10;1918;;2634.0;2548.0;;;;;;;;;;85.0;;;;;3.2
119;Total sex;10;1919;;2677.0;2572.0;;;;;;;;;;106.0;;;;;3.9
120;Total sex;10;1920;;2722.0;2643.0;;;;;;;;;;79.0;;;;;2.9
121;Total sex;10;1921;;2764.0;2623.0;;;;;;;;;;142.0;;;;;5.1
122;Total sex;10;1922;;2812.0;2638.0;;;;;;;;;;173.0;;;;;6.2
123;Total sex;10;1923;;2859.0;2677.0;;;;;;;;;;182.0;;;;;6.4
124;Total sex;10;1924;;2907.0;2748.0;;;;;;;;;;159.0;;;;;5.5
125;Total sex;10;1925;;2954.0;2800.0;;;;;;;;;;154.0;;;;;5.2
126;Total sex;10;1926;;3000.0;2866.0;;;;;;;;;;135.0;;;;;4.5
127;Total sex;10;1927;;3046.0;2903.0;;;;;;;;;;144.0;;;;;4.7
128;Total sex;10;1928;;3091.0;2966.0;;;;;;;;;;125.0;;;;;4.0
129;Total sex;10;1929;;3136.0;2976.0;;;;;;;;;;160.0;;;;;5.1
130;Total sex;10;1930;;3181.0;3025.0;;;;;;;;;;156.0;;;;;4.9
131;Total sex;10;1931;;3230.0;2948.0;;;;;;;;;;282.0;;;;;8.7
132;Total sex;10;1932;;3280.0;2772.0;;;;;;;;;;508.0;;;;;15.5
133;Total sex;10;1933;;3327.0;2766.0;;;;;;;;;;562.0;;;;;16.9
134;Total sex;10;1934;;3372.0;2844.0;;;;;;;;;;527.0;;;;;15.6
135;Total sex;10;1935;;3410.0;2816.0;;;;;;;;;;594.0;;;;;17.4
136;Total sex;10;1936;;3444.0;2859.0;;;;;;;;;;585.0;;;;;17.0
137;Total sex;10;1937;;3480.0;2978.0;;;;;;;;;;502.0;;;;;14.4
138;Total sex;10;1938;;3515.0;3050.0;;;;;;;;;;465.0;;;;;13.2
139;Total sex;10;1939;;3555.0;3200.0;;;;;;;;;;355.0;;;;;10.0
140;Total sex;10;1940;;3547.0;3184.0;;;;;;;;;;364.0;;;;;10.2
141;Total sex;10;1941;;3577.0;3305.0;;;;;;;;;;273.0;;;;;7.6
142;Total sex;10;1942;;3607.0;3438.0;;;;;;;;;;169.0;;;;;4.7
143;Total sex;10;1943;;3617.0;3565.0;;;;;;;;;;52.0;;;;;1.4
144;Total sex;10;1944;;3627.0;3554.0;;;;;;;;;;73.0;;;;;2.0
145;Total sex;10;1945;;3647.0;3553.0;;;;;;;;;;95.0;;;;;2.6
146;Total sex;10;1946;;3687.0;3571.0;;;;;;;;;;117.0;;;;;3.2
147;Total sex;10;1947;;3718.0;3653.0;;;;;;;;;;65.0;;;;;1.7
148;Total sex;10;1948;;3779.0;3732.0;;;;;;;;;;47.0;;;;;1.3
149;Total sex;10;1949;;3818.0;3755.0;;;;;;;;;;63.0;;;;;1.6
150;Total sex;10;1950;6278.0;3873.0;3793.0;;;;;;;;;;80.0;2405.0;61.7;60.4;;2.1
151;Total sex;10;1951;6356.0;3914.0;3824.0;;;;;;;;;;90.0;2442.0;61.6;60.2;;2.3
152;Total sex;10;1952;6408.0;3950.0;3824.0;;;;;;;;;;127.0;2457.0;61.7;59.7;;3.2
153;Total sex;10;1953;6440.0;4001.0;3903.0;;;;;;;;;;98.0;2440.0;62.1;60.6;;2.4
154;Total sex;10;1954;6488.0;4010.0;3937.0;;;;;;;;;;73.0;2477.0;61.8;60.7;;1.8
155;Total sex;10;1955;6547.0;4046.0;3994.0;;;;;;;;;;51.0;2501.0;61.8;61.0;;1.3
156;Total sex;10;1956;6618.0;4113.0;4072.0;;;;;;;;;;40.0;2505.0;62.1;61.5;;1.0
157;Total sex;10;1957;6678.0;4148.0;4096.0;;;;;;;;;;52.0;2530.0;62.1;61.3;;1.2
158;Total sex;10;1958;6745.0;4173.0;4081.0;;;;;;;;;;91.0;2573.0;61.9;60.5;;2.2
159;Total sex;10;1959;6840.0;4173.0;4102.0;;;;;;;;;;70.0;2668.0;61.0;60.0;;1.7
160;Total sex;10;1960;6920.0;4240.0;4193.0;;;;;;;;;;47.0;2680.0;61.3;60.6;;1.1
161;Total sex;10;1961;6989.0;4257.0;4221.0;;;;;;;;;;37.0;2732.0;60.9;60.4;;0.9
162;Total sex;10;1962;7144.0;4353.0;4316.0;;;;;;;;;;37.0;2791.0;60.9;60.4;;0.8
163;Total sex;10;1963;7291.0;4428.0;4387.0;;;;;;;;;;41.0;2863.0;60.7;60.2;;0.9
164;Total sex;10;1964;7411.0;4469.0;4432.0;;;;;;;;;;37.0;2942.0;60.3;59.8;;0.8
165;Total sex;10;1965;7531.0;4555.0;4513.0;;;;;;;;;;42.0;2976.0;60.5;59.9;;0.9
166;Total sex;10;1966;7647.0;4629.0;4572.0;;;;;;;;;;56.0;3019.0;60.5;59.8;;1.2
167;Total sex;10;1967;7758.0;4642.0;4542.0;;;;;;;;;;100.0;3116.0;59.8;58.5;;2.2
168;Total sex;10;1968;7840.0;4691.0;4598.0;;;;;;;;;;93.0;3149.0;59.8;58.6;;2.0
169;Total sex;10;1969;7936.0;4769.0;4696.0;;;;;;;;;;73.0;3167.0;60.1;59.2;;1.5
170;Total sex;10;1970;8042.0;4806.0;4739.0;;;;;;;;;;67.0;3236.0;59.8;58.9;44.0;1.4
171;Total sex;10;1971;8157.0;4858.0;4770.0;;;;;;;;;;88.0;3299.0;59.6;58.5;62.0;1.8
172;Total sex;10;1972;8274.0;4907.0;4770.0;;;;;;;;;;137.0;3367.0;59.3;57.7;108.0;2.8
173;Total sex;10;1973;8376.0;4972.0;4832.0;;;;;;;;;;140.0;3404.0;59.4;57.7;110.0;2.8
174;Total sex;10;1974;8481.0;5000.0;4834.0;;;;;;;;;;166.0;3481.0;59.0;57.0;135.0;3.3
175;Total sex;10;1975;8600.0;4998.0;4782.0;39.7;40.7;7.9;16.1;27.0;9.6;5.8;6.0;27.6;215.0;3602.0;58.1;55.6;195.0;4.3
176;Total sex;10;1976;8745.0;5099.0;4858.0;39.5;40.6;7.7;15.9;27.7;9.5;5.9;6.0;27.3;241.0;3646.0;58.3;55.6;211.0;4.7
177;Total sex;10;1977;8864.0;5136.0;4909.0;39.4;40.7;7.3;16.4;28.1;9.2;6.1;5.9;26.9;227.0;3729.0;57.9;55.4;204.0;4.4
178;Total sex;10;1978;8979.0;5191.0;4954.0;39.7;41.2;7.4;16.4;27.7;9.5;5.7;6.0;27.2;236.0;3788.0;57.8;55.2;201.0;4.6
179;Total sex;10;1979;9101.0;5301.0;5051.0;40.0;41.6;7.5;16.7;27.7;9.4;5.7;6.0;27.0;250.0;3800.0;58.2;55.5;194.0;4.7
180;Total sex;10;1980;9237.0;5293.0;5037.0;40.4;41.8;8.1;17.0;27.7;9.3;5.5;6.0;26.5;256.0;3944.0;57.3;54.5;217.0;4.8
181;Total sex;10;1981;9365.0;5379.0;5042.0;40.5;42.4;9.3;17.2;26.3;9.6;5.8;6.4;25.5;337.0;3986.0;57.4;53.8;317.0;6.3
182;Total sex;10;1982;9476.0;5385.0;4914.0;41.1;42.7;9.2;18.3;26.8;9.2;4.5;6.1;25.9;471.0;4090.0;56.8;51.9;468.0;8.7
183;Total sex;10;1983;9577.0;5458.0;4873.0;41.4;43.0;9.3;19.2;26.2;9.0;4.3;6.0;25.9;585.0;4119.0;57.0;50.9;612.0;10.7
184;Total sex;10;1984;9686.0;5460.0;4886.0;41.6;43.3;9.5;18.8;26.8;9.1;4.3;6.1;25.3;574.0;4227.0;56.4;50.4;591.0;10.5
185;Total sex;10;1985;9805.0;5521.0;4991.0;42.0;43.3;9.6;19.6;25.9;9.0;3.9;6.2;25.7;530.0;4285.0;56.3;50.9;511.0;9.6
186;Total sex;10;1986;9901.0;5671.0;5181.0;42.2;43.6;10.2;19.3;26.8;8.8;4.3;6.1;24.5;490.0;4230.0;57.3;52.3;474.0;8.6
187;Total sex;10;1987;10024.0;5743.0;5257.0;42.5;43.8;10.6;18.6;28.5;8.7;4.3;5.6;23.6;486.0;4281.0;57.3;52.4;456.0;8.5
188;Total sex;10;1988;10107.0;5867.0;5378.0;42.8;44.0;11.1;18.9;28.8;8.4;4.3;5.5;23.1;490.0;4240.0;58.0;53.2;453.0;8.3
189;Total sex;10;1989;10168.0;5929.0;5477.0;43.0;44.0;11.0;19.4;28.6;8.1;4.5;5.8;22.7;452.0;4238.0;58.3;53.9;407.0;7.6
190;Total sex;10;1990;10228.0;6063.0;5644.0;43.4;44.2;11.6;19.4;28.5;8.0;4.6;5.9;21.9;419.0;4165.0;59.3;55.2;358.0;6.9
191;Total sex;10;1991;10294.0;6189.0;5790.0;43.6;44.3;11.6;19.8;28.7;7.9;4.3;6.0;21.7;400.0;4105.0;60.1;56.2;334.0;6.5
192;Total sex;10;1992;10349.0;6296.0;5885.0;44.2;44.7;12.3;20.6;26.8;7.4;5.1;6.5;21.3;411.0;4052.0;60.8;56.9;336.0;6.5
193;Total sex;10;1993;10420.0;6406.0;5925.0;44.4;44.9;12.5;20.7;27.2;7.6;5.1;6.5;20.5;481.0;4014.0;61.5;56.9;415.0;7.5
194;Total sex;10;1994;10473.0;6466.0;5920.0;44.4;44.8;12.0;20.4;27.4;8.2;4.9;6.6;20.5;547.0;4007.0;61.7;56.5;486.0;8.5
195;Total sex;10;1995;10498.0;6596.0;6063.0;44.5;44.9;12.2;20.3;27.3;8.0;5.1;6.4;20.6;533.0;3901.0;62.8;57.8;464.0;8.1
196;Total sex;10;1996;10534.0;6686.0;6185.0;44.6;45.0;12.2;20.9;27.0;7.9;4.7;6.3;21.0;501.0;3848.0;63.5;58.7;440.0;7.5
197;Total sex;10;1997;10566.0;6832.0;6384.0;44.8;45.3;12.7;20.6;27.3;7.8;4.7;6.3;20.7;448.0;3734.0;64.7;60.4;375.0;6.6
198;Total sex;10;1998;10606.0;6941.0;6587.0;45.3;45.7;13.0;21.8;26.7;7.4;5.0;6.1;20.1;354.0;3665.0;65.4;62.1;287.0;5.1
199;Total sex;10;1999;10665.0;7069.0;6768.0;45.1;45.7;13.2;21.6;26.7;7.3;4.8;5.9;20.4;301.0;3596.0;66.3;63.5;220.0;4.3
200;Total sex;10;2000;10729.0;7187.0;6917.0;45.5;46.0;13.4;22.5;26.6;7.4;5.1;5.6;19.3;270.0;3542.0;67.0;64.5;188.0;3.8
201;Total sex;10;2001 before revision;10801.0;7273.0;7021.0;;;;;;;;;;252.0;3528.0;67.3;65.0;101.0;3.5
202;Total sex;10;2001 after revision;10800.0;7187.0;6935.0;45.6;46.1;13.5;22.0;27.3;7.3;5.1;5.8;19.2;252.0;3613.0;66.5;64.2;146.0;3.5
203;Total sex;10;2002;10863.0;7312.0;7010.0;45.9;46.2;13.2;22.9;26.8;7.4;5.0;5.7;19.1;302.0;3551.0;67.3;64.5;170.0;4.1
204;Total sex;10;2003;10903.0;7364.0;6968.0;46.0;46.5;13.8;23.3;27.2;7.4;4.9;5.1;18.4;396.0;3539.0;67.5;63.9;255.0;5.4
205;Total sex;10;2004;10925.0;7417.0;6941.0;46.2;46.6;12.9;24.3;26.7;7.6;4.3;5.5;18.7;476.0;3508.0;67.9;63.5;319.0;6.4
206;Total sex;10;2005;10940.0;7455.0;6973.0;46.4;46.9;13.8;22.8;27.1;7.8;4.2;5.8;18.6;482.0;3485.0;68.1;63.7;311.0;6.5
207;Total sex;10;2006;10952.0;7507.0;7097.0;46.4;46.8;13.5;22.9;27.4;7.7;4.2;5.6;18.6;410.0;3444.0;68.5;64.8;260.0;5.5
208;Total sex;10;2007;10968.0;7653.0;7309.0;46.7;47.1;14.3;23.5;26.6;7.7;4.4;5.5;18.0;344.0;3315.0;69.8;66.6;182.0;4.5
209;Total sex;10;2008;10997.0;7801.0;7501.0;46.9;47.2;14.8;23.2;26.7;7.6;4.6;5.2;17.9;300.0;3196.0;70.9;68.2;145.0;3.8
210;Total sex;10;2009;11014.0;7846.0;7469.0;46.9;47.2;14.7;23.7;26.8;7.9;4.6;5.1;17.4;377.0;3167.0;71.2;67.8;191.0;4.8
211;Total sex;10;2010;11017.0;7817.0;7391.0;;;;;;;;;;426.0;3200.0;71.0;67.1;231.0;5.4
212;Total sex;10;2011;10994.0;7811.0;7392.0;;;;;;;;;;419.0;3183.0;71.1;67.2;213.0;5.4
213;Total sex;10;2012;10992.0;7894.0;7387.0;;;;;;;;;;507.0;3098.0;71.8;67.2;252.0;6.4
214;Total sex;10;2013;11013.0;7939.0;7283.0;;;;;;;;;;656.0;3074.0;72.1;66.1;335.0;8.3
215;Total sex;53050;1800;;;;;;;;;;;;;;;;;;
216;Total sex;53050;1801;;;;;;;;;;;;;;;;;;
217;Total sex;53050;1802;;;;;;;;;;;;;;;;;;
218;Total sex;53050;1803;;;;;;;;;;;;;;;;;;
219;Total sex;53050;1804;;;;;;;;;;;;;;;;;;
220;Total sex;53050;1805;;;;;;;;;;;;;;;;;;
221;Total sex;53050;1806;;;;;;;;;;;;;;;;;;
222;Total sex;53050;1807;;;;;;;;;;;;;;;;;;
223;Total sex;53050;1808;;;;;;;;;;;;;;;;;;
224;Total sex;53050;1809;;;;;;;;;;;;;;;;;;
225;Total sex;53050;1810;;;;;;;;;;;;;;;;;;
226;Total sex;53050;1811;;;;;;;;;;;;;;;;;;
227;Total sex;53050;1812;;;;;;;;;;;;;;;;;;
228;Total sex;53050;1813;;;;;;;;;;;;;;;;;;
229;Total sex;53050;1814;;;;;;;;;;;;;;;;;;
230;Total sex;53050;1815;;;;;;;;;;;;;;;;;;
231;Total sex;53050;1816;;;;;;;;;;;;;;;;;;
232;Total sex;53050;1817;;;;;;;;;;;;;;;;;;
233;Total sex;53050;1818;;;;;;;;;;;;;;;;;;
234;Total sex;53050;1819;;;;;;;;;;;;;;;;;;
235;Total sex;53050;1820;;;;;;;;;;;;;;;;;;
236;Total sex;53050;1821;;;;;;;;;;;;;;;;;;
237;Total sex;53050;1822;;;;;;;;;;;;;;;;;;
238;Total sex;53050;1823;;;;;;;;;;;;;;;;;;
239;Total sex;53050;1824;;;;;;;;;;;;;;;;;;
240;Total sex;53050;1825;;;;;;;;;;;;;;;;;;
241;Total sex;53050;1826;;;;;;;;;;;;;;;;;;
242;Total sex;53050;1827;;;;;;;;;;;;;;;;;;
243;Total sex;53050;1828;;;;;;;;;;;;;;;;;;
244;Total sex;53050;1829;;;;;;;;;;;;;;;;;;
245;Total sex;53050;1830;;;;;;;;;;;;;;;;;;
246;Total sex;53050;1831;;;;;;;;;;;;;;;;;;
247;Total sex;53050;1832;;;;;;;;;;;;;;;;;;
248;Total sex;53050;1833;;;;;;;;;;;;;;;;;;
249;Total sex;53050;1834;;;;;;;;;;;;;;;;;;
250;Total sex;53050;1835;;;;;;;;;;;;;;;;;;
251;Total sex;53050;1836;;;;;;;;;;;;;;;;;;
252;Total sex;53050;1837;;;;;;;;;;;;;;;;;;
253;Total sex;53050;1838;;;;;;;;;;;;;;;;;;
254;Total sex;53050;1839;;;;;;;;;;;;;;;;;;
255;Total sex;53050;1840;;;;;;;;;;;;;;;;;;
256;Total sex;53050;1841;;;;;;;;;;;;;;;;;;
257;Total sex;53050;1842;;;;;;;;;;;;;;;;;;
258;Total sex;53050;1843;;;;;;;;;;;;;;;;;;
259;Total sex;53050;1844;;;;;;;;;;;;;;;;;;
260;Total sex;53050;1845;;;;;;;;;;;;;;;;;;
261;Total sex;53050;1846;;;;;;;;;;;;;;;;;;
262;Total sex;53050;1847;;;;;;;;;;;;;;;;;;
263;Total sex;53050;1848;;;;;;;;;;;;;;;;;;
264;Total sex;53050;1849;;;;;;;;;;;;;;;;;;
265;Total sex;53050;1850;;;;;;;;;;;;;;;;;;
266;Total sex;53050;1851;;;;;;;;;;;;;;;;;;
267;Total sex;53050;1852;;;;;;;;;;;;;;;;;;
268;Total sex;53050;1853;;;;;;;;;;;;;;;;;;
269;Total sex;53050;1854;;;;;;;;;;;;;;;;;;
270;Total sex;53050;1855;;;;;;;;;;;;;;;;;;
271;Total sex;53050;1856;;;;;;;;;;;;;;;;;;
272;Total sex;53050;1857;;;;;;;;;;;;;;;;;;
273;Total sex;53050;1858;;;;;;;;;;;;;;;;;;
274;Total sex;53050;1859;;;;;;;;;;;;;;;;;;
275;Total sex;53050;1860;;;;;;;;;;;;;;;;;;
276;Total sex;53050;1861;;;;;;;;;;;;;;;;;;
277;Total sex;53050;1862;;;;;;;;;;;;;;;;;;
278;Total sex;53050;1863;;;;;;;;;;;;;;;;;;
279;Total sex;53050;1864;;;;;;;;;;;;;;;;;;
280;Total sex;53050;1865;;;;;;;;;;;;;;;;;;
281;Total sex;53050;1866;;;;;;;;;;;;;;;;;;
282;Total sex;53050;1867;;;;;;;;;;;;;;;;;;
283;Total sex;53050;1868;;;;;;;;;;;;;;;;;;
284;Total sex;53050;1869;;;;;;;;;;;;;;;;;;
285;Total sex;53050;1870;;;;;;;;;;;;;;;;;;
