ID;KenmerkenVanHetOngeval;Verkeersongevallen_1;PriveOngevallen_2;Bedrijfsongevallen_3;SportongevallenEnSportblessures_4;Verkeersongevallen_5;Bedrijfsongevallen_6;SportongevallenEnSportblessures_7;MedischBehandeldVerkeersongevallen_8;MedischBehandeldPriveOngevallen_9;MedischBehandeldBedrijfsongevallen_10;MedischBehSportongevallenBlessures_11;MedischBehandeldPriveOngevallen_12;MedischBehandeldBedrijfsongevallen_13;MedischBehSportongevallenBlessures_14
0;1;78.0;322.0;89.0;201.0;57.0;48.0;238.0;304.0;421.0;136.0;335.0;715.0;261.0;220.0
1;81;;65.0;;56.0;;;72.0;;;;;;;
2;82;;89.0;;43.0;;;51.0;;;;;;;
3;83;;94.0;;49.0;;;48.0;;;;;;;
4;84;;74.0;;52.0;;;66.0;;;;;;;
5;91;;79.0;32.0;31.0;;;45.0;;;;;;;
6;92;40.0;138.0;42.0;90.0;;;92.0;;;;;;;
7;93;;74.0;;62.0;;;77.0;;;;;;;
8;Type letsel: open wond;;88.0;;;;;;31.0;44.0;;;;;
9;Type letsel: kneuzing;37.0;92.0;;49.0;;;102.0;62.0;65.0;;31.0;;;
10;Type letsel: verstuiking, verrekking;;48.0;;86.0;;;82.0;38.0;75.0;;140.0;;;42.0
11;Type letsel: spierscheuring;;;;46.0;;;;;35.0;;106.0;;;
12;Type letsel: fractuur;;44.0;;;;;;87.0;121.0;;54.0;;;
13;Type letsel: overbelasting;;;;;;;;;;;;53.0;72.0;32.0
14;Type letsel: overig letsel;;79.0;;;;;;169.0;154.0;67.0;112.0;591.0;188.0;133.0
15;Gewond lichaamsdeel: hoofd;30.0;69.0;;;;;;143.0;68.0;;;125.0;45.0;
16;Gewond lichaamsdeel: romp;;50.0;;;;;36.0;64.0;82.0;41.0;41.0;277.0;117.0;46.0
17;Gewond lichaamsdeel: bovenste ledematen;;105.0;36.0;44.0;;;45.0;78.0;131.0;48.0;56.0;165.0;89.0;44.0
18;Gewond lichaamsdeel: onderste ledematen;32.0;121.0;;120.0;32.0;;149.0;91.0;171.0;44.0;226.0;217.0;53.0;132.0
19;Med. behandelaar: ziekenhuisopname;;;;;;;;52.0;58.0;;39.0;54.0;;
20;Med. behandelaar: specialist;;45.0;;;;;;88.0;98.0;45.0;72.0;142.0;54.0;35.0
21;Med. behandelaar: SEH/EHBO-afdeling;;52.0;;27.0;;;;44.0;63.0;;51.0;;;
22;Med. behandelaar: ziekenhuisbehandeling;;75.0;;40.0;;;;120.0;145.0;57.0;109.0;174.0;68.0;43.0
23;Med. behandelaar: huisarts;;130.0;32.0;66.0;;;;89.0;129.0;38.0;100.0;268.0;105.0;85.0
24;Med. behandelaar: fysiotherapeut;;;;28.0;;;;71.0;80.0;;89.0;159.0;80.0;53.0
25;Med. behandelaar: overig professioneel;;;;;;;;33.0;;;;;;
26;Bel. med. beh.: ziekenhuisopname;;;;;;;;52.0;58.0;;39.0;54.0;;
27;Bel. med. beh.: specialist;;41.0;;;;;;47.0;70.0;;51.0;111.0;43.0;
28;Bel. med. beh.: ziekenhuisbehandeling;;89.0;21.0;45.0;;;;;59.0;;44.0;141.0;56.0;55.0
