ID;Transactions;InstitutionalSectors;Periods;GovernmentExpenditure_1
0;Total government expenditure;General government;1995;180812
1;Total government expenditure;General government;1996;166162
2;Total government expenditure;General government;1997;171721
3;Total government expenditure;General government;1998;179165
4;Total government expenditure;General government;1999 1st quarter;44825
5;Total government expenditure;General government;1999 2nd quarter;48591
6;Total government expenditure;General government;1999 3rd quarter;44186
7;Total government expenditure;General government;1999 4th quarter;48420
8;Total government expenditure;General government;1999;186022
9;Total government expenditure;General government;2000 1st quarter;46969
10;Total government expenditure;General government;2000 2nd quarter;50950
11;Total government expenditure;General government;2000 3rd quarter;46096
12;Total government expenditure;General government;2000 4th quarter;51378
13;Total government expenditure;General government;2000;195393
14;Total government expenditure;General government;2001 1st quarter;50961
15;Total government expenditure;General government;2001 2nd quarter;55328
16;Total government expenditure;General government;2001 3rd quarter;50741
17;Total government expenditure;General government;2001 4th quarter;55828
18;Total government expenditure;General government;2001;212858
19;Total government expenditure;General government;2002 1st quarter;53936
20;Total government expenditure;General government;2002 2nd quarter;58892
21;Total government expenditure;General government;2002 3rd quarter;53585
22;Total government expenditure;General government;2002 4th quarter;58792
23;Total government expenditure;General government;2002;225205
24;Total government expenditure;General government;2003 1st quarter;56607
25;Total government expenditure;General government;2003 2nd quarter;61371
26;Total government expenditure;General government;2003 3rd quarter;56501
27;Total government expenditure;General government;2003 4th quarter;61099
28;Total government expenditure;General government;2003;235578
29;Total government expenditure;General government;2004 1st quarter;57321
30;Total government expenditure;General government;2004 2nd quarter;61767
31;Total government expenditure;General government;2004 3rd quarter;56423
32;Total government expenditure;General government;2004 4th quarter;61959
33;Total government expenditure;General government;2004;237470
34;Total government expenditure;General government;2005 1st quarter;56865
35;Total government expenditure;General government;2005 2nd quarter;61993
36;Total government expenditure;General government;2005 3rd quarter;56935
37;Total government expenditure;General government;2005 4th quarter;64374
38;Total government expenditure;General government;2005;240167
39;Total government expenditure;General government;2006 1st quarter;61645
40;Total government expenditure;General government;2006 2nd quarter;66819
41;Total government expenditure;General government;2006 3rd quarter;61711
42;Total government expenditure;General government;2006 4th quarter;68077
43;Total government expenditure;General government;2006;258252
44;Total government expenditure;General government;2007 1st quarter;64756
45;Total government expenditure;General government;2007 2nd quarter;69748
46;Total government expenditure;General government;2007 3rd quarter;64013
47;Total government expenditure;General government;2007 4th quarter;70949
