ID;Geslacht;TypeZelfstandige;SociaaleconomischePositieBijUitstroom;Persoonskenmerken;BedrijfstakkenBranchesSBI2008;Perioden;StoppendeZelfstandigen_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;A-U Alle economische activiteiten;2008;148.4
1;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;A-U Alle economische activiteiten;2009;157.1
2;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;A-U Alle economische activiteiten;2010;187.3
3;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;A-U Alle economische activiteiten;2011;147.3
4;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;A-U Alle economische activiteiten;2012;152.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;A-U Alle economische activiteiten;2013;159.7
6;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;A-U Alle economische activiteiten;2014;154.6
7;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;A-U Alle economische activiteiten;2015;153.2
8;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;A-U Alle economische activiteiten;2016;147.3
9;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;A Landbouw, bosbouw en visserij;2008;4.8
10;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;A Landbouw, bosbouw en visserij;2009;5.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;A Landbouw, bosbouw en visserij;2010;4.9
12;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;A Landbouw, bosbouw en visserij;2011;3.6
13;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;A Landbouw, bosbouw en visserij;2012;4.3
14;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;A Landbouw, bosbouw en visserij;2013;4.3
15;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;A Landbouw, bosbouw en visserij;2014;3.7
16;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;A Landbouw, bosbouw en visserij;2015;3.8
17;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;A Landbouw, bosbouw en visserij;2016;3.5
18;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;B Delfstoffenwinning;2008;0.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;B Delfstoffenwinning;2009;0.0
20;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;B Delfstoffenwinning;2010;0.0
21;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;B Delfstoffenwinning;2011;0.0
22;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;B Delfstoffenwinning;2012;0.0
23;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;B Delfstoffenwinning;2013;0.0
24;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;B Delfstoffenwinning;2014;0.0
25;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;B Delfstoffenwinning;2015;0.0
26;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;B Delfstoffenwinning;2016;0.0
27;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;C Industrie;2008;2.2
28;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;C Industrie;2009;2.1
29;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;C Industrie;2010;2.0
30;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;C Industrie;2011;2.1
31;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;C Industrie;2012;2.7
32;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;C Industrie;2013;2.8
33;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;C Industrie;2014;2.4
34;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;C Industrie;2015;2.4
35;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;C Industrie;2016;2.5
36;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;D Energievoorziening;2008;0.0
37;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;D Energievoorziening;2009;0.0
38;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;D Energievoorziening;2010;0.2
39;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;D Energievoorziening;2011;0.0
40;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;D Energievoorziening;2012;0.0
41;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;D Energievoorziening;2013;0.0
42;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;D Energievoorziening;2014;0.1
43;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;D Energievoorziening;2015;0.1
44;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;D Energievoorziening;2016;0.1
45;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;E Waterbedrijven en afvalbeheer;2008;0.0
46;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;E Waterbedrijven en afvalbeheer;2009;0.0
47;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;E Waterbedrijven en afvalbeheer;2010;0.1
48;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;E Waterbedrijven en afvalbeheer;2011;0.0
49;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;E Waterbedrijven en afvalbeheer;2012;0.0
50;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;E Waterbedrijven en afvalbeheer;2013;0.0
51;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;E Waterbedrijven en afvalbeheer;2014;0.0
52;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;E Waterbedrijven en afvalbeheer;2015;0.1
53;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;E Waterbedrijven en afvalbeheer;2016;0.1
54;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;F Bouwnijverheid;2008;4.9
55;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;F Bouwnijverheid;2009;5.1
56;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;F Bouwnijverheid;2010;5.5
57;Totaal mannen en vrouwen;Totaal;Totaal;Migratieachtergrond: Nederland;F Bouwnijverheid;2011;5.5
