ID;HouseholdCharacteristics;Periods;NumberOfHouseholds_1;MeanDisposableIncome_2;MeanEquivalisedIncome_3;MeanExpenditures_4;MedianWealth_5;LowIncomeHouseholds_6;IncomeInequality_7;WealthInequality_8
0;Private households;2011;7347.6;36.6;25.6;;31.8;6.9;0.286;0.777
1;Private households;2012;7412.1;36.8;25.8;;25.1;8.0;0.288;0.791
2;Private households;2013;7467.8;37.0;25.9;;17.2;8.9;0.288;0.818
3;Private households;2014;7496.4;39.0;27.3;;17.3;8.5;0.302;0.818
4;Private households;2015;7568.5;38.6;27.1;33.8;20.9;8.2;0.288;0.814
5;Private households;2016;7623.2;40.2;28.2;;23.5;7.9;0.289;0.808
6;Private households;2017;7694.9;41.6;29.2;;30.2;7.9;0.296;0.8
7;Private households;2018;7760.6;42.5;29.5;;39.4;7.9;0.29;0.789
8;Private households;2019;7827.4;45.7;31.6;;52.4;7.5;0.306;0.774
9;Private households;2020;7894.5;46.4;32.1;35.2;65.3;6.8;0.292;0.766
10;Private households;2021;7951.4;48.5;33.6;;88.4;6.3;0.292;0.74
11;Private households;2022;8041.4;51.2;35.6;;135.3;4.2;0.288;0.719
12;Private households;2023;8156.9;55.0;38.3;;133.3;3.8;0.288;0.723
13;Type: Single person household;2011;2623.5;20.6;20.6;;8.4;11.8;0.301;0.826
14;Type: Single person household;2012;2673.3;20.9;20.9;;7.0;13.6;0.303;0.833
15;Type: Single person household;2013;2713.4;21.0;21.0;;4.7;15.1;0.303;0.846
16;Type: Single person household;2014;2721.7;21.9;21.9;;4.7;14.7;0.309;0.85
17;Type: Single person household;2015;2782.7;22.0;22.0;22.2;6.5;14.2;0.303;0.841
18;Type: Single person household;2016;2820.4;22.6;22.7;;7.0;13.9;0.301;0.839
19;Type: Single person household;2017;2872.5;23.2;23.2;;8.3;14.3;0.303;0.833
20;Type: Single person household;2018;2910.1;23.6;23.7;;9.7;13.9;0.3;0.828
21;Type: Single person household;2019;2949.8;25.1;25.1;;11.2;13.4;0.307;0.819
22;Type: Single person household;2020;2985.9;25.7;25.7;23.6;12.6;12.0;0.299;0.814
23;Type: Single person household;2021;3014.0;26.9;26.9;;15.7;11.3;0.298;0.798
24;Type: Single person household;2022;3085.0;28.5;28.6;;18.0;6.7;0.288;0.789
25;Type: Single person household;2023;3164.0;30.5;30.6;;17.7;5.9;0.286;0.79
26;Type: Multi-person household;2011;4724.0;45.5;28.3;;69.2;4.4;0.263;0.746
27;Type: Multi-person household;2012;4738.8;45.7;28.5;;55.1;5.1;0.264;0.764
28;Type: Multi-person household;2013;4754.4;46.1;28.7;;38.3;5.7;0.264;0.797
29;Type: Multi-person household;2014;4774.7;48.7;30.4;;38.1;5.4;0.283;0.795
30;Type: Multi-person household;2015;4785.8;48.3;30.1;40.5;44.3;5.1;0.264;0.793
31;Type: Multi-person household;2016;4802.8;50.4;31.5;;50.8;4.7;0.266;0.784
32;Type: Multi-person household;2017;4822.4;52.5;32.7;;63.1;4.5;0.273;0.775
