ID;Geslacht;OnderwijspositieBasisjaar;PositieInVolgendSchooljaar;MigratieachtergrondEnGeneratie;Regiokenmerken;Perioden;Leerlingen_1
0;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Nederland;2010/'11 naar 2011/'12;939532.0
1;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Nederland;2011/'12 naar 2012/'13;948673.0
2;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Nederland;2012/'13 naar 2013/'14;960682.0
3;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Nederland;2013/'14 naar 2014/'15;973514.0
4;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Nederland;2014/'15 naar 2015/'16;985069.0
5;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Nederland;2015/'16 naar 2016/'17;995336.0
6;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Nederland;2016/'17 naar 2017/'18;995477.0
7;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Nederland;2017/'18 naar 2018/'19;985252.0
8;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Nederland;2018/'19 naar 2019/'20;968243.0
9;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Nederland;2019/'20 naar 2020/'21;950461.0
10;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Nederland;2020/'21 naar 2021/'22;934228.0
11;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;G4;2010/'11 naar 2011/'12;97251.0
12;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;G4;2011/'12 naar 2012/'13;99967.0
13;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;G4;2012/'13 naar 2013/'14;102318.0
14;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;G4;2013/'14 naar 2014/'15;104685.0
15;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;G4;2014/'15 naar 2015/'16;107102.0
16;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;G4;2015/'16 naar 2016/'17;109662.0
17;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;G4;2016/'17 naar 2017/'18;111468.0
18;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;G4;2017/'18 naar 2018/'19;113495.0
19;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;G4;2018/'19 naar 2019/'20;114541.0
20;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;G4;2019/'20 naar 2020/'21;115614.0
21;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;G4;2020/'21 naar 2021/'22;116255.0
