ID;IncomeThreshold;CaribbeanNetherlands;Periods;PrivateHouseholds_1;PrivateHouseholdsRelative_2;Persons_3;PersonsRelative_4;Children_5;ChildrenRelative_6
0;Total;Caribbean Netherlands;2018;10150;;23650;;5100;
1;Total;Caribbean Netherlands;2019;10600;;24300;;5150;
2;Total;Caribbean Netherlands;2020;10950;;25100;;5300;
3;Total;Caribbean Netherlands;2021;11300;;25900;;5450;
4;Total;Caribbean Netherlands;2022;12000;;27000;;5600;
5;Total;Bonaire;2018;8100;;19150;;4050;
6;Total;Bonaire;2019;8500;;19800;;4100;
7;Total;Bonaire;2020;8900;;20550;;4250;
8;Total;Bonaire;2021;9200;;21250;;4400;
9;Total;Bonaire;2022;9800;;22250;;4550;
10;Total;St. Eustatius;2018;1300;;2900;;700;
11;Total;St. Eustatius;2019;1350;;2900;;700;
12;Total;St. Eustatius;2020;1300;;2950;;700;
13;Total;St. Eustatius;2021;1350;;3000;;700;
14;Total;St. Eustatius;2022;1400;;3050;;700;
15;Total;Saba;2018;750;;1600;;350;
16;Total;Saba;2019;750;;1600;;350;
17;Total;Saba;2020;750;;1600;;350;
18;Total;Saba;2021;750;;1600;;350;
19;Total;Saba;2022;800;;1700;;350;
20;Classified;Caribbean Netherlands;2018;9550;100.0;20400;100.0;4450;100.0
21;Classified;Caribbean Netherlands;2019;9950;100.0;21050;100.0;4550;100.0
22;Classified;Caribbean Netherlands;2020;10250;100.0;21550;100.0;4650;100.0
23;Classified;Caribbean Netherlands;2021;10600;100.0;22150;100.0;4800;100.0
24;Classified;Caribbean Netherlands;2022;11250;100.0;23300;100.0;5000;100.0
25;Classified;Bonaire;2018;7600;100.0;16400;100.0;3500;100.0
26;Classified;Bonaire;2019;7950;100.0;17000;100.0;3600;100.0
27;Classified;Bonaire;2020;8300;100.0;17500;100.0;3700;100.0
28;Classified;Bonaire;2021;8600;100.0;18050;100.0;3850;100.0
29;Classified;Bonaire;2022;9150;100.0;19100;100.0;4050;100.0
30;Classified;St. Eustatius;2018;1250;100.0;2550;100.0;650;100.0
31;Classified;St. Eustatius;2019;1250;100.0;2600;100.0;650;100.0
32;Classified;St. Eustatius;2020;1250;100.0;2600;100.0;650;100.0
33;Classified;St. Eustatius;2021;1300;100.0;2650;100.0;650;100.0
34;Classified;St. Eustatius;2022;1300;100.0;2650;100.0;650;100.0
35;Classified;Saba;2018;700;100.0;1450;100.0;300;100.0
36;Classified;Saba;2019;750;100.0;1450;100.0;300;100.0
37;Classified;Saba;2020;750;100.0;1450;100.0;300;100.0
38;Classified;Saba;2021;750;100.0;1450;100.0;300;100.0
39;Classified;Saba;2022;750;100.0;1550;100.0;300;100.0
40;Income up to 50% benchmark soc. minimum;Caribbean Netherlands;2018;950;10.0;1750;9.0;450;10.0
41;Income up to 50% benchmark soc. minimum;Caribbean Netherlands;2019;950;9.0;1650;8.0;400;9.0
42;Income up to 50% benchmark soc. minimum;Caribbean Netherlands;2020;800;8.0;1500;7.0;400;8.0
43;Income up to 50% benchmark soc. minimum;Caribbean Netherlands;2021;900;9.0;1700;8.0;450;9.0
44;Income up to 50% benchmark soc. minimum;Caribbean Netherlands;2022;1000;9.0;1900;8.0;500;10.0
45;Income up to 50% benchmark soc. minimum;Bonaire;2018;750;10.0;1400;8.0;350;10.0
46;Income up to 50% benchmark soc. minimum;Bonaire;2019;750;9.0;1300;8.0;300;8.0
47;Income up to 50% benchmark soc. minimum;Bonaire;2020;650;8.0;1200;7.0;300;8.0
48;Income up to 50% benchmark soc. minimum;Bonaire;2021;750;9.0;1350;8.0;350;9.0
49;Income up to 50% benchmark soc. minimum;Bonaire;2022;850;9.0;1650;9.0;450;11.0
50;Income up to 50% benchmark soc. minimum;St. Eustatius;2018;150;11.0;250;10.0;100;13.0
