ID;Geslacht;Leeftijd;Marges;Perioden;TevredenMetArbeidsomstandigheden_1;TevredenMetWerk_2;LeeftijdWillenDoorwerken_3;LeeftijdInStaatDoorwerken_4;VoldoenAanFysiekeEisenWerk_5;VoldoenAanPsychischeEisenWerk_6;MakkelijkNieuweFunctieEigenWerkgever_7;MakkelijkNieuweBaanAndereWerkgever_8
0;Totaal mannen en vrouwen;15 tot 75 jaar ;Waarde;2014;73.1;76.5;63.0;62.6;90.6;90.4;47.0;53.2
1;Totaal mannen en vrouwen;15 tot 75 jaar ;Waarde;2015;73.2;76.4;63.0;62.7;89.8;90.7;47.9;55.0
2;Totaal mannen en vrouwen;15 tot 75 jaar ;Waarde;2016;73.5;77.0;62.8;62.5;90.8;91.2;49.7;59.6
3;Totaal mannen en vrouwen;15 tot 75 jaar ;Waarde;2017;72.2;76.0;62.6;62.3;89.1;89.3;52.0;64.5
4;Totaal mannen en vrouwen;15 tot 75 jaar ;Waarde;2018;72.6;76.6;62.6;62.4;89.9;90.2;52.7;70.0
5;Totaal mannen en vrouwen;15 tot 75 jaar ;Waarde;2019;74.6;77.9;62.7;62.7;89.7;89.9;53.7;70.9
6;Totaal mannen en vrouwen;15 tot 75 jaar ;Waarde;2020;76.5;79.2;62.7;63.3;91.9;92.0;56.0;70.6
7;Totaal mannen en vrouwen;15 tot 75 jaar ;Waarde;2021;76.9;79.0;62.3;63.0;90.6;90.4;57.5;75.2
8;Totaal mannen en vrouwen;15 tot 75 jaar ;Waarde;2022;75.9;77.9;63.0;62.6;90.9;89.3;58.3;80.6
9;Totaal mannen en vrouwen;15 tot 75 jaar ;Waarde;2023;77.4;78.9;62.9;62.8;91.5;89.9;59.3;80.2
10;Totaal mannen en vrouwen;15 tot 75 jaar ;Waarde;2024;77.2;78.7;62.9;62.8;91.4;89.9;58.8;79.9
11;Totaal mannen en vrouwen;15 tot 75 jaar ;Ondergrens 95%-interval;2014;72.6;76.0;62.9;62.5;90.3;90.1;46.5;52.6
12;Totaal mannen en vrouwen;15 tot 75 jaar ;Ondergrens 95%-interval;2015;72.7;76.0;62.9;62.6;89.5;90.4;47.4;54.5
13;Totaal mannen en vrouwen;15 tot 75 jaar ;Ondergrens 95%-interval;2016;73.1;76.6;62.7;62.4;90.5;90.9;49.2;59.1
14;Totaal mannen en vrouwen;15 tot 75 jaar ;Ondergrens 95%-interval;2017;71.8;75.6;62.4;62.2;88.8;89.0;51.5;64.0
15;Totaal mannen en vrouwen;15 tot 75 jaar ;Ondergrens 95%-interval;2018;72.2;76.3;62.5;62.3;89.6;90.0;52.2;69.6
16;Totaal mannen en vrouwen;15 tot 75 jaar ;Ondergrens 95%-interval;2019;74.2;77.6;62.6;62.6;89.4;89.6;53.2;70.5
17;Totaal mannen en vrouwen;15 tot 75 jaar ;Ondergrens 95%-interval;2020;76.1;78.8;62.6;63.2;91.6;91.7;55.6;70.2
18;Totaal mannen en vrouwen;15 tot 75 jaar ;Ondergrens 95%-interval;2021;76.5;78.6;62.2;62.9;90.3;90.1;57.0;74.8
19;Totaal mannen en vrouwen;15 tot 75 jaar ;Ondergrens 95%-interval;2022;75.5;77.5;62.9;62.4;90.7;89.0;57.8;80.2
20;Totaal mannen en vrouwen;15 tot 75 jaar ;Ondergrens 95%-interval;2023;77.0;78.5;62.8;62.7;91.3;89.7;58.8;79.9
21;Totaal mannen en vrouwen;15 tot 75 jaar ;Ondergrens 95%-interval;2024;76.8;78.3;62.8;62.6;91.1;89.6;58.4;79.6
22;Totaal mannen en vrouwen;15 tot 75 jaar ;Bovengrens 95%-interval;2014;73.6;77.0;63.2;62.8;90.9;90.7;47.6;53.7
23;Totaal mannen en vrouwen;15 tot 75 jaar ;Bovengrens 95%-interval;2015;73.6;76.8;63.1;62.8;90.1;91.0;48.4;55.5
24;Totaal mannen en vrouwen;15 tot 75 jaar ;Bovengrens 95%-interval;2016;73.9;77.4;62.9;62.6;91.1;91.5;50.3;60.1
25;Totaal mannen en vrouwen;15 tot 75 jaar ;Bovengrens 95%-interval;2017;72.7;76.4;62.7;62.5;89.4;89.6;52.5;65.0
26;Totaal mannen en vrouwen;15 tot 75 jaar ;Bovengrens 95%-interval;2018;73.0;77.0;62.7;62.6;90.1;90.5;53.1;70.4
27;Totaal mannen en vrouwen;15 tot 75 jaar ;Bovengrens 95%-interval;2019;75.0;78.3;62.8;62.8;89.9;90.2;54.1;71.3
28;Totaal mannen en vrouwen;15 tot 75 jaar ;Bovengrens 95%-interval;2020;76.9;79.6;62.8;63.4;92.1;92.2;56.5;71.0
29;Totaal mannen en vrouwen;15 tot 75 jaar ;Bovengrens 95%-interval;2021;77.3;79.4;62.5;63.2;90.8;90.7;58.0;75.6
30;Totaal mannen en vrouwen;15 tot 75 jaar ;Bovengrens 95%-interval;2022;76.3;78.3;63.1;62.7;91.2;89.6;58.7;80.9
31;Totaal mannen en vrouwen;15 tot 75 jaar ;Bovengrens 95%-interval;2023;77.8;79.2;63.0;62.9;91.8;90.2;59.7;80.6
32;Totaal mannen en vrouwen;15 tot 75 jaar ;Bovengrens 95%-interval;2024;77.6;79.1;63.0;62.9;91.6;90.2;59.3;80.3
33;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2014;76.9;76.5;56.9;56.8;92.3;94.4;55.7;72.3
34;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2015;76.1;76.1;55.5;57.0;92.3;93.9;58.2;75.4
35;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2016;75.9;75.2;55.4;56.4;92.8;94.9;57.4;77.2
36;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2017;76.3;76.0;53.9;55.7;92.0;93.5;62.4;82.0
37;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2018;76.5;77.4;55.3;56.7;93.2;94.1;61.1;85.4
38;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2019;78.7;78.2;55.5;56.7;92.6;93.0;62.6;85.4
39;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2020;79.5;79.9;53.4;56.8;94.4;95.0;64.6;83.4
40;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2021;78.1;78.2;53.3;55.8;93.8;93.7;66.4;86.0
41;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2022;78.5;78.7;56.3;54.1;92.8;92.4;64.6;88.8
42;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2023;79.2;79.0;54.9;54.6;93.3;92.7;65.6;87.6
43;Totaal mannen en vrouwen;15 tot 25 jaar;Waarde;2024;78.1;78.6;54.9;54.2;93.4;92.8;64.6;86.6
44;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2014;75.4;75.1;56.0;55.9;91.3;93.5;54.0;70.7
45;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2015;74.9;75.0;54.8;56.5;91.6;93.3;57.0;74.3
46;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2016;74.8;74.0;54.7;55.7;92.1;94.2;56.1;76.1
47;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2017;75.1;74.8;53.2;55.1;91.2;92.7;61.1;80.9
48;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2018;75.5;76.4;54.7;56.1;92.6;93.5;60.0;84.6
49;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2019;77.7;77.3;54.9;56.2;92.0;92.3;61.5;84.5
50;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2020;78.5;78.9;52.8;56.2;93.8;94.4;63.4;82.5
51;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2021;76.9;77.0;52.6;55.1;93.0;93.0;65.1;85.1
52;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2022;77.5;77.7;55.7;53.5;92.1;91.8;63.5;88.1
53;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2023;78.3;78.0;54.4;54.0;92.7;92.0;64.5;86.8
54;Totaal mannen en vrouwen;15 tot 25 jaar;Ondergrens 95%-interval;2024;77.1;77.7;54.3;53.6;92.8;92.2;63.5;85.8
55;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2014;78.2;77.9;57.8;57.6;93.2;95.2;57.3;73.8
56;Totaal mannen en vrouwen;15 tot 25 jaar;Bovengrens 95%-interval;2015;77.1;77.2;56.2;57.6;93.0;94.6;59.5;76.5
