ID;Geslacht;Studierichting;Perioden;Promoties_1
0;Totaal mannen en vrouwen;Totaal;2016/'17;4747
1;Totaal mannen en vrouwen;Totaal;2017/'18;4781
2;Totaal mannen en vrouwen;Totaal;2018/'19;4956
3;Totaal mannen en vrouwen;Totaal;2019/'20;4460
4;Totaal mannen en vrouwen;Totaal;2020/'21;5219
5;Totaal mannen en vrouwen;Totaal;2021/'22;4983
6;Totaal mannen en vrouwen;Totaal;2022/'23;5120
7;Totaal mannen en vrouwen;Totaal;2023/'24;5595
8;Totaal mannen en vrouwen;01 Onderwijs;2016/'17;68
9;Totaal mannen en vrouwen;01 Onderwijs;2017/'18;60
10;Totaal mannen en vrouwen;01 Onderwijs;2018/'19;61
11;Totaal mannen en vrouwen;01 Onderwijs;2019/'20;42
12;Totaal mannen en vrouwen;01 Onderwijs;2020/'21;65
13;Totaal mannen en vrouwen;01 Onderwijs;2021/'22;61
14;Totaal mannen en vrouwen;01 Onderwijs;2022/'23;59
15;Totaal mannen en vrouwen;01 Onderwijs;2023/'24;55
16;Totaal mannen en vrouwen;02 Vormgeving, kunst, talen en gesch...;2016/'17;373
17;Totaal mannen en vrouwen;02 Vormgeving, kunst, talen en gesch...;2017/'18;363
18;Totaal mannen en vrouwen;02 Vormgeving, kunst, talen en gesch...;2018/'19;340
19;Totaal mannen en vrouwen;02 Vormgeving, kunst, talen en gesch...;2019/'20;348
20;Totaal mannen en vrouwen;02 Vormgeving, kunst, talen en gesch...;2020/'21;354
21;Totaal mannen en vrouwen;02 Vormgeving, kunst, talen en gesch...;2021/'22;349
22;Totaal mannen en vrouwen;02 Vormgeving, kunst, talen en gesch...;2022/'23;326
23;Totaal mannen en vrouwen;02 Vormgeving, kunst, talen en gesch...;2023/'24;307
24;Totaal mannen en vrouwen;03 Journalistiek, gedrag en maatschappij;2016/'17;486
25;Totaal mannen en vrouwen;03 Journalistiek, gedrag en maatschappij;2017/'18;421
26;Totaal mannen en vrouwen;03 Journalistiek, gedrag en maatschappij;2018/'19;457
27;Totaal mannen en vrouwen;03 Journalistiek, gedrag en maatschappij;2019/'20;413
28;Totaal mannen en vrouwen;03 Journalistiek, gedrag en maatschappij;2020/'21;453
29;Totaal mannen en vrouwen;03 Journalistiek, gedrag en maatschappij;2021/'22;402
30;Totaal mannen en vrouwen;03 Journalistiek, gedrag en maatschappij;2022/'23;322
31;Totaal mannen en vrouwen;03 Journalistiek, gedrag en maatschappij;2023/'24;373
32;Totaal mannen en vrouwen;04 Recht, administratie, handel en za...;2016/'17;375
33;Totaal mannen en vrouwen;04 Recht, administratie, handel en za...;2017/'18;437
34;Totaal mannen en vrouwen;04 Recht, administratie, handel en za...;2018/'19;325
35;Totaal mannen en vrouwen;04 Recht, administratie, handel en za...;2019/'20;372
36;Totaal mannen en vrouwen;04 Recht, administratie, handel en za...;2020/'21;421
37;Totaal mannen en vrouwen;04 Recht, administratie, handel en za...;2021/'22;364
38;Totaal mannen en vrouwen;04 Recht, administratie, handel en za...;2022/'23;377
39;Totaal mannen en vrouwen;04 Recht, administratie, handel en za...;2023/'24;430
40;Totaal mannen en vrouwen;05 Wiskunde, natuurwetenschappen;2016/'17;760
41;Totaal mannen en vrouwen;05 Wiskunde, natuurwetenschappen;2017/'18;800
42;Totaal mannen en vrouwen;05 Wiskunde, natuurwetenschappen;2018/'19;902
43;Totaal mannen en vrouwen;05 Wiskunde, natuurwetenschappen;2019/'20;822
44;Totaal mannen en vrouwen;05 Wiskunde, natuurwetenschappen;2020/'21;884
45;Totaal mannen en vrouwen;05 Wiskunde, natuurwetenschappen;2021/'22;944
46;Totaal mannen en vrouwen;05 Wiskunde, natuurwetenschappen;2022/'23;961
47;Totaal mannen en vrouwen;05 Wiskunde, natuurwetenschappen;2023/'24;1105
48;Totaal mannen en vrouwen;06 Informatica;2016/'17;115
49;Totaal mannen en vrouwen;06 Informatica;2017/'18;102
50;Totaal mannen en vrouwen;06 Informatica;2018/'19;110
51;Totaal mannen en vrouwen;06 Informatica;2019/'20;84
52;Totaal mannen en vrouwen;06 Informatica;2020/'21;125
53;Totaal mannen en vrouwen;06 Informatica;2021/'22;120
54;Totaal mannen en vrouwen;06 Informatica;2022/'23;134
55;Totaal mannen en vrouwen;06 Informatica;2023/'24;203
56;Totaal mannen en vrouwen;07 Techniek, industrie en bouwkunde;2016/'17;535
57;Totaal mannen en vrouwen;07 Techniek, industrie en bouwkunde;2017/'18;560
58;Totaal mannen en vrouwen;07 Techniek, industrie en bouwkunde;2018/'19;671
59;Totaal mannen en vrouwen;07 Techniek, industrie en bouwkunde;2019/'20;543
60;Totaal mannen en vrouwen;07 Techniek, industrie en bouwkunde;2020/'21;616
61;Totaal mannen en vrouwen;07 Techniek, industrie en bouwkunde;2021/'22;461
62;Totaal mannen en vrouwen;07 Techniek, industrie en bouwkunde;2022/'23;461
63;Totaal mannen en vrouwen;07 Techniek, industrie en bouwkunde;2023/'24;505
64;Totaal mannen en vrouwen;08 Landbouw, diergeneeskunde en -verz...;2016/'17;325
65;Totaal mannen en vrouwen;08 Landbouw, diergeneeskunde en -verz...;2017/'18;314
66;Totaal mannen en vrouwen;08 Landbouw, diergeneeskunde en -verz...;2018/'19;309
67;Totaal mannen en vrouwen;08 Landbouw, diergeneeskunde en -verz...;2019/'20;315
68;Totaal mannen en vrouwen;08 Landbouw, diergeneeskunde en -verz...;2020/'21;314
69;Totaal mannen en vrouwen;08 Landbouw, diergeneeskunde en -verz...;2021/'22;334
70;Totaal mannen en vrouwen;08 Landbouw, diergeneeskunde en -verz...;2022/'23;372
71;Totaal mannen en vrouwen;08 Landbouw, diergeneeskunde en -verz...;2023/'24;408
72;Totaal mannen en vrouwen;09 Gezondheidszorg en welzijn;2016/'17;1708
73;Totaal mannen en vrouwen;09 Gezondheidszorg en welzijn;2017/'18;1724
74;Totaal mannen en vrouwen;09 Gezondheidszorg en welzijn;2018/'19;1780
75;Totaal mannen en vrouwen;09 Gezondheidszorg en welzijn;2019/'20;1516
76;Totaal mannen en vrouwen;09 Gezondheidszorg en welzijn;2020/'21;1987
77;Totaal mannen en vrouwen;09 Gezondheidszorg en welzijn;2021/'22;1946
78;Totaal mannen en vrouwen;09 Gezondheidszorg en welzijn;2022/'23;2108
79;Totaal mannen en vrouwen;09 Gezondheidszorg en welzijn;2023/'24;2206
80;Totaal mannen en vrouwen;10 Dienstverlening;2016/'17;0
81;Totaal mannen en vrouwen;10 Dienstverlening;2017/'18;0
82;Totaal mannen en vrouwen;10 Dienstverlening;2018/'19;0
83;Totaal mannen en vrouwen;10 Dienstverlening;2019/'20;0
84;Totaal mannen en vrouwen;10 Dienstverlening;2020/'21;0
85;Totaal mannen en vrouwen;10 Dienstverlening;2021/'22;0
86;Totaal mannen en vrouwen;10 Dienstverlening;2022/'23;0
87;Totaal mannen en vrouwen;10 Dienstverlening;2023/'24;0
88;Totaal mannen en vrouwen;Onderwijsrichting onbekend;2016/'17;2
89;Totaal mannen en vrouwen;Onderwijsrichting onbekend;2017/'18;0
90;Totaal mannen en vrouwen;Onderwijsrichting onbekend;2018/'19;1
91;Totaal mannen en vrouwen;Onderwijsrichting onbekend;2019/'20;5
92;Totaal mannen en vrouwen;Onderwijsrichting onbekend;2020/'21;0
93;Totaal mannen en vrouwen;Onderwijsrichting onbekend;2021/'22;2
94;Totaal mannen en vrouwen;Onderwijsrichting onbekend;2022/'23;0
95;Totaal mannen en vrouwen;Onderwijsrichting onbekend;2023/'24;0
96;Mannen;Totaal;2016/'17;2473
97;Mannen;Totaal;2017/'18;2481
98;Mannen;Totaal;2018/'19;2606
99;Mannen;Totaal;2019/'20;2242
100;Mannen;Totaal;2020/'21;2607
101;Mannen;Totaal;2021/'22;2497
102;Mannen;Totaal;2022/'23;2469
103;Mannen;Totaal;2023/'24;2692
104;Mannen;01 Onderwijs;2016/'17;10
105;Mannen;01 Onderwijs;2017/'18;19
106;Mannen;01 Onderwijs;2018/'19;19
107;Mannen;01 Onderwijs;2019/'20;11
108;Mannen;01 Onderwijs;2020/'21;18
109;Mannen;01 Onderwijs;2021/'22;21
110;Mannen;01 Onderwijs;2022/'23;5
111;Mannen;01 Onderwijs;2023/'24;12
112;Mannen;02 Vormgeving, kunst, talen en gesch...;2016/'17;204
113;Mannen;02 Vormgeving, kunst, talen en gesch...;2017/'18;186
114;Mannen;02 Vormgeving, kunst, talen en gesch...;2018/'19;187
115;Mannen;02 Vormgeving, kunst, talen en gesch...;2019/'20;180
116;Mannen;02 Vormgeving, kunst, talen en gesch...;2020/'21;204
117;Mannen;02 Vormgeving, kunst, talen en gesch...;2021/'22;173
118;Mannen;02 Vormgeving, kunst, talen en gesch...;2022/'23;162
119;Mannen;02 Vormgeving, kunst, talen en gesch...;2023/'24;156
120;Mannen;03 Journalistiek, gedrag en maatschappij;2016/'17;234
121;Mannen;03 Journalistiek, gedrag en maatschappij;2017/'18;160
122;Mannen;03 Journalistiek, gedrag en maatschappij;2018/'19;192
123;Mannen;03 Journalistiek, gedrag en maatschappij;2019/'20;144
124;Mannen;03 Journalistiek, gedrag en maatschappij;2020/'21;179
125;Mannen;03 Journalistiek, gedrag en maatschappij;2021/'22;150
126;Mannen;03 Journalistiek, gedrag en maatschappij;2022/'23;121
127;Mannen;03 Journalistiek, gedrag en maatschappij;2023/'24;151
128;Mannen;04 Recht, administratie, handel en za...;2016/'17;207
129;Mannen;04 Recht, administratie, handel en za...;2017/'18;248
130;Mannen;04 Recht, administratie, handel en za...;2018/'19;182
131;Mannen;04 Recht, administratie, handel en za...;2019/'20;200
132;Mannen;04 Recht, administratie, handel en za...;2020/'21;207
133;Mannen;04 Recht, administratie, handel en za...;2021/'22;213
134;Mannen;04 Recht, administratie, handel en za...;2022/'23;200
135;Mannen;04 Recht, administratie, handel en za...;2023/'24;232
136;Mannen;05 Wiskunde, natuurwetenschappen;2016/'17;481
137;Mannen;05 Wiskunde, natuurwetenschappen;2017/'18;500
138;Mannen;05 Wiskunde, natuurwetenschappen;2018/'19;576
139;Mannen;05 Wiskunde, natuurwetenschappen;2019/'20;532
140;Mannen;05 Wiskunde, natuurwetenschappen;2020/'21;536
141;Mannen;05 Wiskunde, natuurwetenschappen;2021/'22;615
142;Mannen;05 Wiskunde, natuurwetenschappen;2022/'23;593
143;Mannen;05 Wiskunde, natuurwetenschappen;2023/'24;696
144;Mannen;06 Informatica;2016/'17;94
145;Mannen;06 Informatica;2017/'18;88
146;Mannen;06 Informatica;2018/'19;84
147;Mannen;06 Informatica;2019/'20;62
148;Mannen;06 Informatica;2020/'21;97
149;Mannen;06 Informatica;2021/'22;103
150;Mannen;06 Informatica;2022/'23;102
151;Mannen;06 Informatica;2023/'24;136
152;Mannen;07 Techniek, industrie en bouwkunde;2016/'17;383
153;Mannen;07 Techniek, industrie en bouwkunde;2017/'18;418
154;Mannen;07 Techniek, industrie en bouwkunde;2018/'19;475
155;Mannen;07 Techniek, industrie en bouwkunde;2019/'20;387
156;Mannen;07 Techniek, industrie en bouwkunde;2020/'21;428
157;Mannen;07 Techniek, industrie en bouwkunde;2021/'22;330
158;Mannen;07 Techniek, industrie en bouwkunde;2022/'23;322
159;Mannen;07 Techniek, industrie en bouwkunde;2023/'24;333
160;Mannen;08 Landbouw, diergeneeskunde en -verz...;2016/'17;149
161;Mannen;08 Landbouw, diergeneeskunde en -verz...;2017/'18;161
162;Mannen;08 Landbouw, diergeneeskunde en -verz...;2018/'19;159
163;Mannen;08 Landbouw, diergeneeskunde en -verz...;2019/'20;155
164;Mannen;08 Landbouw, diergeneeskunde en -verz...;2020/'21;146
165;Mannen;08 Landbouw, diergeneeskunde en -verz...;2021/'22;165
166;Mannen;08 Landbouw, diergeneeskunde en -verz...;2022/'23;181
167;Mannen;08 Landbouw, diergeneeskunde en -verz...;2023/'24;182
168;Mannen;09 Gezondheidszorg en welzijn;2016/'17;709
169;Mannen;09 Gezondheidszorg en welzijn;2017/'18;701
170;Mannen;09 Gezondheidszorg en welzijn;2018/'19;731
171;Mannen;09 Gezondheidszorg en welzijn;2019/'20;570
172;Mannen;09 Gezondheidszorg en welzijn;2020/'21;792
173;Mannen;09 Gezondheidszorg en welzijn;2021/'22;727
