ID;Zorgaanbieders;FinancieringsvormenZorg;Perioden;UitgavenAanGezondheidszorgIngezetenen_1
0;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2021;100183.0
1;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2022;100607.0
2;Totaal aanbieders gezondheidszorg;Totaal financiering van ingezetenen;2023;106359.0
3;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2021;84279.0
4;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2022;83775.0
5;Totaal aanbieders gezondheidszorg;HF1: Overheid en soc. verzekering;2023;88424.0
6;Totaal aanbieders gezondheidszorg;HF11: Overheid;2021;14116.0
7;Totaal aanbieders gezondheidszorg;HF11: Overheid;2022;11184.0
8;Totaal aanbieders gezondheidszorg;HF11: Overheid;2023;9636.0
9;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2021;70163.0
10;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2022;72591.0
11;Totaal aanbieders gezondheidszorg;HF12: Verplichte premiegeb verzekeringen;2023;78788.0
12;Totaal aanbieders gezondheidszorg;HF121a: Wlz, AWBZ;2021;21916.0
13;Totaal aanbieders gezondheidszorg;HF121a: Wlz, AWBZ;2022;23052.0
14;Totaal aanbieders gezondheidszorg;HF121a: Wlz, AWBZ;2023;25489.0
15;Totaal aanbieders gezondheidszorg;HF121b: Ziekenfonds;2021;
16;Totaal aanbieders gezondheidszorg;HF121b: Ziekenfonds;2022;
17;Totaal aanbieders gezondheidszorg;HF121b: Ziekenfonds;2023;
18;Totaal aanbieders gezondheidszorg;HF122: Zorgverzekeringswet;2021;48247.0
19;Totaal aanbieders gezondheidszorg;HF122: Zorgverzekeringswet;2022;49538.0
20;Totaal aanbieders gezondheidszorg;HF122: Zorgverzekeringswet;2023;53300.0
21;Totaal aanbieders gezondheidszorg;Vrijwillige financiering, eigen betaling;2021;15904.0
22;Totaal aanbieders gezondheidszorg;Vrijwillige financiering, eigen betaling;2022;16832.0
23;Totaal aanbieders gezondheidszorg;Vrijwillige financiering, eigen betaling;2023;17935.0
24;Totaal aanbieders gezondheidszorg;HF2: Vrijwillige financieringsvormen;2021;5243.0
25;Totaal aanbieders gezondheidszorg;HF2: Vrijwillige financieringsvormen;2022;5230.0
26;Totaal aanbieders gezondheidszorg;HF2: Vrijwillige financieringsvormen;2023;5594.0
27;Totaal aanbieders gezondheidszorg;HF21:Vrijwillige ziektekostenverzekering;2021;4127.0
28;Totaal aanbieders gezondheidszorg;HF21:Vrijwillige ziektekostenverzekering;2022;4135.0
29;Totaal aanbieders gezondheidszorg;HF21:Vrijwillige ziektekostenverzekering;2023;4422.0
30;Totaal aanbieders gezondheidszorg;HF22: Financiering door IZWH;2021;44.0
31;Totaal aanbieders gezondheidszorg;HF22: Financiering door IZWH;2022;46.0
32;Totaal aanbieders gezondheidszorg;HF22: Financiering door IZWH;2023;51.0
33;Totaal aanbieders gezondheidszorg;HF23: Financiering door ondernemingen;2021;1072.0
34;Totaal aanbieders gezondheidszorg;HF23: Financiering door ondernemingen;2022;1049.0
35;Totaal aanbieders gezondheidszorg;HF23: Financiering door ondernemingen;2023;1121.0
36;Totaal aanbieders gezondheidszorg;HF3: Eigen betalingen;2021;10662.0
37;Totaal aanbieders gezondheidszorg;HF3: Eigen betalingen;2022;11602.0
38;Totaal aanbieders gezondheidszorg;HF3: Eigen betalingen;2023;12341.0
39;Totaal aanbieders gezondheidszorg;HF31: Directe eigen betalingen;2021;5574.0
40;Totaal aanbieders gezondheidszorg;HF31: Directe eigen betalingen;2022;6305.0
41;Totaal aanbieders gezondheidszorg;HF31: Directe eigen betalingen;2023;6835.0
42;Totaal aanbieders gezondheidszorg;HF32: Eigen risico en bijdragen;2021;5088.0
43;Totaal aanbieders gezondheidszorg;HF32: Eigen risico en bijdragen;2022;5297.0
44;Totaal aanbieders gezondheidszorg;HF32: Eigen risico en bijdragen;2023;5506.0
45;HP1: Ziekenhuizen;Totaal financiering van ingezetenen;2021;32424.0
46;HP1: Ziekenhuizen;Totaal financiering van ingezetenen;2022;33212.0
47;HP1: Ziekenhuizen;Totaal financiering van ingezetenen;2023;35430.0
48;HP1: Ziekenhuizen;HF1: Overheid en soc. verzekering;2021;30351.0
49;HP1: Ziekenhuizen;HF1: Overheid en soc. verzekering;2022;31062.0
50;HP1: Ziekenhuizen;HF1: Overheid en soc. verzekering;2023;33226.0
51;HP1: Ziekenhuizen;HF11: Overheid;2021;2582.0
52;HP1: Ziekenhuizen;HF11: Overheid;2022;2610.0
53;HP1: Ziekenhuizen;HF11: Overheid;2023;2526.0
54;HP1: Ziekenhuizen;HF12: Verplichte premiegeb verzekeringen;2021;27769.0
55;HP1: Ziekenhuizen;HF12: Verplichte premiegeb verzekeringen;2022;28453.0
56;HP1: Ziekenhuizen;HF12: Verplichte premiegeb verzekeringen;2023;30701.0
57;HP1: Ziekenhuizen;HF121a: Wlz, AWBZ;2021;1025.0
58;HP1: Ziekenhuizen;HF121a: Wlz, AWBZ;2022;1022.0
59;HP1: Ziekenhuizen;HF121a: Wlz, AWBZ;2023;1163.0
60;HP1: Ziekenhuizen;HF121b: Ziekenfonds;2021;
61;HP1: Ziekenhuizen;HF121b: Ziekenfonds;2022;
