ID;Geslacht;Leeftijd;TypeInstelling;RegioS;Perioden;AantalUltimoVerslagjaar_1;PercentageUltimoVerslagjaar_2;AantalInVerslagjaar_3;PercentageInVerslagjaar_4;OpnamedagenInVerslagjaar_5
0;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Nederland;2004;227900;1.79;310605.0;2.44;83948.0
1;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Nederland;2005;230160;1.8;316285.0;2.47;84381.0
2;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Nederland;2006;232640;1.82;321735.0;2.51;85753.0
3;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Nederland;2007;238890;1.86;;;
4;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Nederland;2008;239095;1.84;334405.0;2.59;87442.0
5;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Nederland;2009;246275;1.88;342425.0;2.63;89080.0
6;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;4 grote gemeenten;2004;26590;1.59;39325.0;2.37;9782.0
7;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;4 grote gemeenten;2005;27265;1.63;39810.0;2.4;9955.0
8;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;4 grote gemeenten;2006;27640;1.65;40845.0;2.47;10252.0
9;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;4 grote gemeenten;2007;27655;1.63;;;
10;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;4 grote gemeenten;2008;28190;1.64;41355.0;2.49;10189.0
11;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;4 grote gemeenten;2009;29375;1.69;42630.0;2.52;10562.0
12;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Overige gemeenten;2004;201315;1.82;271280.0;2.45;74166.0
13;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Overige gemeenten;2005;202895;1.83;276475.0;2.49;74426.0
14;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Overige gemeenten;2006;205000;1.84;280890.0;2.52;75500.0
15;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Overige gemeenten;2007;211235;1.89;;;
16;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Overige gemeenten;2008;210905;1.87;293045.0;2.61;77253.0
17;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Overige gemeenten;2009;216900;1.91;299795.0;2.65;78518.0
18;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Nederland;2004;162315;1.28;240205.0;1.88;60402.0
19;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Nederland;2005;161270;1.26;242245.0;1.89;59790.0
20;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Nederland;2006;160190;1.25;243910.0;1.9;59840.0
21;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Nederland;2007;163690;1.27;;;
22;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Nederland;2008;162170;1.25;250895.0;1.95;59378.0
23;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Nederland;2009;164790;1.26;255290.0;1.96;59850.0
24;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;4 grote gemeenten;2004;21270;1.27;33550.0;2.03;7932.0
25;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;4 grote gemeenten;2005;21425;1.28;33330.0;2.01;7917.0
26;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;4 grote gemeenten;2006;21165;1.26;33715.0;2.04;7959.0
27;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;4 grote gemeenten;2007;20620;1.22;;;
28;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;4 grote gemeenten;2008;20620;1.2;33155.0;2.0;7543.0
29;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;4 grote gemeenten;2009;21015;1.21;33650.0;1.99;7657.0
30;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Overige gemeenten;2004;141045;1.28;206655.0;1.86;52470.0
31;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Overige gemeenten;2005;139845;1.26;208915.0;1.88;51873.0
32;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Overige gemeenten;2006;139025;1.25;210195.0;1.88;51881.0
33;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Overige gemeenten;2007;143075;1.28;;;
34;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Overige gemeenten;2008;141550;1.26;217740.0;1.94;51835.0
35;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Overige gemeenten;2009;143775;1.27;221640.0;1.96;52193.0
36;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Nederland;2004;49820;0.39;52860.0;0.41;18006.0
37;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Nederland;2005;51820;0.41;54895.0;0.43;18606.0
38;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Nederland;2006;53725;0.42;57175.0;0.45;19357.0
39;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Nederland;2007;56355;0.44;;;
40;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Nederland;2008;56900;0.44;61765.0;0.48;21030.0
