ID;Geslacht;Leeftijd;Regiokenmerken;Perioden;AnwUitkeringen_1
0;Totaal geslacht, incl. onbekend;Totaal leeftijd, incl. onbekend;Regio totaal;2008 1e kwartaal;121720
1;Totaal geslacht, incl. onbekend;Totaal leeftijd, incl. onbekend;Regio totaal;2008 2e kwartaal;119930
2;Totaal geslacht, incl. onbekend;Totaal leeftijd, incl. onbekend;Regio totaal;2008 3e kwartaal;117600
3;Totaal geslacht, incl. onbekend;Totaal leeftijd, incl. onbekend;Regio totaal;2008 4e kwartaal;115180
4;Totaal geslacht, incl. onbekend;Totaal leeftijd, incl. onbekend;Regio totaal;2009 1e kwartaal;113320
5;Totaal geslacht, incl. onbekend;Totaal leeftijd, incl. onbekend;Regio totaal;2009 2e kwartaal;111220
6;Totaal geslacht, incl. onbekend;Totaal leeftijd, incl. onbekend;Regio totaal;2009 3e kwartaal;108730
7;Totaal geslacht, incl. onbekend;Totaal leeftijd, incl. onbekend;Regio totaal;2009 4e kwartaal;106500
8;Totaal geslacht, incl. onbekend;Totaal leeftijd, incl. onbekend;Regio totaal;2010 1e kwartaal;104610
9;Totaal geslacht, incl. onbekend;Totaal leeftijd, incl. onbekend;Regio totaal;2010 2e kwartaal;102380
10;Totaal geslacht, incl. onbekend;Totaal leeftijd, incl. onbekend;Regio totaal;2010 3e kwartaal;100440
11;Totaal geslacht, incl. onbekend;Totaal leeftijd, incl. onbekend;Regio totaal;2010 4e kwartaal;98360
12;Totaal geslacht, incl. onbekend;Totaal leeftijd, incl. onbekend;Regio totaal;2011 1e kwartaal;96460
13;Totaal geslacht, incl. onbekend;Totaal leeftijd, incl. onbekend;Regio totaal;2011 2e kwartaal;93000
14;Totaal geslacht, incl. onbekend;Totaal leeftijd, incl. onbekend;Regio totaal;2011 3e kwartaal;89840
15;Totaal geslacht, incl. onbekend;Totaal leeftijd, incl. onbekend;Regio totaal;2011 4e kwartaal;86660
16;Totaal geslacht, incl. onbekend;Totaal leeftijd, incl. onbekend;Regio totaal;2012 1e kwartaal;84200
