ID;Geslacht;OnderwijspositieBasisjaar;PositieInVolgendSchooljaar;Migratieachtergrond;Generatie;Regiokenmerken;Perioden;Woongemeente_1;Schoolgemeente_2;Woongemeente_3;Schoolgemeente_4
0;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2003/'04 - 2004/'05;862542.0;862542.0;100.0;100.0
1;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2004/'05 - 2005/'06;874315.0;874315.0;100.0;100.0
2;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2005/'06 - 2006/'07;912601.0;912601.0;100.0;100.0
3;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2006/'07 - 2007/'08;915245.0;915245.0;100.0;100.0
4;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2007/'08 - 2008/'09;941136.0;941136.0;100.0;100.0
5;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2008/'09 - 2009/'10;934560.0;934560.0;100.0;100.0
6;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2009/'10 - 2010/'11;934943.0;934943.0;100.0;100.0
7;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2010/'11 - 2011/'12;939532.0;939532.0;100.0;100.0
8;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2011/'12 - 2012/'13;948673.0;948673.0;100.0;100.0
9;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2012/'13 - 2013/'14;960682.0;960682.0;100.0;100.0
10;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2013/'14 - 2014/'15;973514.0;973514.0;100.0;100.0
11;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2014/'15 - 2015/'16;985069.0;985069.0;100.0;100.0
12;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2015/'16 - 2016/'17;995336.0;995336.0;100.0;100.0
13;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2016/'17 - 2017/'18;995477.0;995477.0;100.0;100.0
14;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Nederland;2017/'18 - 2018/'19;985252.0;985252.0;100.0;100.0
15;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Vier grootste gemeenten (G4);2003/'04 - 2004/'05;89194.0;97173.0;100.0;100.0
16;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Vier grootste gemeenten (G4);2004/'05 - 2005/'06;89809.0;97171.0;100.0;100.0
17;Totaal mannen en vrouwen;Totaal voortgezet onderwijs (vo);Totaal;Totaal;Totaal;Vier grootste gemeenten (G4);2005/'06 - 2006/'07;93128.0;98227.0;100.0;100.0
