ID;Geslacht;Herkomstgroepering;Onderwijssoort;Leeftijd;EconomischeActiviteitVanBaan;Perioden;AantalLeerlingenOnderzoekspopulatie_1;AantalVSVErsOnderzoekspopulatie_2;AantalNietVSVErsOnderzoekspopulatie_3;PercentageVSVErsOnderzoekspopulatie_4
0;Totaal mannen en vrouwen;0;0;0;Totaal economische activiteit baan;2004/'05;1300100.0;76150.0;1223960.0;5.9
1;Totaal mannen en vrouwen;0;0;0;Totaal economische activiteit baan;2005/'06;1399710.0;74510.0;1325190.0;5.3
2;Totaal mannen en vrouwen;0;0;0;Totaal economische activiteit baan;2006/'07;1419500.0;72610.0;1346900.0;5.1
3;Totaal mannen en vrouwen;0;0;0;Totaal economische activiteit baan;2007/'08;1434710.0;71480.0;1363230.0;5.0
4;Totaal mannen en vrouwen;0;0;0;Totaal economische activiteit baan;2008/'09;1435120.0;64270.0;1370860.0;4.5
5;Totaal mannen en vrouwen;0;0;0;0;2004/'05;881840.0;34670.0;847170.0;3.9
6;Totaal mannen en vrouwen;0;0;0;0;2005/'06;950750.0;36320.0;914430.0;3.8
7;Totaal mannen en vrouwen;0;0;0;0;2006/'07;946610.0;34420.0;912190.0;3.6
8;Totaal mannen en vrouwen;0;0;0;0;2007/'08;905840.0;29850.0;875980.0;3.3
9;Totaal mannen en vrouwen;0;0;0;0;2008/'09;891280.0;26610.0;864670.0;3.0
10;Totaal mannen en vrouwen;0;0;0;1;2004/'05;417370.0;41430.0;375950.0;9.9
11;Totaal mannen en vrouwen;0;0;0;1;2005/'06;447580.0;38100.0;409480.0;8.5
12;Totaal mannen en vrouwen;0;0;0;1;2006/'07;472530.0;38160.0;434370.0;8.1
13;Totaal mannen en vrouwen;0;0;0;1;2007/'08;528870.0;41630.0;487240.0;7.9
14;Totaal mannen en vrouwen;0;0;0;1;2008/'09;543850.0;37660.0;506190.0;6.9
15;Totaal mannen en vrouwen;0;0;0;SBI 01-05 Landbouw en visserij;2004/'05;22360.0;1000.0;21360.0;4.5
16;Totaal mannen en vrouwen;0;0;0;SBI 01-05 Landbouw en visserij;2005/'06;24000.0;930.0;23070.0;3.9
17;Totaal mannen en vrouwen;0;0;0;SBI 01-05 Landbouw en visserij;2006/'07;24160.0;750.0;23410.0;3.1
18;Totaal mannen en vrouwen;0;0;0;SBI 01-05 Landbouw en visserij;2007/'08;24040.0;650.0;23390.0;2.7
19;Totaal mannen en vrouwen;0;0;0;SBI 01-05 Landbouw en visserij;2008/'09;20660.0;480.0;20180.0;2.3
20;Totaal mannen en vrouwen;0;0;0;SBI 15-37 Industrie;2004/'05;31360.0;5240.0;26120.0;16.7
21;Totaal mannen en vrouwen;0;0;0;SBI 15-37 Industrie;2005/'06;34030.0;5480.0;28560.0;16.1
22;Totaal mannen en vrouwen;0;0;0;SBI 15-37 Industrie;2006/'07;33490.0;5290.0;28190.0;15.8
23;Totaal mannen en vrouwen;0;0;0;SBI 15-37 Industrie;2007/'08;36840.0;6380.0;30470.0;17.3
24;Totaal mannen en vrouwen;0;0;0;SBI 15-37 Industrie;2008/'09;37960.0;5760.0;32210.0;15.2
25;Totaal mannen en vrouwen;0;0;0;SBI 45 Bouwnijverheid;2004/'05;17860.0;2660.0;15200.0;14.9
26;Totaal mannen en vrouwen;0;0;0;SBI 45 Bouwnijverheid;2005/'06;18300.0;1840.0;16460.0;10.1
27;Totaal mannen en vrouwen;0;0;0;SBI 45 Bouwnijverheid;2006/'07;18540.0;1650.0;16880.0;8.9
28;Totaal mannen en vrouwen;0;0;0;SBI 45 Bouwnijverheid;2007/'08;20600.0;1960.0;18640.0;9.5
29;Totaal mannen en vrouwen;0;0;0;SBI 45 Bouwnijverheid;2008/'09;21590.0;1810.0;19780.0;8.4
30;Totaal mannen en vrouwen;0;0;0;SBI 50-52 Handel;2004/'05;144510.0;11090.0;133420.0;7.7
31;Totaal mannen en vrouwen;0;0;0;SBI 50-52 Handel;2005/'06;155900.0;10280.0;145620.0;6.6
32;Totaal mannen en vrouwen;0;0;0;SBI 50-52 Handel;2006/'07;165330.0;9640.0;155690.0;5.8
33;Totaal mannen en vrouwen;0;0;0;SBI 50-52 Handel;2007/'08;185330.0;9760.0;175570.0;5.3
34;Totaal mannen en vrouwen;0;0;0;SBI 50-52 Handel;2008/'09;197400.0;8800.0;188600.0;4.5
35;Totaal mannen en vrouwen;0;0;0;SBI 55 Horeca;2004/'05;45130.0;3860.0;41270.0;8.6
36;Totaal mannen en vrouwen;0;0;0;SBI 55 Horeca;2005/'06;50010.0;3630.0;46380.0;7.3
37;Totaal mannen en vrouwen;0;0;0;SBI 55 Horeca;2006/'07;57760.0;3910.0;53840.0;6.8
