ID;Populatie;KenmerkenVanHuishoudens;Regio;Perioden;ParticuliereHuishoudens_1;ParticuliereHuishoudensRelatief_2;GemiddeldGestandaardiseerdInkomen_3;MediaanGestandaardiseerdInkomen_4;GemiddeldBesteedbaarInkomen_5;MediaanBesteedbaarInkomen_6;GestandaardiseerdInkomen1e10Groep_7;GestandaardiseerdInkomen2e10Groep_8;GestandaardiseerdInkomen3e10Groep_9;GestandaardiseerdInkomen4e10Groep_10;GestandaardiseerdInkomen5e10Groep_11;GestandaardiseerdInkomen6e10Groep_12;GestandaardiseerdInkomen7e10Groep_13;GestandaardiseerdInkomen8e10Groep_14;GestandaardiseerdInkomen9e10Groep_15;GestandaardiseerdInkomen10e10Groep_16
0;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Nederland;2011;7347.5;100;25.6;22.8;36.6;31.3;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
1;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Nederland;2012;7412.1;100;25.8;23.0;36.8;31.4;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
2;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Nederland;2013;7467.8;100;25.9;23.2;37.0;31.4;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
3;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Nederland;2014;7496.4;100;27.3;23.9;39.0;32.2;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
4;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Nederland;2015;7568.5;100;27.1;24.3;38.6;32.5;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
5;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Nederland;2016;7623.2;100;28.2;25.2;40.2;33.4;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
6;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Nederland;2017;7694.9;100;29.2;25.8;41.6;34.1;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
7;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Nederland;2018;7755.1;100;29.5;26.5;42.1;34.9;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
8;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Noord-Nederland (LD);2011;763.2;100;23.4;21.3;33.3;29.4;11.0;11.0;12.0;11.0;11.0;10.0;10.0;9.0;8.0;7.0
9;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Noord-Nederland (LD);2012;768.2;100;23.5;21.6;33.4;29.5;11.0;11.0;12.0;11.0;11.0;11.0;10.0;9.0;8.0;7.0
10;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Noord-Nederland (LD);2013;772.8;100;23.7;21.8;33.6;29.5;11.0;11.0;11.0;11.0;11.0;11.0;10.0;9.0;8.0;7.0
11;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Noord-Nederland (LD);2014;774.0;100;24.8;22.4;35.1;30.2;11.0;11.0;11.0;11.0;11.0;10.0;10.0;9.0;8.0;7.0
12;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Noord-Nederland (LD);2015;779.0;100;24.8;22.7;35.0;30.4;11.0;11.0;11.0;11.0;11.0;10.0;10.0;9.0;8.0;7.0
13;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Noord-Nederland (LD);2016;781.3;100;25.8;23.6;36.4;31.3;11.0;11.0;11.0;11.0;11.0;10.0;10.0;9.0;8.0;7.0
14;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Noord-Nederland (LD);2017;786.3;100;26.5;24.1;37.4;31.8;12.0;11.0;11.0;11.0;11.0;11.0;10.0;9.0;8.0;7.0
15;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Noord-Nederland (LD);2018;789.3;100;27.0;24.8;38.0;32.5;12.0;11.0;11.0;11.0;11.0;11.0;10.0;9.0;8.0;6.0
16;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Oost-Nederland (LD);2011;1482.8;100;25.1;22.7;36.6;32.3;9.0;10.0;10.0;11.0;11.0;11.0;10.0;10.0;10.0;8.0
17;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Oost-Nederland (LD);2012;1496.8;100;25.2;22.9;36.7;32.3;9.0;10.0;10.0;11.0;11.0;11.0;10.0;10.0;10.0;8.0
18;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Oost-Nederland (LD);2013;1510.0;100;25.3;23.1;36.8;32.3;9.0;10.0;10.0;11.0;11.0;11.0;10.0;10.0;10.0;8.0
19;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Oost-Nederland (LD);2014;1513.7;100;26.7;23.8;38.8;33.1;9.0;10.0;10.0;11.0;11.0;11.0;10.0;10.0;10.0;8.0
20;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Oost-Nederland (LD);2015;1527.5;100;26.4;24.1;38.3;33.4;9.0;10.0;10.0;11.0;11.0;11.0;11.0;10.0;10.0;8.0
21;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Oost-Nederland (LD);2016;1538.9;100;27.5;25.1;39.9;34.4;9.0;10.0;10.0;11.0;11.0;11.0;11.0;10.0;10.0;8.0
22;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Oost-Nederland (LD);2017;1555.6;100;28.4;25.7;41.3;35.1;9.0;10.0;10.0;11.0;11.0;11.0;11.0;10.0;10.0;8.0
23;Particuliere huishoudens incl. studenten;Particuliere huishoudens;Oost-Nederland (LD);2018;1568.9;100;28.8;26.4;41.8;35.9;9.0;10.0;10.0;11.0;11.0;11.0;11.0;10.0;10.0;8.0
24;Particuliere huishoudens incl. studenten;Particuliere huishoudens;West-Nederland (LD);2011;3542.5;100;26.3;23.2;37.2;31.0;11.0;10.0;9.0;9.0;9.0;9.0;10.0;10.0;11.0;12.0
