ID;Geslacht;Onderwijssoort;SoortDiploma;Opleidingsvorm;Migratieachtergrond;Perioden;Gediplomeerden_1
0;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2002/'03;0.0
1;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2003/'04;0.0
2;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2004/'05;0.0
3;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2005/'06;0.0
4;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2006/'07;11.0
5;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2007/'08;276.0
6;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2008/'09;807.0
7;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2009/'10;991.0
8;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2010/'11;1053.0
9;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2011/'12;1190.0
10;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2012/'13;1334.0
11;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2013/'14;1423.0
12;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2014/'15;1728.0
13;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2015/'16;1722.0
14;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2016/'17;1764.0
15;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2017/'18;2207.0
16;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2018/'19;2512.0
17;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2019/'20;3487.0
18;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2020/'21;4498.0
19;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2002/'03;0.0
20;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2003/'04;0.0
21;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2004/'05;0.0
22;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2005/'06;0.0
23;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2006/'07;11.0
24;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2007/'08;251.0
25;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2008/'09;709.0
26;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2009/'10;895.0
27;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2010/'11;913.0
28;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2011/'12;1036.0
29;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2012/'13;1151.0
30;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2013/'14;1180.0
31;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2014/'15;1415.0
32;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2015/'16;1340.0
33;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2016/'17;1403.0
34;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2017/'18;1724.0
35;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2018/'19;2032.0
36;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2019/'20;2824.0
37;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2020/'21;3709.0
38;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2002/'03;0.0
39;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2003/'04;0.0
40;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2004/'05;0.0
41;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2005/'06;0.0
42;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2006/'07;0.0
43;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2007/'08;25.0
44;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2008/'09;95.0
45;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2009/'10;95.0
46;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2010/'11;137.0
47;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2011/'12;149.0
48;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2012/'13;183.0
49;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2013/'14;243.0
50;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2014/'15;313.0
51;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2015/'16;382.0
52;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2016/'17;361.0
53;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2017/'18;483.0
54;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2018/'19;480.0
55;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2019/'20;663.0
56;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2020/'21;789.0
57;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2002/'03;0.0
58;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2003/'04;0.0
59;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2004/'05;0.0
60;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2005/'06;0.0
61;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2006/'07;0.0
62;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2007/'08;13.0
63;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Westerse migratieachtergrond;2008/'09;46.0
