ID;Geslacht;Migratieachtergrond;Onderwijssoort;Leeftijd;Perioden;AantalLeerlingenOnderzoekspopulatie_1;AantalVsvErsOnderzoekspopulatie_2;AantalNietVsvErsOnderzoekspopulatie_3;PercentageVsvErsOnderzoekspopulatie_4
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2004/'05;1300100.0;76150.0;1223960.0;5.9
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2005/'06;1399710.0;74510.0;1325190.0;5.3
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2006/'07;1419500.0;72610.0;1346900.0;5.1
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2007/'08;1434710.0;71480.0;1363230.0;5.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2008/'09;1435120.0;64270.0;1370860.0;4.5
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2009/'10;1446080.0;65350.0;1380740.0;4.5
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2010/'11;1458660.0;66640.0;1392020.0;4.6
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2011/'12;1455290.0;60360.0;1394930.0;4.1
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2012/'13 Oude methode;1454220.0;52820.0;1401400.0;3.6
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2012/'13 Nieuwe methode;1448020.0;48200.0;1399820.0;3.3
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2013/'14;1447970.0;43880.0;1404090.0;3.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2014/'15;1440910.0;36590.0;1404320.0;2.5
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2015/'16;1442500.0;34690.0;1407820.0;2.4
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2016/'17;1451100.0;35280.0;1415830.0;2.4
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2017/'18;1446520.0;37000.0;1409530.0;2.6
15;Totaal mannen en vrouwen;Totaal;Totaal;Jonger dan 23 jaar;2004/'05;1211960.0;55060.0;1156900.0;4.5
16;Totaal mannen en vrouwen;Totaal;Totaal;Jonger dan 23 jaar;2005/'06;1299580.0;53590.0;1245980.0;4.1
17;Totaal mannen en vrouwen;Totaal;Totaal;Jonger dan 23 jaar;2006/'07;1313120.0;51980.0;1261140.0;4.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Jonger dan 23 jaar;2007/'08;1315100.0;48450.0;1266650.0;3.7
19;Totaal mannen en vrouwen;Totaal;Totaal;Jonger dan 23 jaar;2008/'09;1310060.0;43340.0;1266720.0;3.3
20;Totaal mannen en vrouwen;Totaal;Totaal;Jonger dan 23 jaar;2009/'10;1312980.0;42990.0;1269990.0;3.3
