ID;Geslacht;Migratieachtergrond;Cluster;Regiokenmerken;Perioden;LeerlingenOpSpecialeScholenTotaal_1;LeerlingenOpSpecialeScholenBasis_2;LeerlingenOpSpecialeScholenVO_3
0;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2011/'12;70154;34239;35915
1;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2012/'13;70416;33340;37076
2;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2013/'14;71230;31822;39408
3;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2014/'15;70980;31103;39877
4;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2015/'16;68196;29650;38546
5;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2016/'17;67044;29131;37913
6;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2017/'18;67516;29865;37651
7;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2018/'19;68426;30865;37561
8;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2019/'20;69816;32068;37748
9;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2020/'21;70208;32589;37619
10;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2021/'22;71605;33608;37997
11;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2011/'12;5892;2826;3066
12;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2012/'13;5843;2706;3137
13;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2013/'14;5876;2635;3241
14;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2014/'15;5996;2600;3396
15;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2015/'16;5661;2382;3279
16;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2016/'17;5517;2239;3278
17;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2017/'18;5429;2234;3195
18;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2018/'19;5551;2287;3264
19;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2019/'20;5681;2391;3290
20;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2020/'21;5832;2438;3394
21;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2021/'22;5827;2437;3390
22;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2011/'12;19088;8381;10707
23;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2012/'13;19453;8122;11331
24;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2013/'14;19293;7747;11546
25;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2014/'15;18966;7323;11643
26;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2015/'16;17805;6802;11003
27;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2016/'17;17071;6652;10419
28;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2017/'18;16781;6649;10132
29;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2018/'19;16726;6838;9888
30;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2019/'20;17055;7163;9892
31;Totaal mannen en vrouwen;Totaal;Totaal;Oost-Nederland (LD);2020/'21;17085;7303;9782
