ID;Energiedragers;Perioden;EnergieverbruikInDeSectorHuishoudens_1
0;1;1975;467.09
1;1;1976;470.04
2;1;1977;520.13
3;1;1978;550.86
4;1;1979;593.59
5;1;1980;538.43
6;1;1981;530.32
7;1;1982;486.1
8;1;1983;475.42
9;1;1984;466.77
10;1;1985;501.26
11;1;1986;481.6
12;1;1987;477.02
13;1;1988;415.56
14;1;1989;413.97
15;1;1990;435.25
16;1;1991;491.64
17;1;1992;460.81
18;1;1993;482.53
19;1;1994;458.84
20;1;1995;479.62
21;1;1996;550.43
22;1;1997;473.66
23;1;1998;455.41
24;1;1999;437.59
25;1;2000;438.63
26;1;2001;462.87
27;1;2002;451.49
28;1;2003;462.5
29;1;2004;446.37
30;1;2005;433.04
31;1;2006;436.71
32;1;2007;400.05
33;1;2008;443.35
34;1;2009;443.38
35;1;2010;503.61
36;1;2011;411.04
37;1;2012;436.08
38;1;2013;458.84
39;1;2014;372.81
40;1;2015;390.78
41;1;2016;402.99
42;2;1975;3.3
43;2;1976;2.2
44;2;1977;2.0
45;2;1978;2.11
46;2;1979;2.0
47;2;1980;1.92
48;2;1981;2.0
49;2;1982;2.0
50;2;1983;2.0
51;2;1984;1.4
52;2;1985;1.4
53;2;1986;1.4
54;2;1987;1.26
55;2;1988;1.0
56;2;1989;0.8
57;2;1990;0.65
58;2;1991;0.51
59;2;1992;0.47
60;2;1993;0.42
61;2;1994;0.31
62;2;1995;0.23
63;2;1996;0.24
64;2;1997;0.2
65;2;1998;0.15
66;2;1999;0.11
67;2;2000;0.08
68;2;2001;0.06
69;2;2002;0.05
70;2;2003;0.04
71;2;2004;0.03
72;2;2005;0.02
73;2;2006;0.01
74;2;2007;0.01
75;2;2008;0.01
76;2;2009;0.01
77;2;2010;0.01
78;2;2011;0.01
79;2;2012;0.01
80;2;2013;0.01
81;2;2014;0.03
82;2;2015;0.02
83;2;2016;0.05
84;3;1975;63.6
85;3;1976;69.81
86;3;1977;72.59
87;3;1978;64.95
88;3;1979;58.88
89;3;1980;43.86
90;3;1981;45.28
91;3;1982;38.55
92;3;1983;35.24
93;3;1984;21.0
94;3;1985;15.5
95;3;1986;14.9
96;3;1987;13.39
97;3;1988;10.91
98;3;1989;10.57
99;3;1990;10.17
100;3;1991;9.77
101;3;1992;9.07
102;3;1993;9.65
103;3;1994;8.35
104;3;1995;5.75
105;3;1996;5.16
106;3;1997;3.91
107;3;1998;3.73
108;3;1999;3.49
109;3;2000;3.13
110;3;2001;2.91
111;3;2002;2.6
112;3;2003;2.36
113;3;2004;2.13
114;3;2005;1.85
115;3;2006;1.75
116;3;2007;1.69
117;3;2008;1.77
118;3;2009;1.77
119;3;2010;1.95
120;3;2011;1.67
121;3;2012;1.77
122;3;2013;1.85
123;3;2014;1.54
124;3;2015;1.54
125;3;2016;1.54
126;4;1975;15.84
127;4;1976;18.94
128;4;1977;18.96
129;4;1978;18.02
130;4;1979;13.93
131;4;1980;8.85
132;4;1981;9.1
133;4;1982;8.85
134;4;1983;8.1
135;4;1984;5.0
136;4;1985;2.5
137;4;1986;2.3
138;4;1987;2.28
139;4;1988;2.06
140;4;1989;2.17
141;4;1990;2.09
142;4;1991;1.99
143;4;1992;1.85
144;4;1993;1.99
145;4;1994;1.49
146;4;1995;1.0
147;4;1996;1.37
148;4;1997;1.02
149;4;1998;1.09
150;4;1999;1.11
151;4;2000;1.0
152;4;2001;1.03
153;4;2002;0.97
154;4;2003;0.99
155;4;2004;1.02
156;4;2005;0.99
157;4;2006;1.14
158;4;2007;1.08
