ID;Persoonskenmerken;Marges;CaribischNederland;Perioden;TotaalVoorkomenOverlast_1;RommelOpStraat_2;StraatmeubilairDatVernieldIs_3;BekladdeMurenOfGebouwen_4;DierenpoepOpStraat_5;EenOfMeerVormenFysiekeVerloedering_6;DronkenMensenOpStraat_7;DrugsgebruikOfDrugshandel_8;MensenWordenOpStraatLastiggevallen_9;RondhangendeJongeren_10;EenOfMeerVormenVanSocialeOverlast_11;TeHardRijden_12;Parkeerproblemen_13;AgressiefGedragInVerkeer_14;EenOfMeerVormenVanVerkeersoverlast_15;HinderVanHorecagelegenheden_16;OverlastDoorBuurtbewoners_17;TotaalErvarenOverlast_18;RommelOpStraat_19;StraatmeubilairDatVernieldIs_20;BekladdeMurenOfGebouwen_21;DierenpoepOpDeStraat_22;EenOfMeerVormenFysiekeVerloedering_23;DronkenMensenOpStraat_24;DrugsgebruikOfDrugshandel_25;MensenWordenOpStraatLastiggevallen_26;RondhangendeJongeren_27;EenOfMeerVormenVanSocialeOverlast_28;TeHardRijden_29;Parkeerproblemen_30;AgressiefGedragInVerkeer_31;EenOfMeerVormenVanVerkeersoverlast_32;HinderVanHorecagelegenheden_33;OverlastDoorBuurtbewoners_34
0;Totaal personen;Percentage;Caribisch Nederland;2013;80.0;23.1;8.2;5.9;43.8;54.3;17.2;13.0;5.2;15.6;30.6;51.7;14.6;11.7;57.0;5.1;9.6;41.1;6.7;2.5;1.5;15.4;19.5;4.1;3.8;1.7;4.7;9.6;24.5;6.3;4.6;28.0;1.8;3.7
1;Totaal personen;Percentage;Caribisch Nederland;2017/2018;65.9;20.9;4.9;2.1;27.4;39.1;16.0;10.9;2.6;10.4;25.4;47.5;13.0;11.0;51.1;5.1;6.1;33.6;6.5;1.9;;9.1;13.8;2.7;3.2;1.5;2.3;6.4;21.4;6.2;5.9;25.0;2.4;3.1
2;Totaal personen;Percentage;Caribisch Nederland;2021;61.7;18.6;2.2;1.3;24.3;34.3;11.6;5.2;2.5;10.1;18.9;42.2;20.1;8.0;48.2;5.4;7.2;29.7;6.4;0.4;0.3;6.5;11.1;3.4;1.3;1.3;1.8;5.3;18.5;9.0;3.8;23.2;1.8;2.9
3;Totaal personen;Percentage;Bonaire;2013;78.3;19.6;7.8;5.9;36.8;48.7;19.1;15.2;5.1;16.1;32.7;53.3;11.6;12.4;57.6;4.3;7.6;36.6;5.1;1.7;1.5;9.6;13.3;4.1;4.5;1.6;4.6;9.4;24.2;4.8;4.9;26.8;1.5;2.6
4;Totaal personen;Percentage;Bonaire;2017/2018;69.1;19.6;6.0;2.9;25.8;38.5;19.7;13.0;2.7;10.8;28.0;51.0;9.6;14.0;53.5;6.0;6.3;34.6;6.1;2.2;;6.4;11.4;3.1;3.5;1.7;2.6;7.3;23.7;4.0;7.9;26.2;2.5;3.3
5;Totaal personen;Percentage;Bonaire;2021;61.6;15.6;2.8;1.5;22.8;31.0;14.6;6.9;3.1;10.4;21.5;42.9;13.4;9.7;46.7;6.8;7.1;28.0;5.7;;;3.6;8.4;3.4;1.2;1.8;1.8;5.9;19.6;4.8;4.6;22.4;1.5;3.1
6;Totaal personen;Percentage;Sint-Eustatius;2013;86.4;36.8;10.9;8.4;75.1;79.7;4.2;;4.3;13.4;16.8;39.0;17.2;3.0;47.2;4.7;16.6;56.7;15.2;7.1;;40.0;46.5;;;;4.9;6.6;24.8;8.5;;28.6;2.2;6.8
7;Totaal personen;Percentage;Sint-Eustatius;2017/2018;45.8;20.0;3.2;;29.4;35.8;3.5;7.4;1.5;7.1;13.5;27.7;14.2;4.2;31.4;2.2;3.8;22.7;7.4;1.6;;13.5;17.5;1.5;2.6;1.1;2.3;4.0;12.2;6.1;2.0;14.6;;1.5
8;Totaal personen;Percentage;Sint-Eustatius;2021;48.2;16.8;1.5;1.3;28.7;35.8;3.6;2.1;2.0;5.1;7.3;26.6;12.3;1.6;31.2;3.1;4.1;22.1;4.2;;;12.1;13.7;1.7;1.1;1.0;1.8;3.0;11.0;5.4;0.9;13.2;2.0;2.0
9;Totaal personen;Percentage;Saba;2013;82.1;26.6;6.0;;42.8;53.2;26.3;16.6;7.2;15.8;39.7;62.1;34.4;21.7;70.7;12.8;13.3;49.0;4.1;;;17.0;19.8;10.0;5.1;;4.5;17.1;26.1;14.5;8.4;36.4;3.6;7.0
10;Totaal personen;Percentage;Saba;2017/2018;83.7;27.8;3.5;;30.5;46.9;20.9;8.4;3.6;13.8;33.1;63.9;24.3;9.3;71.8;5.9;8.7;46.2;6.6;;;13.0;17.8;2.7;3.3;;;6.3;26.6;14.9;3.9;36.2;3.9;4.6
11;Totaal personen;Percentage;Saba;2021;84.3;30.1;1.6;;21.1;41.1;16.2;6.0;1.6;17.6;31.2;66.3;51.5;13.9;80.3;5.2;12.5;46.8;12.3;;;5.3;14.5;6.0;2.0;;1.8;7.5;28.2;26.5;6.3;41.8;2.3;3.7
12;Totaal personen;Betrouwbaarheidsmarge;Caribisch Nederland;2013;2.4;2.5;1.6;1.4;3.0;3.0;2.3;2.0;1.3;2.2;2.8;3.0;2.1;1.9;3.0;1.3;1.8;3.0;1.5;0.9;0.7;2.2;2.4;1.2;1.2;0.8;1.3;1.8;2.6;1.5;1.3;2.7;0.8;1.1
13;Totaal personen;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;2.3;2.0;1.1;0.7;2.2;2.4;1.8;1.6;0.8;1.5;2.1;2.4;1.6;1.5;2.4;1.1;1.2;2.3;1.2;0.7;;1.4;1.7;0.8;0.9;0.6;0.7;1.2;2.0;1.2;1.1;2.1;0.7;0.8
14;Totaal personen;Betrouwbaarheidsmarge;Caribisch Nederland;2021;2.5;2.0;0.7;0.6;2.2;2.4;1.6;1.2;0.8;1.5;2.0;2.5;2.0;1.4;2.5;1.1;1.3;2.3;1.2;0.3;0.3;1.3;1.6;0.9;0.6;0.6;0.7;1.1;2.0;1.5;1.0;2.1;0.7;0.8
15;Totaal personen;Betrouwbaarheidsmarge;Bonaire;2013;2.9;2.8;1.9;1.6;3.4;3.5;2.8;2.5;1.5;2.6;3.3;3.5;2.3;2.3;3.5;1.4;1.9;3.4;1.5;0.9;0.8;2.1;2.4;1.4;1.5;0.9;1.5;2.0;3.0;1.5;1.5;3.1;0.8;1.1
16;Totaal personen;Betrouwbaarheidsmarge;Bonaire;2017/2018;2.9;2.5;1.5;1.0;2.7;3.0;2.5;2.2;1.0;1.9;2.8;3.1;1.8;2.2;3.1;1.5;1.5;2.9;1.5;0.9;;1.5;2.0;1.1;1.1;0.8;1.0;1.6;2.6;1.2;1.7;2.7;1.0;1.1
17;Totaal personen;Betrouwbaarheidsmarge;Bonaire;2021;3.4;2.6;1.2;0.9;3.0;3.3;2.5;1.9;1.2;2.2;2.9;3.5;2.4;2.1;3.5;1.8;1.8;3.2;1.6;;;1.3;2.0;1.3;0.8;1.0;0.9;1.7;2.8;1.5;1.5;2.9;0.9;1.2
18;Totaal personen;Betrouwbaarheidsmarge;Sint-Eustatius;2013;5.8;8.2;5.3;4.7;7.4;6.8;3.4;;3.4;5.8;6.4;8.3;6.4;2.9;8.5;3.6;6.3;8.4;6.1;4.4;;8.3;8.5;;;;3.7;4.2;7.3;4.7;;7.7;2.5;4.3
19;Totaal personen;Betrouwbaarheidsmarge;Sint-Eustatius;2017/2018;5.0;4.0;1.7;;4.6;4.8;1.8;2.6;1.2;2.6;3.4;4.5;3.5;2.0;4.6;1.5;1.9;4.2;2.6;1.3;;3.4;3.8;1.2;1.6;1.0;1.5;2.0;3.3;2.4;1.4;3.5;;1.2
