ID;Geslacht;Leeftijd;Herkomstgroepering;Perioden;InstroomBijstandInclHerinstroom_1;HerinstroomBijstand_2
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2005 1e kwartaal;32990;9880
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2005 2e kwartaal;24660;6440
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2005 3e kwartaal;26020;7300
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2005 4e kwartaal;23490;6840
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2006 1e kwartaal;31420;10980
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2006 2e kwartaal;24810;7730
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2006 3e kwartaal;23420;7720
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2006 4e kwartaal;21240;7190
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2007 1e kwartaal;23310;7610
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2007 2e kwartaal;17900;5660
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2007 3e kwartaal;19820;5970
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;2007 4e kwartaal;21230;6110
12;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2005 1e kwartaal;16260;4660
13;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2005 2e kwartaal;12160;3050
14;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2005 3e kwartaal;13070;3290
15;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2005 4e kwartaal;11250;3050
16;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2006 1e kwartaal;15590;5410
17;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2006 2e kwartaal;12090;3660
18;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2006 3e kwartaal;11160;3450
19;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2006 4e kwartaal;10050;3280
20;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2007 1e kwartaal;11140;3460
21;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2007 2e kwartaal;8640;2600
22;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2007 3e kwartaal;8910;2630
23;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2007 4e kwartaal;8700;2690
24;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2005 1e kwartaal;3470;1060
25;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2005 2e kwartaal;2580;640
26;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2005 3e kwartaal;2600;710
27;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2005 4e kwartaal;2420;670
28;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2006 1e kwartaal;3320;1150
29;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2006 2e kwartaal;2720;880
30;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2006 3e kwartaal;2420;780
31;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2006 4e kwartaal;2260;700
32;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2007 1e kwartaal;2520;800
33;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2007 2e kwartaal;1930;560
34;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2007 3e kwartaal;2370;620
35;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2007 4e kwartaal;2990;600
36;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2005 1e kwartaal;13270;4160
37;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2005 2e kwartaal;9920;2750
38;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2005 3e kwartaal;10350;3290
39;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2005 4e kwartaal;9820;3120
40;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2006 1e kwartaal;12520;4420
41;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2006 2e kwartaal;10000;3190
42;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2006 3e kwartaal;9840;3500
43;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2006 4e kwartaal;8940;3220
44;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2007 1e kwartaal;9660;3360
45;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2007 2e kwartaal;7330;2500
