ID;Zorgtype;Zorgaanbieders;Perioden;UitgavenGezondheidsEnWelzijnszorg_1
0;Totaal gezondheids- en welzijnszorg;Totaal aanbieders zorg en welzijn;2021;129060
1;Totaal gezondheids- en welzijnszorg;Totaal aanbieders zorg en welzijn;2022;132858
2;Totaal gezondheids- en welzijnszorg;Totaal aanbieders zorg en welzijn;2023;142824
3;Totaal gezondheids- en welzijnszorg;GLZ: Totaal aanb. gezondh., langd. zorg;2021;98160
4;Totaal gezondheids- en welzijnszorg;GLZ: Totaal aanb. gezondh., langd. zorg;2022;99063
5;Totaal gezondheids- en welzijnszorg;GLZ: Totaal aanb. gezondh., langd. zorg;2023;105623
6;Totaal gezondheids- en welzijnszorg;GLZ: Aanb. medisch specialistische zorg;2021;32569
7;Totaal gezondheids- en welzijnszorg;GLZ: Aanb. medisch specialistische zorg;2022;33470
8;Totaal gezondheids- en welzijnszorg;GLZ: Aanb. medisch specialistische zorg;2023;35705
9;Totaal gezondheids- en welzijnszorg;GLZMS: Algemene ziekenhuizen;2021;19736
10;Totaal gezondheids- en welzijnszorg;GLZMS: Algemene ziekenhuizen;2022;20063
11;Totaal gezondheids- en welzijnszorg;GLZMS: Algemene ziekenhuizen;2023;21377
12;Totaal gezondheids- en welzijnszorg;GLZMS: UMC's;2021;9339
13;Totaal gezondheids- en welzijnszorg;GLZMS: UMC's;2022;9578
14;Totaal gezondheids- en welzijnszorg;GLZMS: UMC's;2023;10157
15;Totaal gezondheids- en welzijnszorg;GLZMS: Overige aanb. med. spec. zorg;2021;3494
16;Totaal gezondheids- en welzijnszorg;GLZMS: Overige aanb. med. spec. zorg;2022;3829
17;Totaal gezondheids- en welzijnszorg;GLZMS: Overige aanb. med. spec. zorg;2023;4171
18;Totaal gezondheids- en welzijnszorg;GLZ: Aanb. geestelijke gezondheidszorg;2021;8913
19;Totaal gezondheids- en welzijnszorg;GLZ: Aanb. geestelijke gezondheidszorg;2022;9637
20;Totaal gezondheids- en welzijnszorg;GLZ: Aanb. geestelijke gezondheidszorg;2023;10559
21;Totaal gezondheids- en welzijnszorg;GLZ: Huisartsenpraktijken,gezondh.centra;2021;3981
22;Totaal gezondheids- en welzijnszorg;GLZ: Huisartsenpraktijken,gezondh.centra;2022;3939
23;Totaal gezondheids- en welzijnszorg;GLZ: Huisartsenpraktijken,gezondh.centra;2023;4323
24;Totaal gezondheids- en welzijnszorg;GLZ: Tandartsenpraktijken;2021;3080
25;Totaal gezondheids- en welzijnszorg;GLZ: Tandartsenpraktijken;2022;3129
