ID;RegioS;SociaalEconomischeCategorie;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
0;Nederland;Totaal sociaal-economische categorie;10894.4;18.2
1;Nederland;Totaal actief;6804.0;20.6
2;Nederland;Werknemer;5884.6;20.5
3;Nederland;Zelfstandige;834.8;22.3
4;Nederland;Totaal niet-actief;4090.3;14.2
5;Nederland;Werkloosheids- en bijstandsuitk. ontv.;458.0;12.1
6;Nederland;Pensioenontvanger;2549.5;16.1
7;Noord-Nederland (LD);Totaal sociaal-economische categorie;1132.9;16.6
8;Noord-Nederland (LD);Totaal actief;677.3;18.8
9;Noord-Nederland (LD);Werknemer;571.7;18.7
10;Noord-Nederland (LD);Zelfstandige;95.1;20.4
11;Noord-Nederland (LD);Totaal niet-actief;455.6;13.5
12;Noord-Nederland (LD);Werkloosheids- en bijstandsuitk. ontv.;51.0;11.8
13;Noord-Nederland (LD);Pensioenontvanger;287.1;15.0
14;Oost-Nederland (LD);Totaal sociaal-economische categorie;2281.3;17.5
15;Oost-Nederland (LD);Totaal actief;1445.5;19.5
16;Oost-Nederland (LD);Werknemer;1245.6;19.5
17;Oost-Nederland (LD);Zelfstandige;178.7;21.6
18;Oost-Nederland (LD);Totaal niet-actief;835.8;13.9
19;Oost-Nederland (LD);Werkloosheids- en bijstandsuitk. ontv.;86.5;12.1
20;Oost-Nederland (LD);Pensioenontvanger;521.5;15.7
21;West-Nederland (LD);Totaal sociaal-economische categorie;5067.6;19.1
22;West-Nederland (LD);Totaal actief;3192.4;21.7
23;West-Nederland (LD);Werknemer;2776.4;21.6
24;West-Nederland (LD);Zelfstandige;382.7;23.4
25;West-Nederland (LD);Totaal niet-actief;1875.3;14.6
26;West-Nederland (LD);Werkloosheids- en bijstandsuitk. ontv.;227.2;12.2
27;West-Nederland (LD);Pensioenontvanger;1158.7;16.7
28;Zuid-Nederland (LD);Totaal sociaal-economische categorie;2412.5;17.7
29;Zuid-Nederland (LD);Totaal actief;1488.9;20.0
30;Zuid-Nederland (LD);Werknemer;1290.9;20.0
31;Zuid-Nederland (LD);Zelfstandige;178.2;21.5
32;Zuid-Nederland (LD);Totaal niet-actief;923.7;14.0
33;Zuid-Nederland (LD);Werkloosheids- en bijstandsuitk. ontv.;93.3;12.1
34;Zuid-Nederland (LD);Pensioenontvanger;582.3;15.7
35;Groningen (PV);Totaal sociaal-economische categorie;381.1;16.4
36;Groningen (PV);Totaal actief;221.2;19.0
37;Groningen (PV);Werknemer;189.7;19.0
38;Groningen (PV);Zelfstandige;28.3;20.3
39;Groningen (PV);Totaal niet-actief;159.9;12.9
40;Groningen (PV);Werkloosheids- en bijstandsuitk. ontv.;20.5;11.5
41;Groningen (PV);Pensioenontvanger;92.7;14.7
42;Friesland (PV);Totaal sociaal-economische categorie;423.9;16.6
43;Friesland (PV);Totaal actief;259.5;18.5
44;Friesland (PV);Werknemer;214.5;18.4
45;Friesland (PV);Zelfstandige;40.4;20.7
46;Friesland (PV);Totaal niet-actief;164.4;13.5
47;Friesland (PV);Werkloosheids- en bijstandsuitk. ontv.;17.8;12.0
48;Friesland (PV);Pensioenontvanger;106.8;15.0
49;Drenthe (PV);Totaal sociaal-economische categorie;327.9;16.9
50;Drenthe (PV);Totaal actief;196.6;18.8
51;Drenthe (PV);Werknemer;167.5;18.9
52;Drenthe (PV);Zelfstandige;26.4;20.1
53;Drenthe (PV);Totaal niet-actief;131.3;14.0
54;Drenthe (PV);Werkloosheids- en bijstandsuitk. ontv.;12.6;12.0
55;Drenthe (PV);Pensioenontvanger;87.6;15.4
56;Overijssel (PV);Totaal sociaal-economische categorie;734.6;16.9
57;Overijssel (PV);Totaal actief;456.3;19.0
58;Overijssel (PV);Werknemer;392.3;18.9
59;Overijssel (PV);Zelfstandige;56.1;21.7
60;Overijssel (PV);Totaal niet-actief;278.3;13.5
61;Overijssel (PV);Werkloosheids- en bijstandsuitk. ontv.;28.5;11.7
62;Overijssel (PV);Pensioenontvanger;172.9;15.1
63;Flevoland (PV);Totaal sociaal-economische categorie;229.7;17.8
64;Flevoland (PV);Totaal actief;159.4;19.7
65;Flevoland (PV);Werknemer;138.7;19.9
66;Flevoland (PV);Zelfstandige;18.7;19.7
67;Flevoland (PV);Totaal niet-actief;70.3;13.4
68;Flevoland (PV);Werkloosheids- en bijstandsuitk. ontv.;10.2;12.5
69;Flevoland (PV);Pensioenontvanger;36.8;15.3
70;Gelderland (PV);Totaal sociaal-economische categorie;1317.0;17.7
71;Gelderland (PV);Totaal actief;829.8;19.8
72;Gelderland (PV);Werknemer;714.6;19.7
73;Gelderland (PV);Zelfstandige;103.9;21.9
74;Gelderland (PV);Totaal niet-actief;487.2;14.2
75;Gelderland (PV);Werkloosheids- en bijstandsuitk. ontv.;47.8;12.2
76;Gelderland (PV);Pensioenontvanger;311.8;16.0
77;Utrecht (PV);Totaal sociaal-economische categorie;786.3;19.6
78;Utrecht (PV);Totaal actief;510.7;22.2
79;Utrecht (PV);Werknemer;447.5;22.0
80;Utrecht (PV);Zelfstandige;58.1;24.3
81;Utrecht (PV);Totaal niet-actief;275.6;14.9
82;Utrecht (PV);Werkloosheids- en bijstandsuitk. ontv.;26.4;12.4
83;Utrecht (PV);Pensioenontvanger;165.4;17.5
84;Noord-Holland (PV);Totaal sociaal-economische categorie;1747.6;19.4
85;Noord-Holland (PV);Totaal actief;1094.9;22.1
86;Noord-Holland (PV);Werknemer;936.2;22.1
87;Noord-Holland (PV);Zelfstandige;148.5;23.0
88;Noord-Holland (PV);Totaal niet-actief;652.7;14.8
89;Noord-Holland (PV);Werkloosheids- en bijstandsuitk. ontv.;79.6;12.2
90;Noord-Holland (PV);Pensioenontvanger;389.2;16.9
