ID;Geslacht;Leeftijd;Herkomstgroepering;RegioS;Perioden;VoortdurendWerkzaamAfgelopen4Jaar_1;GedeeltelijkWerkzaamAfgelopen4Jaar_2;MeerDan3Jaar_3;MeerDan2JaarTotEnMet3Jaar_4;MeerDan1JaarTotEnMet2Jaar_5;Minimaal1MaandTotEnMet1Jaar_6;k_0Maanden_7;k_1Maand_8;k_2Maanden_9;k_3Tot6Maanden_10;k_6MaandenTot1Jaar_11;k_1Tot2Jaar_12;k_2Tot3Jaar_13;k_3Tot4Jaar_14;NietWerkzaamAfgelopen4Jaar_15
0;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Nederland;2004;5962900;3402200;1070200;878700;680200;773000;1810600;86800;91300;278100;225100;417000;278500;214800;3934200
1;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Nederland;2005;6026100;3359200;1004500;855700;686700;812300;1814500;82800;84900;258500;201600;405000;284500;227500;3967500
2;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Nederland;2006;5963800;3484700;1050100;865200;707100;862300;2035300;105800;84100;238500;176400;376200;248900;219500;3953400
3;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Nederland;2007;5949200;3614200;1095100;878500;763900;876700;2233000;125200;82700;235900;166200;321200;253600;196500;3909800
4;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Nederland;2008;6012600;3686300;1140800;909700;772500;863300;2273800;138900;93900;248600;176800;328000;221800;204400;3867100
5;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Nederland;2009;6037000;3726500;1254700;932000;750800;788900;2198500;141800;99000;271800;232200;377700;224300;181300;3902200
6;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Nederland;2010;6110000;3723000;1271800;932200;737600;781400;2151100;119700;94800;262000;223000;410800;272800;188700;3916900
7;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Nederland;2011;6184300;3733700;1266400;906000;757600;803800;2192400;115500;98700;261000;225200;358100;275000;207900;3916600
8;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Noord-Nederland (LD);2004;586700;361700;109100;92600;73500;86400;186000;9800;10100;34200;24200;45200;29700;22500;445700
9;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Noord-Nederland (LD);2005;593700;355700;101900;90400;73600;89900;186600;9500;9300;31100;21100;43400;30700;24000;446600
10;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Noord-Nederland (LD);2006;589400;364900;104500;90700;76000;93600;205800;10700;9400;27700;17300;42700;27300;23900;445600
11;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Noord-Nederland (LD);2007;587500;376000;108900;91000;81600;94600;226400;13200;8500;27400;16200;34400;28700;21400;441300
12;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Noord-Nederland (LD);2008;594600;380200;112600;92400;81400;93800;227300;15200;9900;28200;17700;34900;23900;23000;435900
13;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Noord-Nederland (LD);2009;598900;379200;120700;94400;78400;85700;215700;15100;10100;31300;22800;40200;24300;19800;439500
14;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Noord-Nederland (LD);2010;605300;377600;122700;94000;76400;84500;212600;12200;9900;29500;21100;43200;28800;20300;440500
15;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Noord-Nederland (LD);2011;610000;377700;122200;91000;78000;86600;213400;12200;10800;29400;22000;37700;29600;22800;439600
16;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Oost-Nederland (LD);2004;1270100;704100;219400;180700;140600;163400;375000;18200;20200;59500;45300;84200;56700;45000;799300
17;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Oost-Nederland (LD);2005;1285900;694700;206400;175900;141100;171300;375200;17200;18400;55300;40500;83300;58000;46600;808600
18;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Oost-Nederland (LD);2006;1275400;721400;216700;176500;146200;181900;421700;23800;18300;50400;35200;76000;51100;44900;806200
19;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Oost-Nederland (LD);2007;1277000;745700;222100;180100;158300;185200;464600;24700;17000;50200;32600;64800;51100;40600;796600
20;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Oost-Nederland (LD);2008;1290800;760300;230600;187800;160500;181400;472200;28000;20300;51700;34800;67100;45000;41200;788900
21;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Oost-Nederland (LD);2009;1298900;766600;254200;190500;155700;166200;454300;29400;21000;56400;45500;76600;46300;37000;795500
22;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Oost-Nederland (LD);2010;1315100;765100;258700;190100;151100;165200;443500;24600;20300;54700;43400;84000;55200;39200;796800
23;Totaal mannen en vrouwen;Totaal;Totaal herkomst;Oost-Nederland (LD);2011;1331600;765100;257200;183800;155200;169000;451100;24300;20800;54500;43300;72200;56500;42400;796900
24;Totaal mannen en vrouwen;Totaal;Totaal herkomst;West-Nederland (LD);2004;2786200;1610300;514500;416900;321200;357600;866800;40200;41800;124100;108300;199000;130900;99300;1814700
