ID;Sex;Age;Origin;MedicineGroupATC;Periods;PersonsWithDispensedMedicines_1;PersonsWithMedicinesRelative_2;DefinedDailyDosesDDD_3;DefinedDailyDosesDDDRelative_4
0;Total male and female;10000;Total;Total;2020;11177900.0;62.8;9042636.0;508053.0
1;Total male and female;10000;Total;Total;2021;11341405.0;63.33;9177238.0;512472.0
2;Total male and female;10000;Total;Total;2022;11617275.0;63.99;9277338.0;510975.0
3;Total male and female;10000;Total;Total;2023;11715720.0;64.01;8786468.0;480027.0
4;Total male and female;10000;Total;A Alimentary tract and metabolism;2020;4314580.0;24.24;2089376.0;117390.0
5;Total male and female;10000;Total;A Alimentary tract and metabolism;2021;4466230.0;24.94;2147242.0;119905.0
6;Total male and female;10000;Total;A Alimentary tract and metabolism;2022;4516000.0;24.87;2193286.0;120801.0
7;Total male and female;10000;Total;A Alimentary tract and metabolism;2023;3955890.0;21.61;1582135.0;86436.0
8;Total male and female;10000;Total;A01 Stomatological preparations;2020;45190.0;0.25;288.0;16.0
9;Total male and female;10000;Total;A01 Stomatological preparations;2021;57885.0;0.32;240.0;13.0
10;Total male and female;10000;Total;A01 Stomatological preparations;2022;112735.0;0.62;921.0;51.0
11;Total male and female;10000;Total;A01 Stomatological preparations;2023;99835.0;0.55;628.0;34.0
12;Total male and female;10000;Total;A01A Stomatological preparations;2020;45190.0;0.25;288.0;16.0
13;Total male and female;10000;Total;A01A Stomatological preparations;2021;57885.0;0.32;240.0;13.0
14;Total male and female;10000;Total;A01A Stomatological preparations;2022;112735.0;0.62;921.0;51.0
15;Total male and female;10000;Total;A01A Stomatological preparations;2023;99835.0;0.55;628.0;34.0
16;Total male and female;10000;Total;A02 Drugs for acid related disorders;2020;2271760.0;12.76;824097.0;46301.0
17;Total male and female;10000;Total;A02 Drugs for acid related disorders;2021;2288615.0;12.78;829291.0;46309.0
18;Total male and female;10000;Total;A02 Drugs for acid related disorders;2022;2265255.0;12.48;820614.0;45198.0
19;Total male and female;10000;Total;A02 Drugs for acid related disorders;2023;2237090.0;12.22;808517.0;44171.0
20;Total male and female;10000;Total;A02A Antacids;2020;85.0;0.0;17.0;1.0
21;Total male and female;10000;Total;A02A Antacids;2021;60.0;0.0;20.0;1.0
22;Total male and female;10000;Total;A02A Antacids;2022;115.0;0.0;25.0;1.0
23;Total male and female;10000;Total;A02A Antacids;2023;135.0;0.0;14.0;1.0
24;Total male and female;10000;Total;A02B Drugs for peptic ulcer and gord;2020;2271720.0;12.76;824080.0;46300.0
25;Total male and female;10000;Total;A02B Drugs for peptic ulcer and gord;2021;2288590.0;12.78;829270.0;46308.0
26;Total male and female;10000;Total;A02B Drugs for peptic ulcer and gord;2022;2265210.0;12.48;820589.0;45196.0
27;Total male and female;10000;Total;A02B Drugs for peptic ulcer and gord;2023;2237035.0;12.22;808503.0;44171.0
28;Total male and female;10000;Total;A02X Oth. drugs for acid related disord.;2020;0.0;0.0;0.0;0.0
29;Total male and female;10000;Total;A02X Oth. drugs for acid related disord.;2021;0.0;0.0;0.0;0.0
30;Total male and female;10000;Total;A02X Oth. drugs for acid related disord.;2022;0.0;0.0;0.0;0.0
31;Total male and female;10000;Total;A02X Oth. drugs for acid related disord.;2023;0.0;0.0;0.0;0.0
32;Total male and female;10000;Total;A03 Drugs for funct.gastrointest.disord.;2020;371205.0;2.09;23081.0;1297.0
33;Total male and female;10000;Total;A03 Drugs for funct.gastrointest.disord.;2021;381890.0;2.13;22809.0;1274.0
34;Total male and female;10000;Total;A03 Drugs for funct.gastrointest.disord.;2022;378045.0;2.08;22539.0;1241.0
35;Total male and female;10000;Total;A03 Drugs for funct.gastrointest.disord.;2023;367705.0;2.01;22018.0;1203.0
