ID;GeboorteperiodeVrouw;Opleidingsniveau;TotaalAantalVrouwenInDeSteekproef_1;KindertalGeenKinderen_2;KindertalEenKind_3;KindertalTweeKinderen_4;KindertalDrieOfMeerKinderen_5;GemiddeldVerwachtKindertal_6
0;Geboorteperiode: 1945-1949;Totaal opleidingsniveaus;761;12;15;50;23;1.9
1;Geboorteperiode: 1945-1949;Lager onderwijs, MAVO en VBO;278;6;17;55;23;2.0
2;Geboorteperiode: 1945-1949;HAVO / VWO en MBO;263;13;15;50;22;1.9
3;Geboorteperiode: 1945-1949;HBO en WO;145;21;10;48;21;1.8
4;Geboorteperiode: 1950-1954;Totaal opleidingsniveaus;755;14;15;47;24;1.9
5;Geboorteperiode: 1950-1954;Lager onderwijs, MAVO en VBO;257;7;19;48;25;2.0
6;Geboorteperiode: 1950-1954;HAVO / VWO en MBO;284;14;13;48;24;1.9
7;Geboorteperiode: 1950-1954;HBO en WO;159;26;10;45;19;1.7
8;Geboorteperiode: 1955-1959;Totaal opleidingsniveaus;808;17;15;44;25;1.9
9;Geboorteperiode: 1955-1959;Lager onderwijs, MAVO en VBO;231;15;16;43;26;1.9
10;Geboorteperiode: 1955-1959;HAVO / VWO en MBO;358;16;16;46;23;1.9
11;Geboorteperiode: 1955-1959;HBO en WO;169;21;10;44;25;1.8
12;Geboorteperiode: 1960-1964;Totaal opleidingsniveaus;869;20;13;43;24;1.8
13;Geboorteperiode: 1960-1964;Lager onderwijs, MAVO en VBO;266;16;14;46;25;1.9
14;Geboorteperiode: 1960-1964;HAVO / VWO en MBO;378;18;13;46;23;1.8
15;Geboorteperiode: 1960-1964;HBO en WO;188;29;11;38;22;1.6
