ID;Geslacht;Leeftijd;Inkomensklasse;Marges;Perioden;VoorwaardelijkeSterftekans_1;Levensverwachting_2;InAlsGoedErvarenGezondheid_3;ZonderLichamelijkeBeperkingen_4;ZonderChronischeZiektes_5;LevensverwInGoedeGeestelijkeGezondh_6
0;Mannen;0 jaar;Laagste inkomensklasse;Waarde;2004-2007;0.00566;73.9;52.3;62.0;42.7;64.0
1;Mannen;0 jaar;Laagste inkomensklasse;Waarde;2007-2010;0.00606;74.4;53.7;63.3;43.2;64.3
2;Mannen;0 jaar;Laagste inkomensklasse;Waarde;2011-2014;0.00423;75.1;54.4;63.9;44.1;65.1
3;Mannen;0 jaar;Laagste inkomensklasse;Waarde;2014-2017;0.00075;74.8;52.4;55.8;38.8;63.4
4;Mannen;0 jaar;Laagste inkomensklasse;Standaardfout;2004-2007;0.0;0.0;0.7;;0.8;
5;Mannen;0 jaar;Laagste inkomensklasse;Standaardfout;2007-2010;0.0;0.0;0.6;;0.8;
6;Mannen;0 jaar;Laagste inkomensklasse;Standaardfout;2011-2014;0.0;0.0;0.6;;0.8;
7;Mannen;0 jaar;Laagste inkomensklasse;Standaardfout;2014-2017;0.0;0.0;0.7;;0.7;
8;Mannen;0 jaar;Laag midden inkomensklasse;Waarde;2004-2007;0.00436;77.5;60.5;67.5;45.8;71.0
9;Mannen;0 jaar;Laag midden inkomensklasse;Waarde;2007-2010;0.00301;78.6;60.9;68.4;45.8;71.7
10;Mannen;0 jaar;Laag midden inkomensklasse;Waarde;2011-2014;0.00232;79.3;59.9;68.3;44.7;70.5
11;Mannen;0 jaar;Laag midden inkomensklasse;Waarde;2014-2017;0.00051;79.5;59.8;68.6;42.4;71.6
12;Mannen;0 jaar;Laag midden inkomensklasse;Standaardfout;2004-2007;0.0;0.0;0.6;;0.7;
13;Mannen;0 jaar;Laag midden inkomensklasse;Standaardfout;2007-2010;0.0;0.0;0.5;;0.7;
14;Mannen;0 jaar;Laag midden inkomensklasse;Standaardfout;2011-2014;0.0;0.0;0.5;;0.7;
15;Mannen;0 jaar;Laag midden inkomensklasse;Standaardfout;2014-2017;0.0;0.0;0.6;;0.7;
16;Mannen;0 jaar;Midden inkomensklasse;Waarde;2004-2007;0.00478;78.9;63.8;71.2;47.0;74.0
17;Mannen;0 jaar;Midden inkomensklasse;Waarde;2007-2010;0.00247;80.5;65.1;72.0;46.4;75.6
18;Mannen;0 jaar;Midden inkomensklasse;Waarde;2011-2014;0.00256;81.5;65.2;72.5;47.8;75.4
19;Mannen;0 jaar;Midden inkomensklasse;Waarde;2014-2017;0.0005;81.5;66.0;73.7;46.6;76.0
