ID;Geslacht;Leeftijd;UrgentieOpname;Diagnose;Perioden;Opnamen_1;OpnamenPer10000Inwoners_2;Overledenen_3;OverledenenPer10000Inwoners_4;OverledenenPer100Opnamen_5
0;Totaal mannen en vrouwen;10000;Totaal opnamen;Totaal alle diagnosen;2015;1822505.0;1054.3;34120.0;19.7;1.9
1;Totaal mannen en vrouwen;10000;Totaal opnamen;Totaal alle diagnosen;2016;1809510.0;1040.6;33345.0;19.2;1.8
2;Totaal mannen en vrouwen;10000;Totaal opnamen;Totaal alle diagnosen;2017;1725835.0;986.7;32840.0;18.8;1.9
3;Totaal mannen en vrouwen;10000;Totaal opnamen;Totaal alle diagnosen;2018;1669375.0;948.6;33595.0;19.1;2.0
4;Totaal mannen en vrouwen;10000;Totaal opnamen;Totaal alle diagnosen;2019;1643375.0;927.2;32610.0;18.4;2.0
5;Totaal mannen en vrouwen;10000;Totaal opnamen;Totaal alle diagnosen;2020;1450535.0;815.0;35300.0;19.8;2.4
6;Totaal mannen en vrouwen;10000;Totaal opnamen;Totaal alle diagnosen;2021;1482590.0;827.9;38025.0;21.2;2.6
7;Totaal mannen en vrouwen;10000;Totaal opnamen;Totaal alle diagnosen;2022;1495355.0;823.6;36025.0;19.8;2.4
8;Totaal mannen en vrouwen;10000;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2015;35085.0;20.3;2060.0;1.2;5.9
9;Totaal mannen en vrouwen;10000;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2016;39615.0;22.8;1960.0;1.1;5.0
10;Totaal mannen en vrouwen;10000;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2017;38145.0;21.8;1850.0;1.1;4.8
11;Totaal mannen en vrouwen;10000;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2018;38215.0;21.7;1850.0;1.1;4.8
12;Totaal mannen en vrouwen;10000;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2019;36220.0;20.4;1750.0;1.0;4.8
13;Totaal mannen en vrouwen;10000;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2020;25865.0;14.5;1375.0;0.8;5.3
14;Totaal mannen en vrouwen;10000;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2021;28020.0;15.6;1530.0;0.9;5.5
15;Totaal mannen en vrouwen;10000;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2022;31630.0;17.4;1580.0;0.9;5.0
16;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal;2015;11785.0;6.8;130.0;0.1;1.1
17;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal;2016;15345.0;8.8;155.0;0.1;1.0
18;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal;2017;14430.0;8.2;135.0;0.1;0.9
19;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal;2018;14760.0;8.4;165.0;0.1;1.1
20;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal;2019;13710.0;7.7;175.0;0.1;1.3
21;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal;2020;8645.0;4.9;115.0;0.1;1.3
22;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal;2021;10830.0;6.0;120.0;0.1;1.1
23;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal;2022;11830.0;6.5;140.0;0.1;1.2
24;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1.1 Importzkt. infect. maagdarmkanaal;2015;125.0;0.1;0.0;0.0;1.6
25;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1.1 Importzkt. infect. maagdarmkanaal;2016;105.0;0.1;0.0;0.0;0.0
26;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1.1 Importzkt. infect. maagdarmkanaal;2017;130.0;0.1;0.0;0.0;0.8
27;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1.1 Importzkt. infect. maagdarmkanaal;2018;130.0;0.1;0.0;0.0;0.0
28;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1.1 Importzkt. infect. maagdarmkanaal;2019;110.0;0.1;0.0;0.0;0.9
29;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1.1 Importzkt. infect. maagdarmkanaal;2020;70.0;0.0;0.0;0.0;0.0
30;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1.1 Importzkt. infect. maagdarmkanaal;2021;70.0;0.0;0.0;0.0;1.5
31;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1.1 Importzkt. infect. maagdarmkanaal;2022;90.0;0.0;0.0;0.0;0.0
32;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1.2 Ov. infecties maagdarmkanaal;2015;11660.0;6.7;130.0;0.1;1.1
33;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1.2 Ov. infecties maagdarmkanaal;2016;15240.0;8.8;155.0;0.1;1.0
34;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1.2 Ov. infecties maagdarmkanaal;2017;14300.0;8.2;135.0;0.1;0.9
35;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1.2 Ov. infecties maagdarmkanaal;2018;14625.0;8.3;165.0;0.1;1.1
36;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1.2 Ov. infecties maagdarmkanaal;2019;13600.0;7.7;175.0;0.1;1.3
37;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1.2 Ov. infecties maagdarmkanaal;2020;8575.0;4.8;115.0;0.1;1.3
38;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1.2 Ov. infecties maagdarmkanaal;2021;10760.0;6.0;120.0;0.1;1.1
39;Totaal mannen en vrouwen;10000;Totaal opnamen;1.1.2 Ov. infecties maagdarmkanaal;2022;11740.0;6.5;140.0;0.1;1.2
40;Totaal mannen en vrouwen;10000;Totaal opnamen;1.2 Tuberculose;2015;425.0;0.2;10.0;0.0;1.9
41;Totaal mannen en vrouwen;10000;Totaal opnamen;1.2 Tuberculose;2016;430.0;0.2;5.0;0.0;1.4
42;Totaal mannen en vrouwen;10000;Totaal opnamen;1.2 Tuberculose;2017;390.0;0.2;15.0;0.0;3.4
43;Totaal mannen en vrouwen;10000;Totaal opnamen;1.2 Tuberculose;2018;440.0;0.2;10.0;0.0;2.3
44;Totaal mannen en vrouwen;10000;Totaal opnamen;1.2 Tuberculose;2019;350.0;0.2;5.0;0.0;1.7
45;Totaal mannen en vrouwen;10000;Totaal opnamen;1.2 Tuberculose;2020;290.0;0.2;10.0;0.0;3.1
46;Totaal mannen en vrouwen;10000;Totaal opnamen;1.2 Tuberculose;2021;325.0;0.2;20.0;0.0;5.5
47;Totaal mannen en vrouwen;10000;Totaal opnamen;1.2 Tuberculose;2022;290.0;0.2;10.0;0.0;2.8
48;Totaal mannen en vrouwen;10000;Totaal opnamen;1.3 RVP-ziekten;2015;230.0;0.1;0.0;0.0;0.5
49;Totaal mannen en vrouwen;10000;Totaal opnamen;1.3 RVP-ziekten;2016;240.0;0.1;5.0;0.0;1.3
50;Totaal mannen en vrouwen;10000;Totaal opnamen;1.3 RVP-ziekten;2017;250.0;0.1;0.0;0.0;0.8
51;Totaal mannen en vrouwen;10000;Totaal opnamen;1.3 RVP-ziekten;2018;215.0;0.1;5.0;0.0;1.4
