ID;Geslacht;Onderwijsniveau;Perioden;Personen25JaarEnOuderMetPartner_1
0;Totaal mannen en vrouwen;Totaal;2013;7537
1;Totaal mannen en vrouwen;Totaal;2014;7509
2;Totaal mannen en vrouwen;Totaal;2015;7538
3;Totaal mannen en vrouwen;Totaal;2016;7506
4;Totaal mannen en vrouwen;Totaal;2017;7519
5;Totaal mannen en vrouwen;Totaal;2018;7509
6;Totaal mannen en vrouwen;Totaal;2019;7489
7;Totaal mannen en vrouwen;Totaal;2020;7558
8;Totaal mannen en vrouwen;Totaal;2021;7628
9;Totaal mannen en vrouwen;Totaal;2022;7574
10;Totaal mannen en vrouwen;Totaal;2023;7584
11;Totaal mannen en vrouwen;Totaal;2024;7580
12;Totaal mannen en vrouwen;Beiden basisonderwijs;2013;160
13;Totaal mannen en vrouwen;Beiden basisonderwijs;2014;140
14;Totaal mannen en vrouwen;Beiden basisonderwijs;2015;141
15;Totaal mannen en vrouwen;Beiden basisonderwijs;2016;134
16;Totaal mannen en vrouwen;Beiden basisonderwijs;2017;138
17;Totaal mannen en vrouwen;Beiden basisonderwijs;2018;128
18;Totaal mannen en vrouwen;Beiden basisonderwijs;2019;122
19;Totaal mannen en vrouwen;Beiden basisonderwijs;2020;124
20;Totaal mannen en vrouwen;Beiden basisonderwijs;2021;89
21;Totaal mannen en vrouwen;Beiden basisonderwijs;2022;73
22;Totaal mannen en vrouwen;Beiden basisonderwijs;2023;90
23;Totaal mannen en vrouwen;Beiden basisonderwijs;2024;81
24;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2013;151
25;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2014;158
26;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2015;149
27;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2016;141
28;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2017;129
29;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2018;122
30;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2019;121
31;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2020;113
32;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2021;104
33;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2022;101
34;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2023;105
35;Totaal mannen en vrouwen;Basisonderwijs - partner vmbo/mbo1;2024;103
36;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2013;194
37;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2014;180
38;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2015;175
39;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2016;166
40;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2017;154
41;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2018;159
42;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2019;138
43;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2020;127
44;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2021;108
45;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2022;98
46;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2023;99
47;Totaal mannen en vrouwen;Basisonderwijs - partner havo/vwo/mbo2-4;2024;95
48;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2013;42
49;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2014;37
50;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2015;34
51;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2016;32
52;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2017;38
53;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2018;34
54;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2019;34
55;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2020;29
56;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2021;35
57;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2022;34
58;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2023;37
59;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-bach.;2024;37
60;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2013;13
61;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2014;11
62;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2015;13
63;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2016;9
64;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2017;11
65;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2018;9
66;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2019;11
67;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2020;13
68;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2021;17
69;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2022;18
70;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2023;17
71;Totaal mannen en vrouwen;Basisonderwijs - partner hbo-, wo-master;2024;22
72;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2013;151
73;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2014;158
74;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2015;149
75;Totaal mannen en vrouwen;Vmbo/mbo1 - partner basisonderwijs;2016;141
