ID;RegioS;Inkomensbron;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2
0;Nederland;Totaal particulier huishouden;6714.4;29.0
1;Nederland;Loon;3738.9;33.1
2;Nederland;Winst;646.0;32.3
3;Nederland;Werkloosheid,bijstand,arbeidsongeschikt;613.6;16.8
4;Nederland;Pensioen;1629.7;22.9
5;Noord-Nederland (LD);Totaal particulier huishouden;699.7;26.8
6;Noord-Nederland (LD);Loon;365.0;30.7
7;Noord-Nederland (LD);Winst;73.6;29.7
8;Noord-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;67.2;16.7
9;Noord-Nederland (LD);Pensioen;183.9;21.7
10;Oost-Nederland (LD);Totaal particulier huishouden;1349.9;28.9
11;Oost-Nederland (LD);Loon;763.8;32.7
12;Oost-Nederland (LD);Winst;133.8;32.3
13;Oost-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;110.9;17.4
14;Oost-Nederland (LD);Pensioen;324.5;22.7
15;West-Nederland (LD);Totaal particulier huishouden;3225.0;29.4
16;West-Nederland (LD);Loon;1812.7;33.5
17;West-Nederland (LD);Winst;304.7;33.0
18;West-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;304.5;16.3
19;West-Nederland (LD);Pensioen;761.3;23.3
20;Zuid-Nederland (LD);Totaal particulier huishouden;1439.7;29.3
21;Zuid-Nederland (LD);Loon;797.4;33.6
22;Zuid-Nederland (LD);Winst;133.9;32.2
23;Zuid-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;131.1;17.7
24;Zuid-Nederland (LD);Pensioen;360.0;22.8
25;Groningen (PV);Totaal particulier huishouden;240.2;25.9
26;Groningen (PV);Loon;127.0;29.9
27;Groningen (PV);Winst;22.2;28.7
28;Groningen (PV);Werkloosheid,bijstand,arbeidsongeschikt;26.7;15.9
29;Groningen (PV);Pensioen;60.4;21.0
30;Friesland (PV);Totaal particulier huishouden;262.9;26.7
31;Friesland (PV);Loon;135.9;30.3
32;Friesland (PV);Winst;30.9;30.3
33;Friesland (PV);Werkloosheid,bijstand,arbeidsongeschikt;23.6;16.6
