ID;Geslacht;Leeftijd;Herkomst;BurgerlijkeStaat;SociaaleconomischeCategorie;Perioden;AantalPersonen_1;OpgebouwdeJaarlijkseAanspraken_2;TeBereikenJaarlijkseAanspraken_3;Vervangingspercentage_4;OpgebouwdeJaarlijkseAanspraken_5;TeBereikenJaarlijkseAanspraken_6;Vervangingspercentage_7;Vermogen_8;OpgebouwdeJaarlijkseAanspraken_9;TeBereikenJaarlijkseAanspraken_10;Vervangingspercentage_11
0;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Totaal sociaaleconomische categorie;2005;11021900;4100.0;9100.0;41.0;3100.0;8000.0;36.0;45.0;7200.0;17100.0;77.0
1;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Totaal sociaaleconomische categorie;2006;11033000;4200.0;9200.0;38.0;3200.0;8900.0;37.0;46.0;7400.0;18100.0;75.0
2;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Totaal sociaaleconomische categorie;2007;11059850;4400.0;9500.0;38.0;3700.0;9900.0;40.0;46.0;8100.0;19400.0;78.0
3;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Totaal sociaaleconomische categorie;2008;11097250;4500.0;9800.0;37.0;3700.0;10300.0;39.0;46.0;8200.0;20100.0;76.0
4;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Totaal sociaaleconomische categorie;2009;11125350;4800.0;10300.0;39.0;3600.0;9300.0;35.0;41.0;8400.0;19600.0;74.0
5;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Totaal sociaaleconomische categorie;2010;11155250;4900.0;10400.0;39.0;3400.0;8900.0;33.0;40.0;8300.0;19300.0;72.0
6;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Totaal sociaaleconomische categorie;2011;11119300;4900.0;10600.0;39.0;3300.0;8800.0;32.0;39.0;8200.0;19400.0;71.0
7;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Totaal sociaaleconomische categorie;2012;11080250;5000.0;10700.0;39.0;3000.0;8400.0;30.0;37.0;8000.0;19100.0;69.0
8;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Werknemer;2005;6293950;4200.0;8900.0;30.0;4200.0;12500.0;42.0;52.0;8400.0;21400.0;72.0
9;Totaal mannen en vrouwen;Totaal 15 tot 65 jarigen;Totaal allochtonen en autochtonen;Totaal burgerlijke staat;Werknemer;2006;6377450;4300.0;9000.0;28.0;4300.0;14000.0;44.0;52.0;8600.0;23000.0;72.0
