ID;Citizenship;Periods;TotalRequestsAsylumAndFamilyMembers_1;FirstRequestsForAsylumPersons_2;SubsequentRequests_3;FamilyMembersPersons_4
80;(former) Soviet Union;2005;1185.0;1185.0;;
81;(former) Soviet Union;2006;1330.0;1330.0;;
82;(former) Soviet Union;2007;495.0;365.0;130.0;
83;(former) Soviet Union;2008;630.0;480.0;150.0;
84;(former) Soviet Union;2009;1225.0;1125.0;100.0;
85;(former) Soviet Union;2010;1775.0;1640.0;135.0;
86;(former) Soviet Union;2011;1875.0;1585.0;290.0;
87;(former) Soviet Union;2012;1685.0;1380.0;305.0;
88;(former) Soviet Union;2013;1050.0;770.0;265.0;15.0
89;(former) Soviet Union;2014;1205.0;1015.0;175.0;20.0
90;(former) Soviet Union;2015;1500.0;1320.0;160.0;25.0
91;(former) Soviet Union;2016;1380.0;1230.0;135.0;15.0
92;(former) Soviet Union;2017;1920.0;1705.0;205.0;10.0
93;(former) Soviet Union;2018;2800.0;2560.0;225.0;15.0
94;(former) Soviet Union;2019;3105.0;2850.0;240.0;15.0
95;(former) Soviet Union;2020;815.0;710.0;85.0;20.0
96;(former) Soviet Union;2021;800.0;680.0;95.0;25.0
97;(former) Soviet Union;2022;2625.0;2475.0;115.0;35.0
98;(former) Soviet Union;2023;2245.0;2115.0;110.0;20.0
99;(former) Soviet Union;2024;1795.0;1685.0;90.0;20.0
100;(former) Yugoslavia;1975;;;;
101;(former) Yugoslavia;1976;;;;
102;(former) Yugoslavia;1977;;;;
103;(former) Yugoslavia;1978;;;;
104;(former) Yugoslavia;1979;;;;
105;(former) Yugoslavia;1980;;;;
106;(former) Yugoslavia;1981;;;;
107;(former) Yugoslavia;1982;10.0;10.0;;
108;(former) Yugoslavia;1983;10.0;10.0;;
109;(former) Yugoslavia;1984;15.0;15.0;;
110;(former) Yugoslavia;1985;15.0;15.0;;
111;(former) Yugoslavia;1986;15.0;15.0;;
112;(former) Yugoslavia;1987;65.0;65.0;;
113;(former) Yugoslavia;1988;120.0;120.0;;
114;(former) Yugoslavia;1989;505.0;505.0;;
115;(former) Yugoslavia;1990;580.0;580.0;;
116;(former) Yugoslavia;1991;2735.0;2735.0;;
117;(former) Yugoslavia;1992;5620.0;5620.0;;
118;(former) Yugoslavia;1993;10185.0;10185.0;;
119;(former) Yugoslavia;1994;13440.0;13440.0;;
120;(former) Yugoslavia;1995;6150.0;6150.0;;
121;(former) Yugoslavia;1996;1975.0;1975.0;;
122;(former) Yugoslavia;1997;3790.0;3790.0;;
123;(former) Yugoslavia;1998;8330.0;8330.0;;
124;(former) Yugoslavia;1999;5080.0;5080.0;;
125;(former) Yugoslavia;2000;5650.0;5650.0;;
126;(former) Yugoslavia;2001;2200.0;2200.0;;
127;(former) Yugoslavia;2002;855.0;855.0;;
128;(former) Yugoslavia;2003;545.0;545.0;;
129;(former) Yugoslavia;2004;500.0;500.0;;
130;(former) Yugoslavia;2005;450.0;450.0;;
131;(former) Yugoslavia;2006;775.0;775.0;;
132;(former) Yugoslavia;2007;95.0;55.0;40.0;
133;(former) Yugoslavia;2008;65.0;45.0;20.0;
134;(former) Yugoslavia;2009;135.0;100.0;35.0;
135;(former) Yugoslavia;2010;520.0;505.0;15.0;
136;(former) Yugoslavia;2011;445.0;415.0;25.0;
137;(former) Yugoslavia;2012;320.0;290.0;25.0;
138;(former) Yugoslavia;2013;515.0;490.0;25.0;
139;(former) Yugoslavia;2014;515.0;495.0;15.0;
140;(former) Yugoslavia;2015;1380.0;1365.0;15.0;
141;(former) Yugoslavia;2016;2180.0;2160.0;20.0;
142;(former) Yugoslavia;2017;460.0;395.0;65.0;
143;(former) Yugoslavia;2018;365.0;310.0;55.0;
144;(former) Yugoslavia;2019;860.0;770.0;90.0;
145;(former) Yugoslavia;2020;240.0;190.0;50.0;0.0
146;(former) Yugoslavia;2021;90.0;75.0;15.0;
147;(former) Yugoslavia;2022;45.0;40.0;5.0;0.0
148;(former) Yugoslavia;2023;45.0;40.0;5.0;0.0
149;(former) Yugoslavia;2024;50.0;45.0;5.0;0.0
150;Afghan ;1975;;;;
151;Afghan ;1976;;;;
152;Afghan ;1977;;;;
153;Afghan ;1978;;;;
154;Afghan ;1979;;;;
155;Afghan ;1980;15.0;15.0;;
156;Afghan ;1981;15.0;15.0;;
157;Afghan ;1982;20.0;20.0;;
158;Afghan ;1983;30.0;30.0;;
159;Afghan ;1984;35.0;35.0;;
160;Afghan ;1985;135.0;135.0;;
161;Afghan ;1986;450.0;450.0;;
162;Afghan ;1987;65.0;65.0;;
163;Afghan ;1988;45.0;45.0;;
164;Afghan ;1989;265.0;265.0;;
165;Afghan ;1990;570.0;570.0;;
166;Afghan ;1991;295.0;295.0;;
167;Afghan ;1992;350.0;350.0;;
168;Afghan ;1993;1505.0;1505.0;;
169;Afghan ;1994;2525.0;2525.0;;
170;Afghan ;1995;1910.0;1910.0;;
171;Afghan ;1996;3020.0;3020.0;;
172;Afghan ;1997;5920.0;5920.0;;
173;Afghan ;1998;7120.0;7120.0;;
174;Afghan ;1999;4400.0;4400.0;;
175;Afghan ;2000;5030.0;5030.0;;
176;Afghan ;2001;3625.0;3625.0;;
177;Afghan ;2002;1080.0;1080.0;;
178;Afghan ;2003;485.0;485.0;;
179;Afghan ;2004;690.0;690.0;;
180;Afghan ;2005;900.0;900.0;;
181;Afghan ;2006;930.0;930.0;;
182;Afghan ;2007;520.0;190.0;330.0;
183;Afghan ;2008;705.0;395.0;310.0;
184;Afghan ;2009;1400.0;1280.0;120.0;
185;Afghan ;2010;1585.0;1365.0;220.0;
186;Afghan ;2011;2395.0;1885.0;510.0;
187;Afghan ;2012;1620.0;1025.0;595.0;
188;Afghan ;2013;1520.0;455.0;910.0;155.0
189;Afghan ;2014;975.0;450.0;425.0;100.0
190;Afghan ;2015;2945.0;2550.0;310.0;85.0
191;Afghan ;2016;1445.0;1025.0;360.0;65.0
192;Afghan ;2017;870.0;320.0;465.0;85.0
193;Afghan ;2018;1205.0;325.0;635.0;250.0
194;Afghan ;2019;895.0;435.0;355.0;100.0
195;Afghan ;2020;605.0;390.0;180.0;35.0
196;Afghan ;2021;3425.0;3005.0;300.0;120.0
197;Afghan ;2022;2945.0;2730.0;55.0;160.0
198;Afghan ;2023;870.0;670.0;10.0;190.0
199;Afghan ;2024;665.0;490.0;15.0;160.0
200;Albanian ;1975;;;;
201;Albanian ;1976;;;;
202;Albanian ;1977;;;;
203;Albanian ;1978;;;;
204;Albanian ;1979;;;;
205;Albanian ;1980;;;;
206;Albanian ;1981;10.0;10.0;;
207;Albanian ;1982;;;;
208;Albanian ;1983;;;;
209;Albanian ;1984;;;;
210;Albanian ;1985;10.0;10.0;;
211;Albanian ;1986;10.0;10.0;;
212;Albanian ;1987;30.0;30.0;;
213;Albanian ;1988;10.0;10.0;;
214;Albanian ;1989;40.0;40.0;;
215;Albanian ;1990;40.0;40.0;;
216;Albanian ;1991;225.0;225.0;;
217;Albanian ;1992;140.0;140.0;;
218;Albanian ;1993;275.0;275.0;;
219;Albanian ;1994;620.0;620.0;;
220;Albanian ;1995;105.0;105.0;;
221;Albanian ;1996;90.0;90.0;;
222;Albanian ;1997;300.0;300.0;;
223;Albanian ;1998;245.0;245.0;;
224;Albanian ;1999;175.0;175.0;;
225;Albanian ;2000;215.0;215.0;;
226;Albanian ;2001;140.0;140.0;;
227;Albanian ;2002;105.0;105.0;;
228;Albanian ;2003;50.0;50.0;;
229;Albanian ;2004;50.0;50.0;;
230;Albanian ;2005;30.0;30.0;;
231;Albanian ;2006;25.0;25.0;;
232;Albanian ;2007;10.0;10.0;0.0;
233;Albanian ;2008;10.0;10.0;0.0;
234;Albanian ;2009;15.0;15.0;0.0;
235;Albanian ;2010;15.0;15.0;0.0;
236;Albanian ;2011;30.0;20.0;10.0;
237;Albanian ;2012;20.0;15.0;0.0;
238;Albanian ;2013;35.0;30.0;5.0;
239;Albanian ;2014;90.0;85.0;5.0;
240;Albanian ;2015;1015.0;1005.0;10.0;5.0
241;Albanian ;2016;1700.0;1665.0;35.0;
242;Albanian ;2017;375.0;365.0;10.0;
243;Albanian ;2018;575.0;550.0;25.0;
244;Albanian ;2019;270.0;190.0;75.0;5.0
245;Albanian ;2020;90.0;80.0;5.0;
246;Albanian ;2021;55.0;55.0;0.0;
247;Albanian ;2022;60.0;50.0;5.0;5.0
248;Albanian ;2023;30.0;30.0;5.0;0.0
249;Albanian ;2024;25.0;20.0;5.0;0.0
250;Algerian ;1975;;;;
251;Algerian ;1976;;;;
252;Algerian ;1977;;;;
253;Algerian ;1978;;;;
254;Algerian ;1979;;;;
255;Algerian ;1980;;;;
256;Algerian ;1981;;;;
257;Algerian ;1982;;;;
258;Algerian ;1983;;;;
259;Algerian ;1984;;;;
260;Algerian ;1985;;;;
261;Algerian ;1986;10.0;10.0;;
262;Algerian ;1987;15.0;15.0;;
263;Algerian ;1988;30.0;30.0;;
264;Algerian ;1989;45.0;45.0;;
265;Algerian ;1990;105.0;105.0;;
266;Algerian ;1991;80.0;80.0;;
267;Algerian ;1992;145.0;145.0;;
268;Algerian ;1993;345.0;345.0;;
269;Algerian ;1994;1320.0;1320.0;;
270;Algerian ;1995;650.0;650.0;;
271;Algerian ;1996;440.0;440.0;;
272;Algerian ;1997;525.0;525.0;;
273;Algerian ;1998;820.0;820.0;;
274;Algerian ;1999;635.0;635.0;;
275;Algerian ;2000;420.0;420.0;;
276;Algerian ;2001;330.0;330.0;;
277;Algerian ;2002;200.0;200.0;;
278;Algerian ;2003;105.0;105.0;;
279;Algerian ;2004;65.0;65.0;;
280;Algerian ;2005;55.0;55.0;;
281;Algerian ;2006;55.0;55.0;;
282;Algerian ;2007;45.0;30.0;15.0;
283;Algerian ;2008;25.0;25.0;5.0;
284;Algerian ;2009;40.0;35.0;5.0;
285;Algerian ;2010;30.0;20.0;10.0;
286;Algerian ;2011;15.0;15.0;5.0;
287;Algerian ;2012;35.0;25.0;10.0;
288;Algerian ;2013;40.0;30.0;10.0;
289;Algerian ;2014;20.0;15.0;5.0;
290;Algerian ;2015;55.0;40.0;5.0;10.0
291;Algerian ;2016;990.0;980.0;5.0;5.0
292;Algerian ;2017;925.0;890.0;35.0;
293;Algerian ;2018;1335.0;1265.0;70.0;0.0
294;Algerian ;2019;1315.0;1210.0;105.0;
295;Algerian ;2020;1060.0;995.0;70.0;0.0
296;Algerian ;2021;1175.0;1105.0;60.0;10.0
297;Algerian ;2022;1265.0;1205.0;55.0;5.0
298;Algerian ;2023;1645.0;1555.0;85.0;0.0
299;Algerian ;2024;1220.0;950.0;265.0;5.0
300;Angolan ;1975;;;;
301;Angolan ;1976;;;;
302;Angolan ;1977;;;;
303;Angolan ;1978;;;;
304;Angolan ;1979;;;;
305;Angolan ;1980;;;;
306;Angolan ;1981;;;;
307;Angolan ;1982;;;;
308;Angolan ;1983;;;;
309;Angolan ;1984;;;;
310;Angolan ;1985;10.0;10.0;;
311;Angolan ;1986;30.0;30.0;;
312;Angolan ;1987;290.0;290.0;;
313;Angolan ;1988;75.0;75.0;;
314;Angolan ;1989;205.0;205.0;;
315;Angolan ;1990;260.0;260.0;;
316;Angolan ;1991;160.0;160.0;;
317;Angolan ;1992;120.0;120.0;;
318;Angolan ;1993;540.0;540.0;;
319;Angolan ;1994;1375.0;1375.0;;
320;Angolan ;1995;740.0;740.0;;
321;Angolan ;1996;420.0;420.0;;
322;Angolan ;1997;375.0;375.0;;
323;Angolan ;1998;610.0;610.0;;
324;Angolan ;1999;1585.0;1585.0;;
325;Angolan ;2000;2180.0;2180.0;;
326;Angolan ;2001;4115.0;4115.0;;
327;Angolan ;2002;1895.0;1895.0;;
328;Angolan ;2003;370.0;370.0;;
329;Angolan ;2004;175.0;175.0;;
330;Angolan ;2005;220.0;220.0;;
331;Angolan ;2006;210.0;210.0;;
332;Angolan ;2007;80.0;35.0;45.0;
333;Angolan ;2008;75.0;30.0;40.0;
334;Angolan ;2009;60.0;35.0;20.0;
335;Angolan ;2010;50.0;30.0;20.0;
336;Angolan ;2011;25.0;20.0;10.0;
337;Angolan ;2012;15.0;15.0;0.0;
338;Angolan ;2013;20.0;20.0;5.0;
339;Angolan ;2014;10.0;5.0;0.0;
340;Angolan ;2015;15.0;15.0;5.0;
341;Angolan ;2016;15.0;15.0;;
342;Angolan ;2017;30.0;25.0;5.0;
343;Angolan ;2018;35.0;30.0;5.0;
344;Angolan ;2019;65.0;55.0;10.0;
345;Angolan ;2020;15.0;10.0;0.0;
346;Angolan ;2021;10.0;5.0;5.0;
347;Angolan ;2022;20.0;15.0;0.0;0.0
348;Angolan ;2023;30.0;25.0;5.0;0.0
349;Angolan ;2024;45.0;40.0;5.0;0.0
350;Armenian ;1975;;;;
351;Armenian ;1976;;;;
352;Armenian ;1977;;;;
353;Armenian ;1978;;;;
354;Armenian ;1979;;;;
355;Armenian ;1980;;;;
356;Armenian ;1981;;;;
357;Armenian ;1982;;;;
358;Armenian ;1983;;;;
359;Armenian ;1984;;;;
360;Armenian ;1985;;;;
361;Armenian ;1986;;;;
362;Armenian ;1987;;;;
363;Armenian ;1988;;;;
364;Armenian ;1989;;;;
365;Armenian ;1990;;;;
366;Armenian ;1991;;;;
367;Armenian ;1992;40.0;40.0;;
368;Armenian ;1993;350.0;350.0;;
369;Armenian ;1994;1080.0;1080.0;;
370;Armenian ;1995;360.0;360.0;;
371;Armenian ;1996;365.0;365.0;;
372;Armenian ;1997;430.0;430.0;;
373;Armenian ;1998;710.0;710.0;;
374;Armenian ;1999;1250.0;1250.0;;
375;Armenian ;2000;805.0;805.0;;
376;Armenian ;2001;525.0;525.0;;
377;Armenian ;2002;420.0;420.0;;
378;Armenian ;2003;200.0;200.0;;
379;Armenian ;2004;245.0;245.0;;
380;Armenian ;2005;195.0;195.0;;
381;Armenian ;2006;280.0;280.0;;
382;Armenian ;2007;155.0;115.0;35.0;
383;Armenian ;2008;240.0;210.0;35.0;
384;Armenian ;2009;370.0;350.0;20.0;
385;Armenian ;2010;650.0;610.0;40.0;
386;Armenian ;2011;580.0;470.0;110.0;
387;Armenian ;2012;315.0;200.0;115.0;
388;Armenian ;2013;265.0;180.0;85.0;5.0
389;Armenian ;2014;210.0;145.0;60.0;0.0
390;Armenian ;2015;115.0;75.0;40.0;0.0
391;Armenian ;2016;100.0;50.0;45.0;5.0
392;Armenian ;2017;190.0;110.0;80.0;
393;Armenian ;2018;100.0;60.0;35.0;
394;Armenian ;2019;105.0;70.0;30.0;0.0
395;Armenian ;2020;35.0;25.0;10.0;0.0
396;Armenian ;2021;45.0;35.0;15.0;
397;Armenian ;2022;60.0;50.0;10.0;0.0
398;Armenian ;2023;70.0;50.0;20.0;0.0
399;Armenian ;2024;45.0;35.0;5.0;0.0
400;Azerbaijani ;1975;;;;
401;Azerbaijani ;1976;;;;
402;Azerbaijani ;1977;;;;
403;Azerbaijani ;1978;;;;
404;Azerbaijani ;1979;;;;
405;Azerbaijani ;1980;;;;
406;Azerbaijani ;1981;;;;
407;Azerbaijani ;1982;;;;
408;Azerbaijani ;1983;;;;
409;Azerbaijani ;1984;;;;
410;Azerbaijani ;1985;;;;
411;Azerbaijani ;1986;;;;
412;Azerbaijani ;1987;;;;
413;Azerbaijani ;1988;;;;
414;Azerbaijani ;1989;;;;
415;Azerbaijani ;1990;;;;
416;Azerbaijani ;1991;;;;
417;Azerbaijani ;1992;10.0;10.0;;
418;Azerbaijani ;1993;25.0;25.0;;
419;Azerbaijani ;1994;105.0;105.0;;
420;Azerbaijani ;1995;130.0;130.0;;
421;Azerbaijani ;1996;185.0;185.0;;
422;Azerbaijani ;1997;315.0;315.0;;
423;Azerbaijani ;1998;1265.0;1265.0;;
424;Azerbaijani ;1999;2450.0;2450.0;;
425;Azerbaijani ;2000;1155.0;1155.0;;
426;Azerbaijani ;2001;635.0;635.0;;
427;Azerbaijani ;2002;340.0;340.0;;
428;Azerbaijani ;2003;280.0;280.0;;
429;Azerbaijani ;2004;250.0;250.0;;
430;Azerbaijani ;2005;285.0;285.0;;
431;Azerbaijani ;2006;385.0;385.0;;
432;Azerbaijani ;2007;80.0;50.0;30.0;
433;Azerbaijani ;2008;110.0;60.0;50.0;
434;Azerbaijani ;2009;140.0;120.0;20.0;
435;Azerbaijani ;2010;105.0;80.0;25.0;
436;Azerbaijani ;2011;150.0;120.0;30.0;
437;Azerbaijani ;2012;100.0;70.0;30.0;
438;Azerbaijani ;2013;95.0;60.0;35.0;
439;Azerbaijani ;2014;80.0;45.0;30.0;5.0
440;Azerbaijani ;2015;65.0;35.0;35.0;
441;Azerbaijani ;2016;80.0;65.0;15.0;
442;Azerbaijani ;2017;135.0;115.0;20.0;
443;Azerbaijani ;2018;300.0;240.0;60.0;
444;Azerbaijani ;2019;425.0;375.0;50.0;
445;Azerbaijani ;2020;140.0;115.0;25.0;0.0
446;Azerbaijani ;2021;90.0;80.0;15.0;
447;Azerbaijani ;2022;145.0;125.0;15.0;5.0
448;Azerbaijani ;2023;135.0;120.0;10.0;0.0
449;Azerbaijani ;2024;170.0;150.0;20.0;0.0
450;Belorussian ;1975;;;;
451;Belorussian ;1976;;;;
452;Belorussian ;1977;;;;
453;Belorussian ;1978;;;;
454;Belorussian ;1979;;;;
455;Belorussian ;1980;;;;
456;Belorussian ;1981;;;;
457;Belorussian ;1982;;;;
458;Belorussian ;1983;;;;
459;Belorussian ;1984;;;;
460;Belorussian ;1985;;;;
461;Belorussian ;1986;;;;
462;Belorussian ;1987;;;;
463;Belorussian ;1988;;;;
464;Belorussian ;1989;;;;
465;Belorussian ;1990;;;;
466;Belorussian ;1991;;;;
467;Belorussian ;1992;15.0;15.0;;
468;Belorussian ;1993;10.0;10.0;;
469;Belorussian ;1994;40.0;40.0;;
470;Belorussian ;1995;5.0;5.0;;
471;Belorussian ;1996;5.0;5.0;;
472;Belorussian ;1997;30.0;30.0;;
473;Belorussian ;1998;25.0;25.0;;
474;Belorussian ;1999;40.0;40.0;;
475;Belorussian ;2000;110.0;110.0;;
476;Belorussian ;2001;115.0;115.0;;
477;Belorussian ;2002;130.0;130.0;;
478;Belorussian ;2003;55.0;55.0;;
479;Belorussian ;2004;25.0;25.0;;
480;Belorussian ;2005;30.0;30.0;;
481;Belorussian ;2006;45.0;45.0;;
482;Belorussian ;2007;15.0;5.0;10.0;
483;Belorussian ;2008;5.0;5.0;0.0;
484;Belorussian ;2009;40.0;30.0;5.0;
485;Belorussian ;2010;65.0;65.0;5.0;
486;Belorussian ;2011;275.0;260.0;15.0;
487;Belorussian ;2012;65.0;55.0;10.0;
488;Belorussian ;2013;70.0;50.0;20.0;
489;Belorussian ;2014;50.0;45.0;5.0;0.0
490;Belorussian ;2015;50.0;45.0;5.0;0.0
491;Belorussian ;2016;25.0;20.0;5.0;
492;Belorussian ;2017;115.0;105.0;15.0;
493;Belorussian ;2018;260.0;250.0;5.0;
494;Belorussian ;2019;180.0;165.0;10.0;5.0
495;Belorussian ;2020;90.0;85.0;5.0;0.0
496;Belorussian ;2021;95.0;85.0;10.0;
497;Belorussian ;2022;105.0;95.0;10.0;0.0
498;Belorussian ;2023;85.0;80.0;0.0;0.0
499;Belorussian ;2024;60.0;50.0;5.0;0.0
500;Bengali ;1975;;;;
501;Bengali ;1976;;;;
502;Bengali ;1977;;;;
503;Bengali ;1978;;;;
504;Bengali ;1979;;;;
505;Bengali ;1980;;;;
506;Bengali ;1981;;;;
507;Bengali ;1982;10.0;10.0;;
508;Bengali ;1983;;;;
509;Bengali ;1984;15.0;15.0;;
510;Bengali ;1985;60.0;60.0;;
511;Bengali ;1986;215.0;215.0;;
512;Bengali ;1987;830.0;830.0;;
513;Bengali ;1988;215.0;215.0;;
514;Bengali ;1989;105.0;105.0;;
515;Bengali ;1990;115.0;115.0;;
516;Bengali ;1991;65.0;65.0;;
517;Bengali ;1992;45.0;45.0;;
518;Bengali ;1993;50.0;50.0;;
519;Bengali ;1994;130.0;130.0;;
520;Bengali ;1995;245.0;245.0;;
521;Bengali ;1996;85.0;85.0;;
522;Bengali ;1997;55.0;55.0;;
523;Bengali ;1998;40.0;40.0;;
524;Bengali ;1999;50.0;50.0;;
525;Bengali ;2000;80.0;80.0;;
526;Bengali ;2001;55.0;55.0;;
527;Bengali ;2002;35.0;35.0;;
528;Bengali ;2003;20.0;20.0;;
529;Bengali ;2004;25.0;25.0;;
530;Bengali ;2005;25.0;25.0;;
531;Bengali ;2006;25.0;25.0;;
532;Bengali ;2007;5.0;5.0;0.0;
533;Bengali ;2008;15.0;10.0;5.0;
534;Bengali ;2009;15.0;15.0;0.0;
535;Bengali ;2010;15.0;15.0;0.0;
536;Bengali ;2011;25.0;25.0;0.0;
537;Bengali ;2012;45.0;35.0;10.0;
538;Bengali ;2013;40.0;20.0;10.0;10.0
539;Bengali ;2014;15.0;10.0;0.0;
540;Bengali ;2015;40.0;30.0;5.0;5.0
541;Bengali ;2016;25.0;20.0;5.0;
542;Bengali ;2017;20.0;20.0;0.0;
543;Bengali ;2018;30.0;20.0;5.0;
544;Bengali ;2019;25.0;20.0;5.0;
545;Bengali ;2020;25.0;20.0;5.0;0.0
546;Bengali ;2021;15.0;10.0;0.0;5.0
547;Bengali ;2022;25.0;20.0;5.0;0.0
548;Bengali ;2023;30.0;20.0;5.0;5.0
549;Bengali ;2024;40.0;40.0;0.0;0.0
550;Beninese ;1975;;;;
551;Beninese ;1976;;;;
552;Beninese ;1977;;;;
553;Beninese ;1978;;;;
554;Beninese ;1979;;;;
555;Beninese ;1980;;;;
556;Beninese ;1981;;;;
557;Beninese ;1982;;;;
558;Beninese ;1983;;;;
559;Beninese ;1984;;;;
560;Beninese ;1985;;;;
561;Beninese ;1986;;;;
562;Beninese ;1987;;;;
563;Beninese ;1988;;;;
564;Beninese ;1989;;;;
565;Beninese ;1990;;;;
566;Beninese ;1991;;;;
567;Beninese ;1992;;;;
568;Beninese ;1993;;;;
569;Beninese ;1994;10.0;10.0;;
570;Beninese ;1995;5.0;5.0;;
571;Beninese ;1996;5.0;5.0;;
572;Beninese ;1997;5.0;5.0;;
573;Beninese ;1998;5.0;5.0;;
574;Beninese ;1999;10.0;10.0;;
575;Beninese ;2000;30.0;30.0;;
576;Beninese ;2001;105.0;105.0;;
577;Beninese ;2002;105.0;105.0;;
578;Beninese ;2003;10.0;10.0;;
579;Beninese ;2004;5.0;5.0;;
580;Beninese ;2005;5.0;5.0;;
581;Beninese ;2006;0.0;0.0;;
582;Beninese ;2007;5.0;0.0;5.0;
583;Beninese ;2008;5.0;5.0;0.0;
584;Beninese ;2009;5.0;5.0;0.0;
585;Beninese ;2010;15.0;15.0;0.0;
586;Beninese ;2011;10.0;5.0;0.0;
587;Beninese ;2012;10.0;5.0;0.0;
588;Beninese ;2013;5.0;5.0;0.0;
589;Beninese ;2014;0.0;;0.0;
590;Beninese ;2015;5.0;5.0;;
591;Beninese ;2016;5.0;5.0;;
592;Beninese ;2017;15.0;15.0;0.0;
593;Beninese ;2018;15.0;10.0;5.0;
594;Beninese ;2019;5.0;5.0;5.0;
595;Beninese ;2020;5.0;5.0;;
596;Beninese ;2021;5.0;5.0;;
597;Beninese ;2022;10.0;10.0;0.0;0.0
598;Beninese ;2023;30.0;25.0;5.0;0.0
599;Beninese ;2024;10.0;10.0;0.0;0.0
600;Bosnian ;1975;;;;
601;Bosnian ;1976;;;;
602;Bosnian ;1977;;;;
603;Bosnian ;1978;;;;
604;Bosnian ;1979;;;;
605;Bosnian ;1980;;;;
606;Bosnian ;1981;;;;
607;Bosnian ;1982;;;;
608;Bosnian ;1983;;;;
609;Bosnian ;1984;;;;
610;Bosnian ;1985;;;;
611;Bosnian ;1986;;;;
612;Bosnian ;1987;;;;
613;Bosnian ;1988;;;;
614;Bosnian ;1989;;;;
615;Bosnian ;1990;;;;
616;Bosnian ;1991;;;;
617;Bosnian ;1992;815.0;815.0;;
618;Bosnian ;1993;4940.0;4940.0;;
619;Bosnian ;1994;8635.0;8635.0;;
620;Bosnian ;1995;4225.0;4225.0;;
