ID;VormenVanJeugdzorg;RegioS;Perioden;JongerenMetJeugdzorg_1;JongerenMetJeugdzorgRelatief_2;Jeugdzorgtrajecten_3
0;JZ Totaal jeugdzorg;Nederland;1e halfjaar 2021;397725.0;9.0;
1;JZ Totaal jeugdzorg;Nederland;2e halfjaar 2021;395430.0;9.0;
2;JZ Totaal jeugdzorg;Nederland;2021;469705.0;10.6;
3;JZ Totaal jeugdzorg;Nederland;1e halfjaar 2022;401995.0;9.1;
4;JZ Totaal jeugdzorg;Nederland;2e halfjaar 2022;406290.0;9.2;
5;JZ Totaal jeugdzorg;Nederland;2022;476560.0;10.8;
6;JZ Totaal jeugdzorg;Nederland;1e halfjaar 2023;415890.0;9.3;
7;JZ Totaal jeugdzorg;Nederland;2e halfjaar 2023;414290.0;9.3;
8;JZ Totaal jeugdzorg;Nederland;2023;489895.0;11.0;
9;JZ Totaal jeugdzorg;Nederland;1e half jaar 2024;403180.0;9.2;
10;JZ Totaal jeugdzorg;Noord-Nederland (LD);1e halfjaar 2021;41200.0;9.5;
11;JZ Totaal jeugdzorg;Noord-Nederland (LD);2e halfjaar 2021;40780.0;9.4;
12;JZ Totaal jeugdzorg;Noord-Nederland (LD);2021;47985.0;11.1;
13;JZ Totaal jeugdzorg;Noord-Nederland (LD);1e halfjaar 2022;40970.0;9.4;
14;JZ Totaal jeugdzorg;Noord-Nederland (LD);2e halfjaar 2022;41065.0;9.5;
15;JZ Totaal jeugdzorg;Noord-Nederland (LD);2022;47705.0;11.0;
16;JZ Totaal jeugdzorg;Noord-Nederland (LD);1e halfjaar 2023;41740.0;9.6;
17;JZ Totaal jeugdzorg;Noord-Nederland (LD);2e halfjaar 2023;40765.0;9.4;
18;JZ Totaal jeugdzorg;Noord-Nederland (LD);2023;48405.0;11.1;
19;JZ Totaal jeugdzorg;Noord-Nederland (LD);1e half jaar 2024;40440.0;9.3;
20;JZ Totaal jeugdzorg;Oost-Nederland (LD);1e halfjaar 2021;86140.0;8.9;
21;JZ Totaal jeugdzorg;Oost-Nederland (LD);2e halfjaar 2021;86100.0;8.9;
22;JZ Totaal jeugdzorg;Oost-Nederland (LD);2021;101235.0;10.4;
23;JZ Totaal jeugdzorg;Oost-Nederland (LD);1e halfjaar 2022;85955.0;8.9;
24;JZ Totaal jeugdzorg;Oost-Nederland (LD);2e halfjaar 2022;86380.0;8.9;
25;JZ Totaal jeugdzorg;Oost-Nederland (LD);2022;101355.0;10.5;
26;JZ Totaal jeugdzorg;Oost-Nederland (LD);1e halfjaar 2023;89550.0;9.2;
27;JZ Totaal jeugdzorg;Oost-Nederland (LD);2e halfjaar 2023;90205.0;9.3;
28;JZ Totaal jeugdzorg;Oost-Nederland (LD);2023;105350.0;10.8;
29;JZ Totaal jeugdzorg;Oost-Nederland (LD);1e half jaar 2024;88420.0;9.3;
30;JZ Totaal jeugdzorg;West-Nederland (LD);1e halfjaar 2021;189300.0;8.9;
31;JZ Totaal jeugdzorg;West-Nederland (LD);2e halfjaar 2021;187890.0;8.8;
32;JZ Totaal jeugdzorg;West-Nederland (LD);2021;224945.0;10.5;
33;JZ Totaal jeugdzorg;West-Nederland (LD);1e halfjaar 2022;194610.0;9.1;
34;JZ Totaal jeugdzorg;West-Nederland (LD);2e halfjaar 2022;197200.0;9.2;
35;JZ Totaal jeugdzorg;West-Nederland (LD);2022;231560.0;10.8;
36;JZ Totaal jeugdzorg;West-Nederland (LD);1e halfjaar 2023;201300.0;9.3;
37;JZ Totaal jeugdzorg;West-Nederland (LD);2e halfjaar 2023;199375.0;9.2;
38;JZ Totaal jeugdzorg;West-Nederland (LD);2023;237070.0;11.0;
39;JZ Totaal jeugdzorg;West-Nederland (LD);1e half jaar 2024;191190.0;9.0;
40;JZ Totaal jeugdzorg;Zuid-Nederland (LD);1e halfjaar 2021;81080.0;9.3;
41;JZ Totaal jeugdzorg;Zuid-Nederland (LD);2e halfjaar 2021;80660.0;9.2;
42;JZ Totaal jeugdzorg;Zuid-Nederland (LD);2021;95540.0;10.9;
43;JZ Totaal jeugdzorg;Zuid-Nederland (LD);1e halfjaar 2022;80465.0;9.2;
44;JZ Totaal jeugdzorg;Zuid-Nederland (LD);2e halfjaar 2022;81645.0;9.3;
45;JZ Totaal jeugdzorg;Zuid-Nederland (LD);2022;95935.0;11.0;
46;JZ Totaal jeugdzorg;Zuid-Nederland (LD);1e halfjaar 2023;83300.0;9.5;
47;JZ Totaal jeugdzorg;Zuid-Nederland (LD);2e halfjaar 2023;83945.0;9.5;
48;JZ Totaal jeugdzorg;Zuid-Nederland (LD);2023;99070.0;11.3;
49;JZ Totaal jeugdzorg;Zuid-Nederland (LD);1e half jaar 2024;83130.0;9.6;
50;JZ Totaal jeugdzorg;Groningen (PV);1e halfjaar 2021;13860.0;9.3;
51;JZ Totaal jeugdzorg;Groningen (PV);2e halfjaar 2021;13780.0;9.3;
52;JZ Totaal jeugdzorg;Groningen (PV);2021;16045.0;10.8;
