ID;SBI93;Perioden;AantalBedrijven_1;GeboorteBedrijven_2;SterfteBedrijven_3;OverigeAfnameBedrijven_4;AantalBanen_5;TotaleBanengroei_6;InterneBanengroei_7;ExterneBanengroei_8;AandeelBanenGrootste10Bedrijven_9
0;Algemene ziekenhuizen;1995;110.0;;;;139;;;;19.3
1;Algemene ziekenhuizen;1996;105.0;0.0;0.0;5.0;143;2.721;1.768;0.953;19.7
2;Algemene ziekenhuizen;1997;105.0;0.0;0.0;0.0;147;2.974;2.372;0.602;20.3
3;Algemene ziekenhuizen;1998;100.0;0.0;0.0;5.0;151;2.265;2.197;0.068;21.6
4;Algemene ziekenhuizen;1999;100.0;0.0;0.0;5.0;155;2.73;1.061;1.669;22.8
5;Algemene ziekenhuizen;2000;95.0;0.0;0.0;0.0;160;3.282;1.776;1.506;22.8
6;Algemene ziekenhuizen;2001;95.0;0.0;0.0;5.0;168;5.425;4.886;0.539;24.1
7;Algemene ziekenhuizen;2002;90.0;0.0;0.0;5.0;175;3.759;3.608;0.151;24.9
8;Algemene ziekenhuizen;2003;90.0;0.0;0.0;0.0;179;2.144;1.864;0.28;24.6
9;Algemene ziekenhuizen;2004;90.0;0.0;0.0;0.0;181;1.532;0.461;1.071;24.3
10;Algemene ziekenhuizen;2005;90.0;0.0;0.0;0.0;183;1.066;1.041;0.025;24.4
11;Ambulante GGZ;1995;;;;;12;;;;23.8
12;Ambulante GGZ;1996;;;;;12;0.759;2.837;-2.078;24.5
13;Ambulante GGZ;1997;;;;;12;-0.191;5.612;-5.803;25.2
14;Ambulante GGZ;1998;;;;;11;-8.754;5.156;-13.91;28.0
15;Ambulante GGZ;1999;;;;;11;2.183;3.89;-1.707;35.9
16;Ambulante GGZ;2000;;;;;9;-17.903;7.464;-25.367;35.4
17;Ambulante GGZ;2001;;;;;9;-0.553;12.304;-12.857;38.5
18;Ambulante GGZ;2002;;;;;9;1.865;5.268;-3.403;41.3
19;Ambulante GGZ;2003;;;;;9;-2.656;9.717;-12.373;36.2
20;Ambulante GGZ;2004;945.0;;;;10;6.008;8.933;-2.925;41.3
21;Ambulante GGZ;2005;1340.0;420.0;50.0;-30.0;11;10.161;11.313;-1.152;41.3
22;Dagverblijven voor gehandicapten;1995;70.0;;;;7;;;;49.8
23;Dagverblijven voor gehandicapten;1996;65.0;0.0;0.0;5.0;6;-15.186;3.746;-18.932;57.3
24;Dagverblijven voor gehandicapten;1997;65.0;5.0;0.0;0.0;6;10.116;3.209;6.907;62.2
25;Dagverblijven voor gehandicapten;1998;70.0;5.0;0.0;5.0;7;9.063;8.428;0.635;66.4
26;Dagverblijven voor gehandicapten;1999;70.0;5.0;0.0;5.0;8;14.636;2.73;11.906;73.5
27;Dagverblijven voor gehandicapten;2000;70.0;5.0;0.0;0.0;7;-8.47;3.915;-12.385;74.9
28;Dagverblijven voor gehandicapten;2001;75.0;10.0;0.0;5.0;7;-2.077;9.424;-11.501;78.8
29;Dagverblijven voor gehandicapten;2002;95.0;20.0;0.0;-5.0;8;11.932;6.518;5.414;78.6
30;Dagverblijven voor gehandicapten;2003;100.0;15.0;5.0;5.0;9;9.538;11.585;-2.047;78.7
31;Dagverblijven voor gehandicapten;2004;110.0;20.0;10.0;0.0;10;9.966;4.206;5.76;75.5
32;Dagverblijven voor gehandicapten;2005;145.0;35.0;0.0;0.0;10;3.372;4.118;-0.746;77.4
33;Huizen, dagverblijven voor gehandicapten;1995;335.0;;;;84;;;;24.7
