ID;ZorgpraktijkenSBI2008;Perioden;Zelfstandigen_1;Bedrijven_2;TotaalBedrijfsopbrengsten_3;NettoOmzet_4;TotaalOverigeBedrijfsopbrengsten_5;Subsidies_6;NietEerderGenoemdeBedrijfsopbrengsten_7;TotaalBedrijfskosten_8;TotaalArbeidskosten_9;LonenEnSalarissen_10;PensioenlastenEnSocialeLasten_11;AfschrijvingenOpVasteActiva_12;OverigeWaardeveranderingenVanActiva_13;TotaalOverigeBedrijfskosten_14;OverigePersoneelskosten_15;NietEerderGenoemdeBedrijfskosten_16;Bedrijfsresultaat_17;Rentebaten_18;Rentelasten_19;OverigFinancieelResultaat_20;FinancieelResultaat_21;ResultaatUitDeelnemingen_22;BuitengewoneBaten_23;BuitengewoneLasten_24;BuitengewoonResultaat_25;ResultaatVoorBelasting_26
0;8621 Praktijken van huisartsen;2015;10140.0;390.0;2658.0;2524.0;134.0;7.0;127.0;1559.0;573.0;417.0;156.0;63.0;0.0;923.0;100.0;824.0;1099.0;1.0;19.0;7.0;-11.0;7.0;15.0;6.0;8.0;1104.0
1;8621 Praktijken van huisartsen;2016;10370.0;370.0;2797.0;2665.0;132.0;7.0;126.0;1621.0;604.0;441.0;162.0;64.0;0.0;953.0;107.0;847.0;1176.0;1.0;18.0;7.0;-10.0;5.0;16.0;5.0;11.0;1182.0
2;8621 Praktijken van huisartsen;2017;10700.0;390.0;2890.0;2744.0;146.0;9.0;138.0;1706.0;641.0;472.0;168.0;63.0;-1.0;1003.0;112.0;891.0;1184.0;1.0;17.0;8.0;-8.0;6.0;18.0;6.0;12.0;1194.0
3;8621 Praktijken van huisartsen;2018;10940.0;400.0;3004.0;2866.0;137.0;10.0;127.0;1772.0;668.0;497.0;172.0;64.0;0.0;1040.0;117.0;923.0;1232.0;0.0;16.0;5.0;-10.0;6.0;18.0;6.0;12.0;1240.0
4;8621 Praktijken van huisartsen;2019;11350.0;430.0;3250.0;3096.0;155.0;10.0;145.0;1923.0;720.0;534.0;186.0;67.0;0.0;1136.0;129.0;1007.0;1327.0;0.0;15.0;8.0;-7.0;16.0;18.0;6.0;12.0;1348.0
5;8621 Praktijken van huisartsen;2020;11630.0;480.0;3437.0;3276.0;161.0;14.0;148.0;1969.0;747.0;552.0;195.0;66.0;0.0;1156.0;134.0;1022.0;1468.0;0.0;13.0;6.0;-7.0;13.0;21.0;17.0;4.0;1478.0
6;8621 Praktijken van huisartsen;2021;11920.0;530.0;3642.0;3477.0;165.0;13.0;151.0;2146.0;828.0;617.0;211.0;77.0;0.0;1241.0;143.0;1098.0;1495.0;1.0;14.0;8.0;-6.0;19.0;21.0;8.0;13.0;1522.0
7;86221 Praktijken overige specialisten;2015;;;;;;;;;;;;;;;;;;;;;;;;;;
8;86221 Praktijken overige specialisten;2016;3020.0;4900.0;2995.0;2784.0;210.0;8.0;202.0;2029.0;1045.0;919.0;126.0;130.0;1.0;853.0;111.0;742.0;966.0;3.0;17.0;25.0;10.0;51.0;13.0;2.0;11.0;1038.0
9;86221 Praktijken overige specialisten;2017;2910.0;5080.0;3121.0;2896.0;225.0;6.0;219.0;2146.0;1099.0;972.0;127.0;121.0;-2.0;927.0;100.0;827.0;975.0;2.0;17.0;29.0;15.0;27.0;12.0;2.0;10.0;1027.0
