ID;BedrijfstakBranchesSBI2008;Perioden;Waarde_1;VoortschrijdendJaargemiddeldeWaarde_2;Waarde_3;CumulatieveWaarde_4
0;M-N Zakelijke dienstverlening;2003 1e kwartaal;;;;
1;M-N Zakelijke dienstverlening;2003 2e kwartaal;;;;
2;M-N Zakelijke dienstverlening;2003 3e kwartaal;;;;
3;M-N Zakelijke dienstverlening;2003 4e kwartaal;;;;
4;M-N Zakelijke dienstverlening;2003;;;;
5;M-N Zakelijke dienstverlening;2004 1e kwartaal;;;;
6;M-N Zakelijke dienstverlening;2004 2e kwartaal;;;;
7;M-N Zakelijke dienstverlening;2004 3e kwartaal;;;;
8;M-N Zakelijke dienstverlening;2004 4e kwartaal;;;;
9;M-N Zakelijke dienstverlening;2004;;;;
10;M-N Zakelijke dienstverlening;2005 1e kwartaal;91.0;;;
11;M-N Zakelijke dienstverlening;2005 2e kwartaal;100.0;;;
12;M-N Zakelijke dienstverlening;2005 3e kwartaal;99.0;;;
13;M-N Zakelijke dienstverlening;2005 4e kwartaal;110.0;100.0;;
14;M-N Zakelijke dienstverlening;2005;100.0;100.0;;
15;M-N Zakelijke dienstverlening;2006 1e kwartaal;101.0;102.0;10.7;10.7
16;M-N Zakelijke dienstverlening;2006 2e kwartaal;110.0;105.0;9.7;10.2
17;M-N Zakelijke dienstverlening;2006 3e kwartaal;108.0;107.0;9.9;10.1
18;M-N Zakelijke dienstverlening;2006 4e kwartaal;122.0;110.0;11.0;10.3
19;M-N Zakelijke dienstverlening;2006;110.0;110.0;10.3;10.3
20;M-N Zakelijke dienstverlening;2007 1e kwartaal;112.0;113.0;10.8;10.8
21;M-N Zakelijke dienstverlening;2007 2e kwartaal;120.0;116.0;9.3;10.0
22;M-N Zakelijke dienstverlening;2007 3e kwartaal;117.0;118.0;7.9;9.3
23;M-N Zakelijke dienstverlening;2007 4e kwartaal;131.0;120.0;7.3;8.7
24;M-N Zakelijke dienstverlening;2007;120.0;120.0;8.7;8.7
25;M-N Zakelijke dienstverlening;2008 1e kwartaal;121.0;122.0;7.7;7.7
