ID;Persoonskenmerken;BedrijfstakkenSBI93;Perioden;Totaal_1;Werknemers_2;Zelfstandigen_3;Totaal_4;Werknemers_5;Zelfstandigen_6;Totaal_7;Werknemers_8;Zelfstandigen_9;Totaal_10;PerArbeidsjaar_11;PerGewerktUur_12
0;1;Totaal economische activiteiten;2001;8811;7559;1252;6636.4;5858.4;778.0;11791;9833;1958;227.4;38.8;23.1
1;1;Totaal economische activiteiten;2002;8851;7607;1244;6619.5;5850.4;769.2;11723;9812;1911;238.8;40.8;24.3
2;1;Totaal economische activiteiten;2003;8796;7560;1236;6547.2;5776.3;770.9;11604;9726;1877;245.8;42.5;25.3
3;1;Totaal economische activiteiten;2004;8723;7472;1250;6480.1;5699.4;780.7;11489;9580;1909;251.0;44.0;26.2
4;1;Totaal economische activiteiten;2005;8769;7497;1272;6478.0;5682.5;795.5;11496;9554;1942;254.6;44.8;26.6
5;1;1;2001;307;136;171;231.8;92.5;139.3;549;157;392;2.7;29.0;17.1
6;1;1;2002;307;137;170;229.2;93.7;135.5;543;159;384;2.9;31.0;18.2
7;1;1;2003;303;133;170;224.6;91.3;133.3;522;156;366;3.0;32.7;19.2
8;1;1;2004;294;133;161;216.2;89.8;126.3;510;153;357;3.0;33.2;19.5
9;1;1;2005;289;130;159;214.7;89.8;124.9;506;153;353;3.0;33.2;19.5
10;1;2;2001;9;9;0;8.9;8.7;0.2;16;15;0;0.6;69.1;38.9
11;1;2;2002;10;9;0;9.3;9.1;0.2;17;16;0;0.7;74.1;41.5
12;1;2;2003;9;9;0;9.1;9.0;0.1;16;16;0;0.7;75.6;43.9
13;1;2;2004;9;9;0;8.9;8.8;0.1;15;15;0;0.7;80.0;46.5
14;1;2;2005;8;8;0;7.5;7.4;0.1;13;13;0;0.6;79.7;46.4
15;1;3;2001;1059;1007;51;948.2;910.4;37.8;1625;1529;96;36.0;39.6;23.6
16;1;3;2002;1033;985;49;924.8;889.2;35.6;1578;1490;88;37.0;41.7;24.9
17;1;3;2003;999;950;49;892.7;855.7;37.0;1528;1439;89;37.2;43.5;25.8
18;1;3;2004;971;920;51;865.1;827.0;38.1;1481;1389;91;37.4;45.2;26.9
19;1;3;2005;952;900;51;844.7;806.3;38.4;1445;1353;92;37.0;45.9;27.3
20;1;4;2001;32;32;0;31.1;31.1;0.0;53;53;0;1.6;52.7;31.2
21;1;4;2002;33;33;0;31.2;31.2;0.0;53;53;0;1.7;56.0;33.1
22;1;4;2003;32;32;0;30.5;30.5;0.0;52;52;0;1.8;58.7;34.5
23;1;4;2004;31;31;0;29.2;29.2;0.0;49;49;0;1.8;61.4;36.4
24;1;4;2005;31;31;0;29.2;29.2;0.0;49;49;0;1.8;61.3;36.8
25;1;5;2001;518;430;88;484.3;412.5;71.9;847;670;178;15.3;37.0;22.8
26;1;5;2002;515;424;91;477.9;405.2;72.7;836;656;181;15.8;39.1;24.2
27;1;5;2003;494;404;90;460.2;386.0;74.2;802;623;179;15.7;40.7;25.2
28;1;5;2004;486;391;95;450.2;372.3;77.9;784;596;188;15.9;42.6;26.6
29;1;5;2005;487;387;100;449.6;367.6;82.0;787;589;198;15.9;43.3;27.1
30;1;6;2001;1461;1261;200;1072.2;920.7;151.5;1960;1565;395;30.7;33.4;19.6
31;1;6;2002;1461;1266;195;1059.2;912.8;146.4;1929;1554;376;31.8;34.9;20.5
32;1;6;2003;1454;1262;192;1044.9;899.0;145.9;1896;1532;364;32.7;36.3;21.3
33;1;6;2004;1442;1247;195;1045.2;897.7;147.5;1909;1541;368;33.5;37.3;21.7
34;1;6;2005;1430;1235;196;1033.7;885.5;148.3;1888;1519;369;33.6;37.9;22.1
35;1;7;2001;340;276;64;204.5;154.1;50.4;403;256;148;4.1;26.5;16.0
36;1;7;2002;343;278;64;203.6;151.9;51.7;401;250;151;4.2;27.4;16.7
37;1;7;2003;334;275;60;195.0;146.9;48.1;383;245;138;4.1;28.2;16.9
38;1;7;2004;329;269;60;192.9;144.4;48.5;384;244;139;4.2;29.0;17.1
39;1;7;2005;331;271;60;192.7;144.4;48.3;383;244;139;4.2;29.4;17.4
40;1;8;2001;526;483;43;434.2;407.3;26.9;814;735;79;16.0;39.4;21.8
41;1;8;2002;522;480;43;426.1;398.9;27.2;788;715;73;16.5;41.4;23.1
42;1;8;2003;514;471;42;415.0;387.4;27.6;772;702;70;16.6;42.9;23.7
43;1;8;2004;508;464;44;410.0;380.9;29.1;769;695;74;16.9;44.4;24.4
44;1;8;2005;501;457;43;404.1;375.0;29.1;758;684;74;16.9;45.1;24.7
45;1;9;2001;304;292;13;261.1;253.0;8.1;442;421;20;14.2;56.2;33.7
46;1;9;2002;300;286;15;258.6;249.6;9.0;437;415;22;15.4;61.7;37.1
47;1;9;2003;294;280;13;251.0;243.5;7.4;424;407;17;15.8;64.7;38.7
48;1;9;2004;286;274;13;245.1;238.0;7.0;412;396;16;16.2;68.1;40.9
49;1;9;2005;288;276;12;245.8;238.9;6.9;413;397;16;16.6;69.4;41.8
50;1;K Verhuur van en handel in onroerend ..;2001;1541;1372;169;1090.4;983.2;107.2;1990;1734;256;39.9;40.5;23.0
51;1;K Verhuur van en handel in onroerend ..;2002;1518;1345;173;1065.4;956.3;109.2;1945;1690;254;40.8;42.6;24.1
52;1;K Verhuur van en handel in onroerend ..;2003;1476;1301;175;1035.6;925.3;110.3;1904;1648;256;41.5;44.9;25.2
53;1;K Verhuur van en handel in onroerend ..;2004;1472;1290;183;1036.6;921.8;114.8;1901;1634;267;42.6;46.2;26.1
54;1;K Verhuur van en handel in onroerend ..;2005;1539;1346;193;1074.5;953.3;121.3;1971;1689;282;44.5;46.7;26.4
55;1;75 Openbaar bestuur, overheidsdienste..;2001;525;525;0;464.4;464.4;0.0;736;736;0;20.5;44.2;27.9
56;1;75 Openbaar bestuur, overheidsdienste..;2002;541;541;0;475.6;475.6;0.0;759;759;0;22.0;46.2;29.0
57;1;75 Openbaar bestuur, overheidsdienste..;2003;550;550;0;482.5;482.5;0.0;778;778;0;23.0;47.7;29.6
58;1;75 Openbaar bestuur, overheidsdienste..;2004;536;536;0;468.8;468.8;0.0;743;743;0;23.3;49.7;31.4
59;1;75 Openbaar bestuur, overheidsdienste..;2005;525;525;0;456.9;456.9;0.0;732;732;0;23.4;51.2;32.0
60;1;8010a Gesubsidieerd onderwijs;2001;414;414;0;313.6;313.6;0.0;502;502;0;14.5;46.3;28.9
61;1;8010a Gesubsidieerd onderwijs;2002;429;429;0;324.7;324.7;0.0;525;525;0;15.6;48.2;29.8
62;1;8010a Gesubsidieerd onderwijs;2003;443;443;0;333.5;333.5;0.0;545;545;0;16.6;49.9;30.5
