ID;Geslacht;Arbeidspositie;Persoonskenmerken;Perioden;BeroepsEnNietBeroepsbevolking_1;BeroepsEnNietBeroepsbevMetInkomen_2;GemiddeldPersoonlijkPrimairInkomen_3;GemiddeldPersoonlijkOverdrachtsinkomen_4;GemiddeldPersoonlijkInkomen_5;GemiddeldGestandaardiseerdInkomen_6;BeroepsNietBeroepsbevInkomenOnb_7
0;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2011;12452.0;12182.0;27.1;5.9;28.2;27.5;270.0
1;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2012;12541.0;12264.0;27.2;6.1;28.4;27.5;276.0
2;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2013;12638.0;12230.0;27.4;6.5;28.9;27.9;408.0
3;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2014;12665.0;12159.0;27.8;6.7;29.4;29.5;505.0
4;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2015;12685.0;12272.0;27.8;6.6;29.8;29.3;413.0
5;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2016;12768.0;12187.0;28.6;6.6;30.6;30.7;581.0
6;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2017;12870.0;12058.0;29.6;6.8;31.5;31.7;812.0
7;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2018;12936.0;12192.0;30.7;6.5;32.1;32.0;745.0
8;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2019;13015.0;12262.0;32.3;6.5;33.4;35.2;753.0
9;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2020;13094.0;12174.0;33.4;6.8;34.4;36.1;920.0
10;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: Nederland;2011;9917.0;9749.0;28.1;6.1;29.1;28.3;167.0
11;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: Nederland;2012;9944.0;9770.0;28.1;6.2;29.2;28.4;173.0
12;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: Nederland;2013;9977.0;9707.0;28.6;6.7;30.0;28.8;270.0
13;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: Nederland;2014;9985.0;9639.0;29.0;6.9;30.6;30.5;346.0
14;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: Nederland;2015;9969.0;9695.0;29.0;6.7;31.0;30.2;274.0
15;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: Nederland;2016;9985.0;9598.0;29.7;6.9;31.8;31.7;388.0
16;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: Nederland;2017;10018.0;9457.0;30.8;7.1;32.8;32.7;561.0
17;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: Nederland;2018;9998.0;9499.0;31.8;6.8;33.4;33.0;499.0
18;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: Nederland;2019;9985.0;9482.0;33.6;6.8;34.7;36.4;503.0
19;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: Nederland;2020;9946.0;9329.0;34.5;7.1;35.6;37.0;618.0
20;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: met migratieacht...;2011;2521.0;2427.0;23.3;5.4;24.6;24.3;93.0
21;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: met migratieacht...;2012;2583.0;2491.0;23.6;5.5;24.9;24.4;92.0
