ID;SociaalEconomischeCategorie;Geslacht;AnderePersoonskenmerken;Populatie;Perioden;AantalPersonen_1;PrimairInkomen_2;BrutoInkomen_3;PersoonlijkInkomen_4;BelastbaarInkomen_5;BesteedbaarInkomen_6;GestandaardiseerdInkomen_7
0;1;Totaal mannen en vrouwen;0;Alle personen;1990;14635;9.4;12.5;11.1;10.3;7.7;12.8
1;1;Totaal mannen en vrouwen;0;Alle personen;1991;14740;9.8;13.1;11.7;10.8;8.0;13.3
2;1;Totaal mannen en vrouwen;0;Alle personen;1992;14863;10.3;13.8;12.3;11.3;8.3;13.7
3;1;Totaal mannen en vrouwen;0;Alle personen;1993;14958;10.3;13.9;12.4;11.4;8.4;13.9
4;1;Totaal mannen en vrouwen;0;Alle personen;1994;15016;10.3;14.0;12.7;11.3;8.7;14.3
5;1;Totaal mannen en vrouwen;0;Alle personen;1995;15125;10.7;14.3;13.0;11.6;9.0;14.8
6;1;Totaal mannen en vrouwen;0;Alle personen;1996;15206;10.9;14.6;13.3;11.7;9.3;15.2
7;1;Totaal mannen en vrouwen;0;Alle personen;1997;15303;11.3;15.0;13.8;12.1;9.6;15.7
8;1;Totaal mannen en vrouwen;0;Alle personen;1998;15417;11.8;15.5;14.1;11.9;10.0;16.2
9;1;Totaal mannen en vrouwen;0;Alle personen;1999;15485;12.6;16.3;14.9;12.6;10.4;16.9
10;1;Totaal mannen en vrouwen;0;Alle personen;2000;15654;13.2;17.2;15.7;13.2;11.0;17.8
11;1;Totaal mannen en vrouwen;0;Personen met inkomen;1990;10168;13.5;18.0;16.0;14.8;11.1;13.4
12;1;Totaal mannen en vrouwen;0;Personen met inkomen;1991;10347;13.9;18.6;16.6;15.3;11.4;13.8
13;1;Totaal mannen en vrouwen;0;Personen met inkomen;1992;10529;14.5;19.5;17.3;16.0;11.7;14.3
14;1;Totaal mannen en vrouwen;0;Personen met inkomen;1993;10616;14.5;19.6;17.5;16.1;11.9;14.5
15;1;Totaal mannen en vrouwen;0;Personen met inkomen;1994;10704;14.5;19.6;17.8;15.9;12.2;14.9
16;1;Totaal mannen en vrouwen;0;Personen met inkomen;1995;10883;14.9;19.9;18.1;16.1;12.6;15.5
17;1;Totaal mannen en vrouwen;0;Personen met inkomen;1996;11032;15.0;20.2;18.4;16.1;12.8;15.8
18;1;Totaal mannen en vrouwen;0;Personen met inkomen;1997;11202;15.4;20.5;18.9;16.5;13.2;16.3
19;1;Totaal mannen en vrouwen;0;Personen met inkomen;1998;11360;16.0;21.0;19.1;16.2;13.6;16.9
20;1;Totaal mannen en vrouwen;0;Personen met inkomen;1999;11478;17.0;22.0;20.1;17.0;14.1;17.5
21;1;Totaal mannen en vrouwen;0;Personen met inkomen;2000;11676;17.7;23.0;21.0;17.7;14.7;18.5
22;1;Totaal mannen en vrouwen;0;Personen met 52 weken inkomen;1990;8720;15.2;20.1;17.9;16.6;12.4;13.8
23;1;Totaal mannen en vrouwen;0;Personen met 52 weken inkomen;1991;8986;15.6;20.7;18.5;17.1;12.6;14.2
24;1;Totaal mannen en vrouwen;0;Personen met 52 weken inkomen;1992;9195;16.2;21.5;19.2;17.7;12.9;14.7
25;1;Totaal mannen en vrouwen;0;Personen met 52 weken inkomen;1993;9300;16.1;21.6;19.3;17.8;13.1;14.9
26;1;Totaal mannen en vrouwen;0;Personen met 52 weken inkomen;1994;9377;16.1;21.6;19.6;17.6;13.4;15.3
27;1;Totaal mannen en vrouwen;0;Personen met 52 weken inkomen;1995;9548;16.5;21.9;20.0;17.7;13.8;15.9
28;1;Totaal mannen en vrouwen;0;Personen met 52 weken inkomen;1996;9740;16.6;22.1;20.2;17.7;14.0;16.2
29;1;Totaal mannen en vrouwen;0;Personen met 52 weken inkomen;1997;9941;16.9;22.4;20.7;18.1;14.4;16.7
30;1;Totaal mannen en vrouwen;0;Personen met 52 weken inkomen;1998;10088;17.5;23.0;20.9;17.7;14.8;17.3
31;1;Totaal mannen en vrouwen;0;Personen met 52 weken inkomen;1999;10179;18.5;24.0;21.9;18.5;15.3;17.9
32;1;Totaal mannen en vrouwen;0;Personen met 52 weken inkomen;2000;10381;19.2;24.9;22.8;19.2;15.9;18.9
33;1;Totaal mannen en vrouwen;0;Minder dan 52 weken inkomen;1990;1448;3.2;5.1;4.4;3.8;3.4;11.2
34;1;Totaal mannen en vrouwen;0;Minder dan 52 weken inkomen;1991;1360;3.1;5.0;4.5;3.7;3.2;11.4
35;1;Totaal mannen en vrouwen;0;Minder dan 52 weken inkomen;1992;1333;3.1;5.2;4.6;3.8;3.4;11.8
36;1;Totaal mannen en vrouwen;0;Minder dan 52 weken inkomen;1993;1315;3.0;5.3;4.7;3.9;3.5;11.7
37;1;Totaal mannen en vrouwen;0;Minder dan 52 weken inkomen;1994;1328;3.1;5.4;4.8;3.9;3.6;12.2
38;1;Totaal mannen en vrouwen;0;Minder dan 52 weken inkomen;1995;1335;3.1;5.4;4.9;4.0;3.6;12.6
39;1;Totaal mannen en vrouwen;0;Minder dan 52 weken inkomen;1996;1292;3.6;5.5;5.0;4.1;3.7;12.9
40;1;Totaal mannen en vrouwen;0;Minder dan 52 weken inkomen;1997;1261;3.5;5.2;4.8;3.9;3.6;13.3
41;1;Totaal mannen en vrouwen;0;Minder dan 52 weken inkomen;1998;1272;4.1;5.6;5.0;4.1;3.9;13.9
42;1;Totaal mannen en vrouwen;0;Minder dan 52 weken inkomen;1999;1299;5.0;6.6;5.9;4.8;4.4;14.4
43;1;Totaal mannen en vrouwen;0;Minder dan 52 weken inkomen;2000;1295;6.1;7.6;6.9;5.6;5.0;15.6
44;1;Totaal mannen en vrouwen;1;Alle personen;1990;3297;0.1;0.1;0.1;0.1;0.1;11.4
45;1;Totaal mannen en vrouwen;1;Alle personen;1991;3295;0.1;0.1;0.1;0.1;0.1;11.7
46;1;Totaal mannen en vrouwen;1;Alle personen;1992;3302;0.1;0.1;0.1;0.1;0.1;12.1
47;1;Totaal mannen en vrouwen;1;Alle personen;1993;3322;0.1;0.1;0.1;0.1;0.1;12.2
48;1;Totaal mannen en vrouwen;1;Alle personen;1994;3336;0.1;0.1;0.1;0.1;0.1;12.7
49;1;Totaal mannen en vrouwen;1;Alle personen;1995;3357;0.1;0.1;0.1;0.1;0.1;13.2
50;1;Totaal mannen en vrouwen;1;Alle personen;1996;3374;0.1;0.1;0.1;0.1;0.1;13.5
51;1;Totaal mannen en vrouwen;1;Alle personen;1997;3393;0.1;0.1;0.1;0.1;0.1;14.0
52;1;Totaal mannen en vrouwen;1;Alle personen;1998;3426;0.1;0.1;0.1;0.1;0.1;14.3
53;1;Totaal mannen en vrouwen;1;Alle personen;1999;3426;0.1;0.2;0.1;0.1;0.1;15.0
54;1;Totaal mannen en vrouwen;1;Alle personen;2000;3489;0.2;0.2;0.2;0.1;0.2;15.8
55;1;Totaal mannen en vrouwen;1;Personen met inkomen;1990;364;0.9;1.0;0.9;0.8;0.7;12.4
56;1;Totaal mannen en vrouwen;1;Personen met inkomen;1991;358;0.9;1.0;0.9;0.8;0.7;12.8
57;1;Totaal mannen en vrouwen;1;Personen met inkomen;1992;349;0.9;1.0;0.9;0.8;0.8;13.2
58;1;Totaal mannen en vrouwen;1;Personen met inkomen;1993;319;0.9;1.0;0.9;0.8;0.8;13.4
59;1;Totaal mannen en vrouwen;1;Personen met inkomen;1994;302;0.9;1.0;0.9;0.8;0.8;14.0
60;1;Totaal mannen en vrouwen;1;Personen met inkomen;1995;322;0.8;1.0;0.9;0.8;0.8;14.7
61;1;Totaal mannen en vrouwen;1;Personen met inkomen;1996;354;0.9;1.0;0.9;0.8;0.8;14.8
62;1;Totaal mannen en vrouwen;1;Personen met inkomen;1997;392;0.9;1.0;1.0;0.8;0.9;15.3
63;1;Totaal mannen en vrouwen;1;Personen met inkomen;1998;426;1.0;1.1;1.1;0.8;1.0;15.6
64;1;Totaal mannen en vrouwen;1;Personen met inkomen;1999;421;1.2;1.3;1.2;1.0;1.1;16.1
65;1;Totaal mannen en vrouwen;1;Personen met inkomen;2000;459;1.3;1.4;1.3;1.1;1.2;17.1
66;1;Totaal mannen en vrouwen;1;Personen met 52 weken inkomen;1990;87;1.5;1.9;1.8;1.6;1.4;13.0
67;1;Totaal mannen en vrouwen;1;Personen met 52 weken inkomen;1991;97;1.6;1.9;1.8;1.6;1.4;13.3
68;1;Totaal mannen en vrouwen;1;Personen met 52 weken inkomen;1992;93;1.6;1.9;1.7;1.6;1.5;13.6
69;1;Totaal mannen en vrouwen;1;Personen met 52 weken inkomen;1993;85;1.6;2.0;1.8;1.7;1.5;14.1
70;1;Totaal mannen en vrouwen;1;Personen met 52 weken inkomen;1994;83;1.6;1.9;1.8;1.7;1.6;14.9
71;1;Totaal mannen en vrouwen;1;Personen met 52 weken inkomen;1995;90;1.4;1.8;1.7;1.5;1.6;15.6
72;1;Totaal mannen en vrouwen;1;Personen met 52 weken inkomen;1996;101;1.5;1.9;1.8;1.6;1.6;15.9
73;1;Totaal mannen en vrouwen;1;Personen met 52 weken inkomen;1997;112;1.6;2.0;2.0;1.7;1.7;16.2
74;1;Totaal mannen en vrouwen;1;Personen met 52 weken inkomen;1998;125;1.8;2.1;2.0;1.7;1.8;16.5
75;1;Totaal mannen en vrouwen;1;Personen met 52 weken inkomen;1999;141;1.9;2.2;2.0;1.7;1.8;16.9
76;1;Totaal mannen en vrouwen;1;Personen met 52 weken inkomen;2000;162;2.0;2.3;2.2;1.8;1.9;17.7
77;1;Totaal mannen en vrouwen;1;Minder dan 52 weken inkomen;1990;276;0.7;0.7;0.6;0.5;0.5;12.3
78;1;Totaal mannen en vrouwen;1;Minder dan 52 weken inkomen;1991;261;0.7;0.7;0.6;0.5;0.5;12.7
79;1;Totaal mannen en vrouwen;1;Minder dan 52 weken inkomen;1992;256;0.7;0.7;0.6;0.5;0.5;13.0
80;1;Totaal mannen en vrouwen;1;Minder dan 52 weken inkomen;1993;233;0.6;0.7;0.6;0.5;0.5;13.1
81;1;Totaal mannen en vrouwen;1;Minder dan 52 weken inkomen;1994;219;0.6;0.6;0.6;0.5;0.5;13.7
82;1;Totaal mannen en vrouwen;1;Minder dan 52 weken inkomen;1995;233;0.6;0.6;0.6;0.5;0.5;14.3
83;1;Totaal mannen en vrouwen;1;Minder dan 52 weken inkomen;1996;253;0.6;0.6;0.6;0.5;0.5;14.4
84;1;Totaal mannen en vrouwen;1;Minder dan 52 weken inkomen;1997;280;0.6;0.6;0.6;0.5;0.5;14.9
85;1;Totaal mannen en vrouwen;1;Minder dan 52 weken inkomen;1998;301;0.7;0.7;0.7;0.5;0.6;15.3
86;1;Totaal mannen en vrouwen;1;Minder dan 52 weken inkomen;1999;280;0.8;0.9;0.8;0.6;0.7;15.8
87;1;Totaal mannen en vrouwen;1;Minder dan 52 weken inkomen;2000;297;0.9;0.9;0.8;0.7;0.8;16.8
88;1;Totaal mannen en vrouwen;2;Alle personen;1990;1670;7.3;8.8;8.0;7.0;5.5;12.7
89;1;Totaal mannen en vrouwen;2;Alle personen;1991;1641;7.6;9.1;8.3;7.3;5.6;12.8
90;1;Totaal mannen en vrouwen;2;Alle personen;1992;1608;7.9;9.4;8.6;7.4;5.8;13.2
91;1;Totaal mannen en vrouwen;2;Alle personen;1993;1550;7.5;9.2;8.4;7.2;5.8;13.2
92;1;Totaal mannen en vrouwen;2;Alle personen;1994;1477;7.0;8.7;8.1;6.7;5.7;13.5
93;1;Totaal mannen en vrouwen;2;Alle personen;1995;1412;7.0;8.5;7.9;6.5;5.7;13.9
