ID;TotaalHerkomstgroeperingen;Generatie;Leeftijdsgroepen;Geslacht;Perioden;Vermogensmisdrijven_1;VernielingEnOpenbareOrde_2;Geweldsmisdrijven_3;Verkeersmisdrijven_4;OverigeMisdrijven_5;Firstoffender_6;Meerpleger_7;Veelpleger_8;EnkelsoortigeVerdachte_9;TweesoortigeVerdachte_10;MeersoortigeVerdachte_11;Vermogensmisdrijven_12;VernielingEnOpenbareOrde_13;Geweldsmisdrijven_14;Verkeersmisdrijven_15;OverigeMisdrijven_16;Firstoffender_17;Meerpleger_18;Veelpleger_19;EnkelsoortigeVerdachte_20;TweesoortigeVerdachte_21;MeersoortigeVerdachte_22
0;Totaal allochtonen;5;12 tot 18 jaar;Totaal mannen en vrouwen;1999;51.9;27.1;38.2;3.6;8.5;51.2;39.7;9.1;76.4;18.4;5.3;49.9;31.2;35.9;4.8;8.9;55.0;38.0;7.0;75.6;18.7;5.7
1;Totaal allochtonen;5;12 tot 18 jaar;Totaal mannen en vrouwen;2000;51.6;27.2;39.6;2.9;8.0;51.5;39.2;9.3;76.7;18.0;5.2;47.6;32.4;36.5;2.7;7.4;56.9;35.3;7.8;78.5;17.3;4.2
2;Totaal allochtonen;5;12 tot 18 jaar;Totaal mannen en vrouwen;2001;51.2;26.9;38.9;3.0;7.3;53.9;38.0;8.1;77.7;17.8;4.4;48.4;31.9;35.0;3.1;6.4;56.7;36.5;6.8;78.8;17.9;3.3
3;Totaal allochtonen;5;12 tot 18 jaar;Totaal mannen en vrouwen;2002;50.4;28.0;37.8;2.8;8.3;52.8;39.1;8.1;77.6;18.0;4.4;45.8;31.3;37.0;3.0;8.2;56.4;37.5;6.1;79.0;17.0;4.1
4;Totaal allochtonen;5;12 tot 18 jaar;Totaal mannen en vrouwen;2003;49.7;29.8;36.6;2.6;8.3;53.3;38.8;7.9;78.3;17.0;4.8;46.1;32.5;34.9;2.4;9.0;57.2;36.8;5.9;79.3;16.8;3.9
5;Totaal allochtonen;5;12 tot 18 jaar;Totaal mannen en vrouwen;2004;47.4;31.6;37.6;2.4;9.4;53.9;38.8;7.3;77.0;18.2;4.8;44.5;35.3;35.4;2.6;9.5;56.4;37.4;6.2;77.8;17.7;4.5
6;Totaal allochtonen;5;12 tot 18 jaar;Totaal mannen en vrouwen;2005;48.3;31.3;37.5;1.9;8.7;53.0;39.8;7.2;77.3;18.1;4.5;45.8;34.4;35.2;2.4;9.4;55.9;38.0;6.0;77.5;18.3;4.2
7;Totaal allochtonen;5;12 tot 18 jaar;Totaal mannen en vrouwen;2006*;47.3;33.5;36.3;2.6;9.5;51.5;40.5;8.0;76.2;18.8;4.9;43.9;36.0;35.5;3.3;9.6;54.3;39.1;6.6;76.7;18.9;4.4
8;Totaal allochtonen;5;12 tot 18 jaar;Mannen;1999;51.2;28.8;38.4;4.0;9.4;47.9;41.7;10.3;74.5;19.6;5.8;49.5;33.4;35.3;5.0;9.6;52.1;40.1;7.8;74.1;19.6;6.3
9;Totaal allochtonen;5;12 tot 18 jaar;Mannen;2000;50.8;29.2;40.8;3.3;8.8;48.4;41.1;10.5;74.2;19.9;5.9;46.7;34.9;36.7;3.1;8.0;53.7;37.3;8.9;76.6;18.5;4.9
10;Totaal allochtonen;5;12 tot 18 jaar;Mannen;2001;50.0;29.0;40.1;3.5;8.3;50.6;39.9;9.5;75.0;19.8;5.1;47.1;34.8;35.3;3.7;7.4;54.0;38.1;7.9;75.9;20.2;3.9
11;Totaal allochtonen;5;12 tot 18 jaar;Mannen;2002;49.8;29.4;38.6;3.3;9.3;49.4;41.2;9.5;75.3;19.6;5.1;44.9;33.5;37.1;3.5;9.2;53.3;39.6;7.1;76.9;18.4;4.7
12;Totaal allochtonen;5;12 tot 18 jaar;Mannen;2003;49.2;30.8;37.3;3.1;8.9;50.2;40.9;8.9;76.5;18.3;5.2;45.5;34.6;35.0;2.8;9.7;53.6;39.8;6.6;77.2;18.3;4.4
13;Totaal allochtonen;5;12 tot 18 jaar;Mannen;2004;46.9;32.9;38.2;2.8;9.9;51.0;40.8;8.2;75.5;19.1;5.4;43.5;37.8;35.0;3.0;10.0;53.6;39.5;6.9;76.5;18.4;5.1
14;Totaal allochtonen;5;12 tot 18 jaar;Mannen;2005;48.2;33.0;38.2;2.2;9.4;49.3;42.3;8.4;74.8;19.9;5.3;44.9;37.2;35.4;2.7;10.3;52.4;40.6;7.0;74.8;20.4;4.8
15;Totaal allochtonen;5;12 tot 18 jaar;Mannen;2006*;47.1;35.3;36.5;3.0;10.3;47.5;43.1;9.4;74.1;20.4;5.5;43.3;38.3;35.0;3.8;10.1;50.7;41.5;7.8;75.1;20.0;4.9
16;Totaal allochtonen;5;12 tot 18 jaar;Vrouwen;1999;55.6;17.7;37.1;1.3;4.0;68.9;28.7;2.4;86.5;11.4;2.1;51.6;19.9;38.7;3.6;5.3;70.1;27.4;2.5;83.6;13.8;2.6
17;Totaal allochtonen;5;12 tot 18 jaar;Vrouwen;2000;56.3;16.3;33.7;1.2;4.0;68.2;28.9;2.9;90.0;8.3;1.6;52.5;20.1;35.5;1.0;4.2;72.4;25.4;2.1;87.6;11.5;0.9
18;Totaal allochtonen;5;12 tot 18 jaar;Vrouwen;2001;56.6;17.8;33.6;;3.0;68.1;29.9;1.9;89.6;9.0;1.3;54.2;19.3;34.0;;2.0;68.5;29.4;2.2;91.0;8.0;1.1
19;Totaal allochtonen;5;12 tot 18 jaar;Vrouwen;2002;53.2;22.1;34.2;0.9;3.8;68.1;30.0;1.9;87.7;10.7;1.7;49.4;22.2;36.6;1.3;4.3;69.5;28.7;1.8;87.6;11.0;1.3
20;Totaal allochtonen;5;12 tot 18 jaar;Vrouwen;2003;52.0;25.0;33.3;;5.9;66.9;29.3;3.8;86.3;11.1;2.6;48.4;23.9;34.7;;6.4;71.8;25.0;3.2;87.6;10.9;1.5
