ID;Sex;Age;FormalEduation;Periods;LabourForceAndNotInTheLabourForce_1;LabourForce_2;EmployedLabourForce_3;Employee_4;PermanentEmployee_5;FlexibleEmployee_6;SelfEmployedPerson_7;SelfEmployedWithoutEmployees_8;SelfEmployedWithEmployees_9;ContributingFamilyWorker_10;ProfessionalStatusIsUnknown_11;PartTime_12;LessThan20WorkingHoursAWeek_13;LessThan12WorkingHoursAWeek_14;k_12To19WorkingHoursAWeek_15;k_20To34WorkingHoursAWeek_16;k_20To27WorkingHoursAWeek_17;k_28To34WorkingHoursAWeek_18;FullTime_19;UnemployedLabourForce_20;UnemploymentRate_21;NotInTheLabourForce_22;GrossLabourParticipationRate_23;NetLabourParticipationRate_24
0;Total male and female;15 to 24 years;Total;2013 1st quarter;2036;1595;1369;1319;335;984;50;46;1;3;0;1042;786;627;158;256;141;115;327;226;14.2;440;78.4;67.2
1;Total male and female;15 to 24 years;Total;2013 2nd quarter;2038;1615;1392;1339;328;1011;53;49;2;3;0;1066;802;628;174;263;130;134;326;224;13.8;423;79.3;68.3
2;Total male and female;15 to 24 years;Total;2013 3rd quarter;2041;1638;1403;1347;326;1022;55;49;2;4;0;1054;755;582;173;299;155;144;349;235;14.3;403;80.2;68.7
3;Total male and female;15 to 24 years;Total;2013 4th quarter;2044;1606;1377;1322;322;999;55;51;2;3;0;1063;806;640;166;257;114;143;314;229;14.3;437;78.6;67.4
4;Total male and female;15 to 24 years;Total;2013;2040;1614;1385;1332;328;1004;54;49;2;3;0;1056;787;619;168;269;135;134;329;228;14.2;426;79.1;67.9
5;Total male and female;15 to 24 years;Total;2014 1st quarter;2045;1568;1332;1281;315;966;51;47;2;2;0;1025;776;628;148;249;124;125;308;236;15.0;477;76.7;65.2
6;Total male and female;15 to 24 years;Total;2014 2nd quarter;2045;1572;1355;1302;304;998;53;48;2;3;0;1049;786;625;161;264;142;121;305;217;13.8;473;76.8;66.2
7;Total male and female;15 to 24 years;Total;2014 3rd quarter;2045;1598;1389;1342;304;1039;47;39;3;5;0;1058;769;589;180;289;149;140;331;209;13.1;448;78.1;67.9
8;Total male and female;15 to 24 years;Total;2014 4th quarter;2045;1579;1375;1322;301;1022;53;47;2;4;0;1074;813;644;169;261;131;130;301;204;12.9;467;77.2;67.2
9;Total male and female;15 to 24 years;Total;2014;2045;1579;1363;1312;306;1006;51;45;2;4;0;1051;786;621;164;266;137;129;311;216;13.7;466;77.2;66.6
