ID;RegioS;SociaalEconomischeCategorie;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
0;Nederland;Totaal sociaal-economische categorie;10773.4;17.7
1;Nederland;Totaal actief;6710.7;19.8
2;Nederland;Werknemer;5966.7;20.2
3;Nederland;Zelfstandige;731.8;16.3
4;Nederland;Totaal niet-actief;4061.0;14.4
5;Nederland;Werkloosheids- en bijstandsuitk.ontv.;461.4;12.0
6;Nederland;Pensioenontvanger;2595.1;16.4
7;Noord-Nederland (LD);Totaal sociaal-economische categorie;1125.9;16.3
8;Noord-Nederland (LD);Totaal actief;670.1;18.1
9;Noord-Nederland (LD);Werknemer;583.9;18.6
10;Noord-Nederland (LD);Zelfstandige;84.6;15.0
11;Noord-Nederland (LD);Totaal niet-actief;455.6;13.7
12;Noord-Nederland (LD);Werkloosheids- en bijstandsuitk.ontv.;53.3;11.9
13;Noord-Nederland (LD);Pensioenontvanger;291.8;15.4
14;Oost-Nederland (LD);Totaal sociaal-economische categorie;2255.4;17.1
15;Oost-Nederland (LD);Totaal actief;1426.4;18.9
16;Oost-Nederland (LD);Werknemer;1266.2;19.3
17;Oost-Nederland (LD);Zelfstandige;157.3;15.7
18;Oost-Nederland (LD);Totaal niet-actief;828.7;14.0
19;Oost-Nederland (LD);Werkloosheids- en bijstandsuitk.ontv.;84.8;11.8
20;Oost-Nederland (LD);Pensioenontvanger;532.3;16.0
21;West-Nederland (LD);Totaal sociaal-economische categorie;5010.8;18.5
22;West-Nederland (LD);Totaal actief;3145.7;20.8
23;West-Nederland (LD);Werknemer;2809.0;21.2
24;West-Nederland (LD);Zelfstandige;331.7;17.1
25;West-Nederland (LD);Totaal niet-actief;1864.3;14.8
26;West-Nederland (LD);Werkloosheids- en bijstandsuitk.ontv.;231.4;12.1
27;West-Nederland (LD);Pensioenontvanger;1184.7;17.0
28;Zuid-Nederland (LD);Totaal sociaal-economische categorie;2381.3;17.2
29;Zuid-Nederland (LD);Totaal actief;1468.5;19.2
30;Zuid-Nederland (LD);Werknemer;1307.5;19.6
31;Zuid-Nederland (LD);Zelfstandige;158.1;15.9
32;Zuid-Nederland (LD);Totaal niet-actief;912.5;14.1
33;Zuid-Nederland (LD);Werkloosheids- en bijstandsuitk.ontv.;91.9;12.1
34;Zuid-Nederland (LD);Pensioenontvanger;586.3;15.9
35;Groningen (PV);Totaal sociaal-economische categorie;380.6;16.2
36;Groningen (PV);Totaal actief;219.7;18.4
37;Groningen (PV);Werknemer;194.4;18.9
38;Groningen (PV);Zelfstandige;24.8;15.0
39;Groningen (PV);Totaal niet-actief;160.8;13.2
40;Groningen (PV);Werkloosheids- en bijstandsuitk.ontv.;21.9;11.6
41;Groningen (PV);Pensioenontvanger;94.6;15.1
42;Friesland (PV);Totaal sociaal-economische categorie;420.8;16.2
43;Friesland (PV);Totaal actief;255.9;17.8
44;Friesland (PV);Werknemer;218.8;18.2
45;Friesland (PV);Zelfstandige;36.4;15.1
46;Friesland (PV);Totaal niet-actief;164.9;13.8
