ID;Geslacht;Werkadres;PositieWerkkring;Persoonskenmerken;Perioden;WerkzameBeroepsbevolking_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2010;8278
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2011;8280
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2012;8330
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2013;8266
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2014;8214
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2015;8294
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2016;8403
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2017;8579
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2018;8774
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2019;8953
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2020;8951
11;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: deeltijd;2010;3895
12;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: deeltijd;2011;3913
13;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: deeltijd;2012;3998
14;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: deeltijd;2013;4027
15;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: deeltijd;2014;3992
16;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: deeltijd;2015;4041
17;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: deeltijd;2016;4090
18;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: deeltijd;2017;4159
19;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: deeltijd;2018;4290
20;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: deeltijd;2019;4395
21;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: deeltijd;2020;4466
22;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2010;886
23;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2011;895
24;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2012;929
25;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2013;970
26;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2014;975
27;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2015;986
28;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2016;946
29;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2017;946
30;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2018;940
31;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2019;945
32;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2020;975
33;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2010;1612
34;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2011;1618
35;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2012;1651
36;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2013;1658
37;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2014;1640
38;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2015;1665
39;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2016;1638
40;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2017;1622
41;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2018;1617
42;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2019;1649
43;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2020;1636
44;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 12 tot 20 uur per week;2010;726
45;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 12 tot 20 uur per week;2011;723
46;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 12 tot 20 uur per week;2012;723
47;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 12 tot 20 uur per week;2013;689
48;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 12 tot 20 uur per week;2014;665
49;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 12 tot 20 uur per week;2015;679
50;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 12 tot 20 uur per week;2016;692
51;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 12 tot 20 uur per week;2017;676
52;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 12 tot 20 uur per week;2018;676
53;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 12 tot 20 uur per week;2019;704
54;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 12 tot 20 uur per week;2020;661
55;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 20 tot 35 uur per week;2010;2282
56;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 20 tot 35 uur per week;2011;2295
57;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 20 tot 35 uur per week;2012;2347
58;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 20 tot 35 uur per week;2013;2368
59;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 20 tot 35 uur per week;2014;2351
60;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 20 tot 35 uur per week;2015;2376
61;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 20 tot 35 uur per week;2016;2453
62;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 20 tot 35 uur per week;2017;2537
63;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 20 tot 35 uur per week;2018;2673
64;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 20 tot 35 uur per week;2019;2746
65;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: 20 tot 35 uur per week;2020;2830
66;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: voltijd;2010;4383
67;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: voltijd;2011;4367
68;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: voltijd;2012;4332
69;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: voltijd;2013;4240
70;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: voltijd;2014;4223
71;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: voltijd;2015;4253
72;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: voltijd;2016;4313
73;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: voltijd;2017;4420
74;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: voltijd;2018;4484
75;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: voltijd;2019;4558
76;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: voltijd;2020;4485
77;Totaal mannen en vrouwen;Totaal;Totaal;Onderwijsniveau: 1 laag;2010;2046
78;Totaal mannen en vrouwen;Totaal;Totaal;Onderwijsniveau: 1 laag;2011;2048
79;Totaal mannen en vrouwen;Totaal;Totaal;Onderwijsniveau: 1 laag;2012;2005
80;Totaal mannen en vrouwen;Totaal;Totaal;Onderwijsniveau: 1 laag;2013;1797
81;Totaal mannen en vrouwen;Totaal;Totaal;Onderwijsniveau: 1 laag;2014;1738
82;Totaal mannen en vrouwen;Totaal;Totaal;Onderwijsniveau: 1 laag;2015;1750
83;Totaal mannen en vrouwen;Totaal;Totaal;Onderwijsniveau: 1 laag;2016;1712
84;Totaal mannen en vrouwen;Totaal;Totaal;Onderwijsniveau: 1 laag;2017;1683
85;Totaal mannen en vrouwen;Totaal;Totaal;Onderwijsniveau: 1 laag;2018;1751
