ID;Branches;Perioden;VerdiendePremie_1;GeledenSchade_2;Schadepercentage_3
0;Totaal branches;1999;15670;13431;85.7
1;Totaal branches;2000;14987;13311;88.8
2;Totaal branches;2001;15765;13659;86.6
3;Totaal branches;2002;17448;15188;87.0
4;Totaal branches;2003;18830;14189;75.4
5;Totaal branches;2004;20532;14724;71.7
6;Totaal branches;2005;20981;14333;68.3
7;Totaal branches;2006;17047;12966;76.1
8;Totaal branches;2007;17188;10975;63.9
9;Totaal branches;2008;18234;12046;66.1
10;Totaal branches;2009;18495;12820;69.3
11;Totaal branches;2010;18834;13178;70.0
12;Totaal branches;2011;18843;13688;72.6
13;Totaal branches;2012;18892;14342;75.9
14;Totaal branches;2013;18368;13642;74.3
15;Totaal branches;2014;17191;12818;74.6
16;Totaal branches;2015;17256;12714;73.7
17;Ongevallen- en ziekteverzekering;1999;7211;7493;103.9
18;Ongevallen- en ziekteverzekering;2000;7454;7990;107.2
19;Ongevallen- en ziekteverzekering;2001;8015;8246;102.9
20;Ongevallen- en ziekteverzekering;2002;9083;9221;101.5
21;Ongevallen- en ziekteverzekering;2003;9732;8067;82.9
22;Ongevallen- en ziekteverzekering;2004;11007;8639;78.5
23;Ongevallen- en ziekteverzekering;2005;11176;8448;75.6
24;Ongevallen- en ziekteverzekering;2006;7023;7093;101.0
25;Ongevallen- en ziekteverzekering;2007;7038;4904;69.7
26;Ongevallen- en ziekteverzekering;2008;7578;5320;70.2
27;Ongevallen- en ziekteverzekering;2009;7766;5813;74.9
28;Ongevallen- en ziekteverzekering;2010;7967;6112;76.7
29;Ongevallen- en ziekteverzekering;2011;8226;6920;84.1
30;Ongevallen- en ziekteverzekering;2012;8385;7478;89.2
31;Ongevallen- en ziekteverzekering;2013;8040;6708;83.4
32;Ongevallen- en ziekteverzekering;2014;7761;6543;84.3
33;Ongevallen- en ziekteverzekering;2015;7813;6168;78.9
34;Motorrijtuigverzekering;1999;3513;2699;76.8
35;Motorrijtuigverzekering;2000;3709;2904;78.3
36;Motorrijtuigverzekering;2001;3824;2993;78.3
37;Motorrijtuigverzekering;2002;3985;3117;78.2
38;Motorrijtuigverzekering;2003;4239;3138;74.0
39;Motorrijtuigverzekering;2004;4376;3118;71.3
40;Motorrijtuigverzekering;2005;4362;2969;68.1
41;Motorrijtuigverzekering;2006;4372;2797;64.0
42;Motorrijtuigverzekering;2007;4343;2788;64.2
43;Motorrijtuigverzekering;2008;4345;3012;69.3
44;Motorrijtuigverzekering;2009;4279;3136;73.3
45;Motorrijtuigverzekering;2010;4334;3185;73.5
46;Motorrijtuigverzekering;2011;4347;3047;70.1
47;Motorrijtuigverzekering;2012;4331;3085;71.2
48;Motorrijtuigverzekering;2013;4252;3068;72.2
49;Motorrijtuigverzekering;2014;3738;2903;77.7
50;Motorrijtuigverzekering;2015;3713;2957;79.6
51;Zee-, transport-, luchtvaartverzekering;1999;514;358;69.7
52;Zee-, transport-, luchtvaartverzekering;2000;380;302;79.5
53;Zee-, transport-, luchtvaartverzekering;2001;379;272;71.8
