ID;Geslacht;Leeftijd;Geboorteland;Herkomstland;SamenstellingHuishouden;SociaaleconomischeCategorie;Perioden;PersonenMetUitgesprokenSchuldsanering_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;1999;6310.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2000;8655.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2001;8640.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2002;9500.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2003;10615.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2004;14030.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2005;14645.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2006;14940.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2007;14955.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2008;9205.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2009;8960.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2010;11355.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2011;14695.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2012;13745.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2013;12335.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2014;12250.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2015;11685.0
17;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2016;9780.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2017;8360.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2018;5900.0
20;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2019;4640.0
21;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2020;2980.0
22;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2021;2245.0
23;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2022;1890.0
24;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2023;1885.0
25;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;1999;1960.0
26;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2000;2705.0
27;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2001;2520.0
28;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2002;2795.0
29;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2003;2960.0
30;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2004;3805.0
31;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2005;3975.0
32;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2006;4740.0
33;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2007;5220.0
