ID;Population;Sex;PersonalCharacteristics;Margins;Periods;TrafficParticipation_1;UseOfPublicTransport_2
0;Population 6 years or older;Total male and female;Total persons;Value;2018;82.9;8.6
1;Population 6 years or older;Total male and female;Total persons;Value;2019;81.9;8.6
2;Population 6 years or older;Total male and female;Total persons;Value;2020;73.8;3.9
3;Population 6 years or older;Total male and female;Total persons;Value;2021;78.1;4.2
4;Population 6 years or older;Total male and female;Total persons;Value;2022;79.7;6.1
5;Population 6 years or older;Total male and female;Total persons;Value;2023;80.4;7.0
6;Population 6 years or older;Total male and female;Total persons;Lower bound 95% confidence interval;2018;82.5;8.3
7;Population 6 years or older;Total male and female;Total persons;Lower bound 95% confidence interval;2019;81.5;8.3
8;Population 6 years or older;Total male and female;Total persons;Lower bound 95% confidence interval;2020;73.4;3.8
9;Population 6 years or older;Total male and female;Total persons;Lower bound 95% confidence interval;2021;77.8;4.1
10;Population 6 years or older;Total male and female;Total persons;Lower bound 95% confidence interval;2022;79.3;5.9
11;Population 6 years or older;Total male and female;Total persons;Lower bound 95% confidence interval;2023;80.0;6.8
12;Population 6 years or older;Total male and female;Total persons;Upper bound 95% confidence interval;2018;83.3;8.9
13;Population 6 years or older;Total male and female;Total persons;Upper bound 95% confidence interval;2019;82.4;8.8
14;Population 6 years or older;Total male and female;Total persons;Upper bound 95% confidence interval;2020;74.2;4.1
15;Population 6 years or older;Total male and female;Total persons;Upper bound 95% confidence interval;2021;78.5;4.4
16;Population 6 years or older;Total male and female;Total persons;Upper bound 95% confidence interval;2022;80.2;6.3
17;Population 6 years or older;Total male and female;Total persons;Upper bound 95% confidence interval;2023;80.8;7.2
18;Population 6 years or older;Total male and female;Age: 6 to 11 years;Value;2018;90.6;2.1
19;Population 6 years or older;Total male and female;Age: 6 to 11 years;Value;2019;88.9;1.6
20;Population 6 years or older;Total male and female;Age: 6 to 11 years;Value;2020;80.0;
21;Population 6 years or older;Total male and female;Age: 6 to 11 years;Value;2021;85.6;
22;Population 6 years or older;Total male and female;Age: 6 to 11 years;Value;2022;85.2;1.6
23;Population 6 years or older;Total male and female;Age: 6 to 11 years;Value;2023;85.8;2.0
24;Population 6 years or older;Total male and female;Age: 6 to 11 years;Lower bound 95% confidence interval;2018;89.4;1.6
25;Population 6 years or older;Total male and female;Age: 6 to 11 years;Lower bound 95% confidence interval;2019;87.4;1.2
26;Population 6 years or older;Total male and female;Age: 6 to 11 years;Lower bound 95% confidence interval;2020;78.5;
27;Population 6 years or older;Total male and female;Age: 6 to 11 years;Lower bound 95% confidence interval;2021;84.3;
28;Population 6 years or older;Total male and female;Age: 6 to 11 years;Lower bound 95% confidence interval;2022;83.4;1.2
29;Population 6 years or older;Total male and female;Age: 6 to 11 years;Lower bound 95% confidence interval;2023;84.2;1.5
30;Population 6 years or older;Total male and female;Age: 6 to 11 years;Upper bound 95% confidence interval;2018;91.6;2.7
31;Population 6 years or older;Total male and female;Age: 6 to 11 years;Upper bound 95% confidence interval;2019;90.3;2.1
32;Population 6 years or older;Total male and female;Age: 6 to 11 years;Upper bound 95% confidence interval;2020;81.4;
33;Population 6 years or older;Total male and female;Age: 6 to 11 years;Upper bound 95% confidence interval;2021;86.9;
34;Population 6 years or older;Total male and female;Age: 6 to 11 years;Upper bound 95% confidence interval;2022;86.8;2.2
35;Population 6 years or older;Total male and female;Age: 6 to 11 years;Upper bound 95% confidence interval;2023;87.3;2.6
36;Population 6 years or older;Total male and female;Age: 12 to 17 years;Value;2018;86.3;11.7
37;Population 6 years or older;Total male and female;Age: 12 to 17 years;Value;2019;86.4;10.7
38;Population 6 years or older;Total male and female;Age: 12 to 17 years;Value;2020;73.5;6.3
39;Population 6 years or older;Total male and female;Age: 12 to 17 years;Value;2021;79.0;6.3
40;Population 6 years or older;Total male and female;Age: 12 to 17 years;Value;2022;82.9;9.2
41;Population 6 years or older;Total male and female;Age: 12 to 17 years;Value;2023;83.6;9.4
