ID;Geslacht;LandVanHerkomstVestiging;Geboorteland;Perioden;Immigratie_1;EmigratieExclusiefAdministratieveC_2;MigratiesaldoExclusiefAdministrati_3
0;Totaal mannen en vrouwen;Totaal landen;Totaal;1995;96099.0;63321.0;32778.0
1;Totaal mannen en vrouwen;Totaal landen;Totaal;1996;108749.0;65325.0;43424.0
2;Totaal mannen en vrouwen;Totaal landen;Totaal;1997;109860.0;62218.0;47642.0
3;Totaal mannen en vrouwen;Totaal landen;Totaal;1998;122407.0;60441.0;61966.0
4;Totaal mannen en vrouwen;Totaal landen;Totaal;1999;119151.0;59023.0;60128.0
5;Totaal mannen en vrouwen;Totaal landen;Totaal;2000;132850.0;61201.0;71649.0
6;Totaal mannen en vrouwen;Totaal landen;Totaal;2001;133404.0;63318.0;70086.0
7;Totaal mannen en vrouwen;Totaal landen;Totaal;2002;121250.0;66728.0;54522.0
8;Totaal mannen en vrouwen;Totaal landen;Totaal;2003;104514.0;68885.0;35629.0
9;Totaal mannen en vrouwen;Totaal landen;Totaal;2004;94019.0;75049.0;18970.0
10;Totaal mannen en vrouwen;Totaal landen;Totaal;2005;92297.0;83399.0;8898.0
11;Totaal mannen en vrouwen;Totaal landen;Totaal;2006;101150.0;91028.0;10122.0
12;Totaal mannen en vrouwen;Totaal landen;Totaal;2007;116819.0;91287.0;25532.0
13;Totaal mannen en vrouwen;Totaal landen;Totaal;2008;143516.0;90067.0;53449.0
14;Totaal mannen en vrouwen;Totaal landen;Totaal;2009;146378.0;85357.0;61021.0
15;Totaal mannen en vrouwen;Totaal landen;Totaal;2010;154432.0;91450.0;62982.0
16;Totaal mannen en vrouwen;Totaal landen;Totaal;2011;162962.0;106185.0;56777.0
17;Totaal mannen en vrouwen;Totaal landen;Totaal;2012;158374.0;110356.0;48018.0
18;Totaal mannen en vrouwen;Totaal landen;Totaal;2013;164772.0;117180.0;47592.0
19;Totaal mannen en vrouwen;Totaal landen;Totaal;2014;182949.0;122248.0;60701.0
20;Totaal mannen en vrouwen;Totaal landen;Totaal;2015;204615.0;126884.0;77731.0
21;Totaal mannen en vrouwen;Totaal landen;Totaal;2016;230739.0;127320.0;103419.0
22;Totaal mannen en vrouwen;Totaal landen;Totaal;2017;234957.0;127452.0;107505.0
23;Totaal mannen en vrouwen;Totaal landen;Totaal;2018;243737.0;134797.0;108940.0
24;Totaal mannen en vrouwen;Totaal landen;Totaal;2019;269064.0;139156.0;129908.0
25;Totaal mannen en vrouwen;Totaal landen;Totaal;2020;220853.0;133161.0;87692.0
26;Totaal mannen en vrouwen;Totaal landen;Totaal;2021;252528.0;128094.0;124434.0
27;Totaal mannen en vrouwen;Totaal landen;Totaal;2022;403108.0;156220.0;246888.0
28;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;1995;65231.0;21228.0;44003.0
29;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;1996;74977.0;21821.0;53156.0
30;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;1997;75124.0;21234.0;53890.0
31;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;1998;82892.0;20763.0;62129.0
32;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;1999;81071.0;20312.0;60759.0
33;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2000;94638.0;19675.0;74963.0
34;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2001;96054.0;20046.0;76008.0
35;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2002;86645.0;21339.0;65306.0
36;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2003;73006.0;22739.0;50267.0
37;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2004;63772.0;24809.0;38963.0
38;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2005;61133.0;25003.0;36130.0
39;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2006;65478.0;26767.0;38711.0
40;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2007;77560.0;28139.0;49421.0
41;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2008;98934.0;29235.0;69699.0
42;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2009;98870.0;33580.0;65290.0
43;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2010;104903.0;37119.0;67784.0
44;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2011;112926.0;44081.0;68845.0
45;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2012;109190.0;49957.0;59233.0
46;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2013;113487.0;54072.0;59415.0
47;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2014;126209.0;57030.0;69179.0
48;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2015;139509.0;59551.0;79958.0
49;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2016;156368.0;61167.0;95201.0
50;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2017;157475.0;63238.0;94237.0
51;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2018;168172.0;69961.0;98211.0
52;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2019;187175.0;75204.0;111971.0
53;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2020;142805.0;77237.0;65568.0
54;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2021;175630.0;66738.0;108892.0
55;Totaal mannen en vrouwen;Totaal landen;Land herkomst / vestiging;2022;304713.0;80951.0;223762.0
56;Totaal mannen en vrouwen;Totaal landen;Overig land;1995;9472.0;7245.0;2227.0
57;Totaal mannen en vrouwen;Totaal landen;Overig land;1996;11206.0;7762.0;3444.0
58;Totaal mannen en vrouwen;Totaal landen;Overig land;1997;12021.0;7847.0;4174.0
59;Totaal mannen en vrouwen;Totaal landen;Overig land;1998;13531.0;7602.0;5929.0
60;Totaal mannen en vrouwen;Totaal landen;Overig land;1999;13106.0;7878.0;5228.0
61;Totaal mannen en vrouwen;Totaal landen;Overig land;2000;14395.0;8777.0;5618.0
