ID;TypeOfBankruptcy;Age;Periods;PronouncedBankrupcies_1
0;Total natural persons;Total;2013 January;370
1;Total natural persons;Total;2013 February;303
2;Total natural persons;Total;2013 March;389
3;Total natural persons;Total;2013 1st quarter;1062
4;Total natural persons;Total;2013 April;341
5;Total natural persons;Total;2013 May;385
6;Total natural persons;Total;2013 June;335
7;Total natural persons;Total;2013 2nd quarter;1061
8;Total natural persons;Total;2013 July;373
9;Total natural persons;Total;2013 August;268
10;Total natural persons;Total;2013 September;283
11;Total natural persons;Total;2013 3rd quarter;924
12;Total natural persons;Total;2013 October;385
13;Total natural persons;Total;2013 November;339
14;Total natural persons;Total;2013 December;302
15;Total natural persons;Total;2013 4th quarter;1026
16;Total natural persons;Total;2013;4073
17;Total natural persons;Total;2014 January;340
18;Total natural persons;Total;2014 February;291
19;Total natural persons;Total;2014 March;255
20;Total natural persons;Total;2014 1st quarter;886
21;Total natural persons;Total;2014 April;324
22;Total natural persons;Total;2014 May;240
23;Total natural persons;Total;2014 June;189
24;Total natural persons;Total;2014 2nd quarter;753
25;Total natural persons;Total;2014 July;235
26;Total natural persons;Total;2014 August;214
27;Total natural persons;Total;2014 September;260
28;Total natural persons;Total;2014 3rd quarter;709
29;Total natural persons;Total;2014 October;223
30;Total natural persons;Total;2014 November;211
31;Total natural persons;Total;2014 December;242
32;Total natural persons;Total;2014 4th quarter;676
33;Total natural persons;Total;2014;3024
34;Total natural persons;Total;2015 January;194
35;Total natural persons;Total;2015 February;199
36;Total natural persons;Total;2015 March;217
37;Total natural persons;Total;2015 1st quarter;610
38;Total natural persons;Total;2015 April;169
39;Total natural persons;Total;2015 May;137
40;Total natural persons;Total;2015 June;173
41;Total natural persons;Total;2015 2nd quarter;479
42;Total natural persons;Total;2015 July;159
43;Total natural persons;Total;2015 August;128
44;Total natural persons;Total;2015 September;181
45;Total natural persons;Total;2015 3rd quarter;468
46;Total natural persons;Total;2015 October;164
47;Total natural persons;Total;2015 November;135
48;Total natural persons;Total;2015 December;211
49;Total natural persons;Total;2015 4th quarter;510
50;Total natural persons;Total;2015;2067
51;Total natural persons;Total;2016 January;126
52;Total natural persons;Total;2016 February;134
53;Total natural persons;Total;2016 March;191
54;Total natural persons;Total;2016 1st quarter;451
55;Total natural persons;Total;2016 April;136
56;Total natural persons;Total;2016 May;148
57;Total natural persons;Total;2016 June;131
58;Total natural persons;Total;2016 2nd quarter;415
59;Total natural persons;Total;2016 July;117
60;Total natural persons;Total;2016 August;135
61;Total natural persons;Total;2016 September;112
62;Total natural persons;Total;2016 3rd quarter;364
63;Total natural persons;Total;2016 October;108
64;Total natural persons;Total;2016 November;117
65;Total natural persons;Total;2016 December;98
66;Total natural persons;Total;2016 4th quarter;323
67;Total natural persons;Total;2016;1553
68;Total natural persons;Total;2017 January;131
69;Total natural persons;Total;2017 February;110
70;Total natural persons;Total;2017 March;119
