ID;Perioden;TotaalBedrijfsopbrengsten_1;TotaalOpbrengstenFysiotherapie_2;VanZiekenfondsen_3;VanNietZiekenfondsverzekerden_4;OpbrengstenAndereBehandelvormen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;Personeelskosten_8;OverigeKosten_9;Exploitatiesaldo_10
0;1987;409.9;402.5;283.2;119.3;2.9;4.5;177.0;91.4;85.6;232.9
1;1988;425.2;420.0;288.4;131.6;2.0;3.2;186.3;93.0;93.3;238.9
2;1989;480.7;472.8;325.5;147.3;3.4;4.4;199.8;106.8;93.0;280.9
3;1990;486.7;476.2;323.7;152.6;5.5;4.9;201.3;107.3;94.0;285.4
4;1991;517.9;508.8;341.9;166.9;3.3;5.9;207.6;106.8;100.7;310.3
5;1992;543.1;533.7;352.6;181.1;4.7;4.7;229.6;120.5;109.0;313.5
6;1993;565.5;550.8;377.5;173.3;3.1;11.7;242.4;119.6;122.7;323.2
7;1994;570.8;561.3;376.9;184.4;2.9;6.5;252.0;123.0;129.0;318.7
8;1995;573.0;550.8;386.2;164.6;9.9;12.3;251.8;121.7;130.1;321.2
9;1996;555.5;531.6;375.9;155.7;11.7;12.2;246.7;115.7;131.1;308.8
10;1999;686.0;660.7;470.3;190.3;13.2;12.1;294.7;145.6;149.1;391.3
11;2000;709.8;682.7;497.6;185.1;14.6;12.5;316.6;160.7;155.9;393.2
12;2001;781.7;710.4;;;49.0;22.3;374.7;192.4;182.3;407.0
13;2002;833.5;757.4;;;52.2;23.8;399.5;205.1;194.4;433.9
14;2003;900.7;801.1;;;74.0;25.5;431.3;227.9;203.4;469.4
