ID;Geslacht;Vooropleiding;Startjaar;StudiefaseStartjaar;Peilmoment;OnderwijspositiePeilmoment;TotaalStudentenStartjaar_1;TotaalGediplomeerden_2;Bachelor_3;k_1JarigeMaster_4;k_2JarigeMaster_5;k_3JarigeMaster_6;k_4JarigeMaster_7;TotaalGediplomeerden_8;Bachelor_9;k_1JarigeMaster_10;k_2JarigeMaster_11;k_3JarigeMaster_12;k_4JarigeMaster_13;NietGediplomeerden_14;NietGediplomeerdenRelatief_15
0;Totaal geslacht;Vooropleidingen totaal;2008;Totaal onderwijspositie in startjaar;1 jaar na startjaar;Totaal onderwijspositie;47426.0;1392.0;80.0;1183.0;128.0;1.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;46034.0;97.0
1;Totaal geslacht;Vooropleidingen totaal;2008;Totaal onderwijspositie in startjaar;1 jaar na startjaar;Totaal studenten in wo op peilmoment;39540.0;110.0;64.0;43.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39430.0;100.0
2;Totaal geslacht;Vooropleidingen totaal;2008;Totaal onderwijspositie in startjaar;1 jaar na startjaar;Totaal studenten uit wo op peilmoment;7886.0;1282.0;16.0;1140.0;125.0;1.0;0.0;16.0;0.0;14.0;2.0;0.0;0.0;6604.0;84.0
3;Totaal geslacht;Vooropleidingen totaal;2008;Totaal onderwijspositie in startjaar;2 jaar na startjaar;Totaal onderwijspositie;47426.0;4385.0;425.0;2728.0;1225.0;2.0;5.0;9.0;1.0;6.0;3.0;0.0;0.0;43041.0;91.0
4;Totaal geslacht;Vooropleidingen totaal;2008;Totaal onderwijspositie in startjaar;2 jaar na startjaar;Totaal studenten in wo op peilmoment;35109.0;404.0;333.0;64.0;7.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;34705.0;99.0
5;Totaal geslacht;Vooropleidingen totaal;2008;Totaal onderwijspositie in startjaar;2 jaar na startjaar;Totaal studenten uit wo op peilmoment;12317.0;3981.0;92.0;2664.0;1218.0;2.0;5.0;32.0;1.0;22.0;10.0;0.0;0.0;8336.0;68.0
6;Totaal geslacht;Vooropleidingen totaal;2008;Totaal onderwijspositie in startjaar;3 jaar na startjaar;Totaal onderwijspositie;47426.0;15517.0;9047.0;4372.0;2086.0;6.0;6.0;33.0;19.0;9.0;4.0;0.0;0.0;31909.0;67.0
7;Totaal geslacht;Vooropleidingen totaal;2008;Totaal onderwijspositie in startjaar;3 jaar na startjaar;Totaal studenten in wo op peilmoment;29813.0;7058.0;6974.0;76.0;8.0;0.0;0.0;24.0;23.0;0.0;0.0;0.0;0.0;22755.0;76.0
8;Totaal geslacht;Vooropleidingen totaal;2008;Totaal onderwijspositie in startjaar;3 jaar na startjaar;Totaal studenten uit wo op peilmoment;17613.0;8459.0;2073.0;4296.0;2078.0;6.0;6.0;48.0;12.0;24.0;12.0;0.0;0.0;9154.0;52.0
9;Totaal geslacht;Vooropleidingen totaal;2008;Totaal onderwijspositie in startjaar;4 jaar na startjaar;Totaal onderwijspositie;47426.0;27918.0;18271.0;7069.0;2550.0;19.0;9.0;59.0;39.0;15.0;5.0;0.0;0.0;19508.0;41.0
