ID;Geslacht;Leeftijd;Migratieachtergrond;Perioden;TotaalGediplomeerdenVavo_1;VavoGediplomeerdenVmboT_2;VavoGediplomeerdenHavo_3;VavoGediplomeerdenVwo_4
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2006/'07;4041;833;2192;1016
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2007/'08;5217;1060;2734;1423
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2008/'09;6521;987;3992;1542
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2009/'10;7172;997;3737;2438
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2010/'11;8249;1111;4795;2343
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2011/'12;7504;1006;4496;2002
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2012/'13;8217;1199;4510;2508
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2013/'14;7005;1265;4016;1724
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2014/'15;7343;1262;4017;2064
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2015/'16;7148;1184;4103;1861
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2016/'17;7178;1116;4103;1959
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2017/'18;7876;1338;4332;2206
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2018/'19;7836;1278;4424;2134
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2019/'20;8079;1280;4326;2473
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond;2020/'21;3597;651;2150;796
15;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2006/'07;2669;488;1491;690
16;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2007/'08;3475;652;1853;970
17;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2008/'09;4644;589;2965;1090
18;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2009/'10;5097;638;2709;1750
19;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2010/'11;5682;677;3327;1678
20;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2011/'12;5373;648;3213;1512
21;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2012/'13;5705;752;3168;1785
22;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2013/'14;4840;772;2819;1249
23;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2014/'15;5040;756;2831;1453
