ID;RegioS;Inkomensbron;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2
0;Nederland;Totaal particulier huishouden;6718.6;30.3
1;Nederland;Loon;3773.8;34.3
2;Nederland;Winst;668.9;37.9
3;Nederland;Werkloosheid,bijstand,arbeidsongeschikt;636.9;18.3
4;Nederland;Pensioen;1551.2;22.7
5;Noord-Nederland (LD);Totaal particulier huishouden;699.6;27.9
6;Noord-Nederland (LD);Loon;369.7;31.5
7;Noord-Nederland (LD);Winst;74.7;35.1
8;Noord-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;69.0;18.0
9;Noord-Nederland (LD);Pensioen;175.6;21.4
10;Oost-Nederland (LD);Totaal particulier huishouden;1343.1;30.4
11;Oost-Nederland (LD);Loon;767.8;34.0
12;Oost-Nederland (LD);Winst;137.2;38.1
13;Oost-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;114.1;19.1
14;Oost-Nederland (LD);Pensioen;306.8;22.6
15;West-Nederland (LD);Totaal particulier huishouden;3236.7;30.7
16;West-Nederland (LD);Loon;1827.9;34.7
17;West-Nederland (LD);Winst;318.5;38.7
18;West-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;318.8;17.7
19;West-Nederland (LD);Pensioen;728.7;23.2
20;Zuid-Nederland (LD);Totaal particulier huishouden;1439.3;30.5
21;Zuid-Nederland (LD);Loon;808.4;34.8
22;Zuid-Nederland (LD);Winst;138.4;37.5
23;Zuid-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;134.9;18.9
24;Zuid-Nederland (LD);Pensioen;340.1;22.5
25;Groningen (PV);Totaal particulier huishouden;241.2;27.0
26;Groningen (PV);Loon;129.0;30.7
27;Groningen (PV);Winst;22.6;34.9
28;Groningen (PV);Werkloosheid,bijstand,arbeidsongeschikt;27.6;17.1
29;Groningen (PV);Pensioen;58.1;20.7
30;Friesland (PV);Totaal particulier huishouden;262.6;27.8
31;Friesland (PV);Loon;137.3;31.1
32;Friesland (PV);Winst;31.7;35.8
33;Friesland (PV);Werkloosheid,bijstand,arbeidsongeschikt;24.0;17.9
34;Friesland (PV);Pensioen;65.6;21.2
35;Drenthe (PV);Totaal particulier huishouden;195.8;29.0
36;Drenthe (PV);Loon;103.4;33.2
37;Drenthe (PV);Winst;20.4;34.3
38;Drenthe (PV);Werkloosheid,bijstand,arbeidsongeschikt;17.4;19.5
39;Drenthe (PV);Pensioen;51.9;22.3
40;Overijssel (PV);Totaal particulier huishouden;431.5;29.5
41;Overijssel (PV);Loon;243.5;33.2
42;Overijssel (PV);Winst;42.5;37.4
43;Overijssel (PV);Werkloosheid,bijstand,arbeidsongeschikt;38.0;19.0
44;Overijssel (PV);Pensioen;102.0;21.9
45;Flevoland (PV);Totaal particulier huishouden;135.1;30.8
46;Flevoland (PV);Loon;85.6;33.8
47;Flevoland (PV);Winst;14.5;36.4
48;Flevoland (PV);Werkloosheid,bijstand,arbeidsongeschikt;12.0;19.1
49;Flevoland (PV);Pensioen;21.7;22.1
50;Gelderland (PV);Totaal particulier huishouden;776.5;30.8
51;Gelderland (PV);Loon;438.7;34.5
52;Gelderland (PV);Winst;80.2;38.7
53;Gelderland (PV);Werkloosheid,bijstand,arbeidsongeschikt;64.1;19.1
54;Gelderland (PV);Pensioen;183.1;23.0
55;Utrecht (PV);Totaal particulier huishouden;473.0;32.8
56;Utrecht (PV);Loon;282.0;36.2
57;Utrecht (PV);Winst;47.5;41.5
58;Utrecht (PV);Werkloosheid,bijstand,arbeidsongeschikt;37.6;18.8
59;Utrecht (PV);Pensioen;99.7;24.6
60;Noord-Holland (PV);Totaal particulier huishouden;1142.7;30.4
61;Noord-Holland (PV);Loon;633.1;34.5
62;Noord-Holland (PV);Winst;124.3;37.1
63;Noord-Holland (PV);Werkloosheid,bijstand,arbeidsongeschikt;122.9;17.8
64;Noord-Holland (PV);Pensioen;246.1;23.2
65;Zuid-Holland (PV);Totaal particulier huishouden;1463.0;30.4
66;Zuid-Holland (PV);Loon;829.7;34.6
67;Zuid-Holland (PV);Winst;128.9;39.3
68;Zuid-Holland (PV);Werkloosheid,bijstand,arbeidsongeschikt;147.0;17.3
69;Zuid-Holland (PV);Pensioen;339.4;22.8
70;Zeeland (PV);Totaal particulier huishouden;158.0;29.5
71;Zeeland (PV);Loon;83.1;33.2
72;Zeeland (PV);Winst;17.8;38.4
73;Zeeland (PV);Werkloosheid,bijstand,arbeidsongeschikt;11.4;18.4
74;Zeeland (PV);Pensioen;43.4;22.2
75;Noord-Brabant (PV);Totaal particulier huishouden;965.1;31.1
76;Noord-Brabant (PV);Loon;553.3;35.2
77;Noord-Brabant (PV);Winst;97.3;37.9
78;Noord-Brabant (PV);Werkloosheid,bijstand,arbeidsongeschikt;82.6;19.0
79;Noord-Brabant (PV);Pensioen;220.7;22.7
80;Limburg (PV);Totaal particulier huishouden;474.2;29.4
81;Limburg (PV);Loon;255.2;34.1
82;Limburg (PV);Winst;41.2;36.4
83;Limburg (PV);Werkloosheid,bijstand,arbeidsongeschikt;52.3;18.7
84;Limburg (PV);Pensioen;119.4;22.0
85;Oost-Groningen (CR);Totaal particulier huishouden;65.5;26.4
86;Oost-Groningen (CR);Loon;32.7;31.2
87;Oost-Groningen (CR);Winst;5.5;33.8
88;Oost-Groningen (CR);Werkloosheid,bijstand,arbeidsongeschikt;7.8;18.5
89;Oost-Groningen (CR);Pensioen;18.5;19.4
90;Delfzijl en omgeving (CR);Totaal particulier huishouden;22.2;27.2
91;Delfzijl en omgeving (CR);Loon;11.4;31.4
92;Delfzijl en omgeving (CR);Winst;2.1;35.4
93;Delfzijl en omgeving (CR);Werkloosheid,bijstand,arbeidsongeschikt;2.5;17.4
94;Delfzijl en omgeving (CR);Pensioen;5.9;20.7
95;Overig Groningen (CR);Totaal particulier huishouden;153.5;27.2
96;Overig Groningen (CR);Loon;84.9;30.4
97;Overig Groningen (CR);Winst;15.0;35.2
98;Overig Groningen (CR);Werkloosheid,bijstand,arbeidsongeschikt;17.3;16.5
99;Overig Groningen (CR);Pensioen;33.7;21.5
100;Noord-Friesland (CR);Totaal particulier huishouden;135.4;27.5
101;Noord-Friesland (CR);Loon;71.8;30.7
102;Noord-Friesland (CR);Winst;15.6;36.5
103;Noord-Friesland (CR);Werkloosheid,bijstand,arbeidsongeschikt;13.4;17.5
104;Noord-Friesland (CR);Pensioen;32.5;20.9
105;Zuidwest-Friesland (CR);Totaal particulier huishouden;43.0;27.9
106;Zuidwest-Friesland (CR);Loon;21.5;31.3
107;Zuidwest-Friesland (CR);Winst;6.3;34.2
108;Zuidwest-Friesland (CR);Werkloosheid,bijstand,arbeidsongeschikt;3.6;18.2
109;Zuidwest-Friesland (CR);Pensioen;10.9;21.3
110;Zuidoost-Friesland (CR);Totaal particulier huishouden;84.2;28.2
111;Zuidoost-Friesland (CR);Loon;44.0;31.6
112;Zuidoost-Friesland (CR);Winst;9.8;35.8
113;Zuidoost-Friesland (CR);Werkloosheid,bijstand,arbeidsongeschikt;6.9;18.7
114;Zuidoost-Friesland (CR);Pensioen;22.1;21.6
115;Noord-Drenthe (CR);Totaal particulier huishouden;74.9;30.1
116;Noord-Drenthe (CR);Loon;40.5;34.0
117;Noord-Drenthe (CR);Winst;7.8;35.9
118;Noord-Drenthe (CR);Werkloosheid,bijstand,arbeidsongeschikt;5.9;19.2
119;Noord-Drenthe (CR);Pensioen;19.6;23.4
