ID;RegioS;Code_1;Naam_2;AfkortingNaam_3;SorteringNaam_4;Code_5;Naam_6;Code_7;Naam_8;Code_9;Naam_10;Code_11;Naam_12;Code_13;Naam_14;Code_15;Naam_16;Code_17;Naam_18;Code_19;Naam_20;Code_21;Naam_22;Code_23;Naam_24;Code_25;Naam_26;Code_27;Naam_28;Code_29;Naam_30;Code_31;Naam_32;Code_33;Naam_34;Code_35;Naam_36;Code_37;Naam_38;Code_39;Naam_40;Code_41;Naam_42;Code_43;Naam_44;Code_45;Naam_46;Code_47;Naam_48;Code_49;Naam_50;Code_51;Naam_52;Code_53;Naam_54;Code_55;Naam_56;Code_57;Code_58;Naam_59;Code_60;Naam_61;Code_62;Naam_63;Code_64;Omschrijving_65;Code_66;Omschrijving_67;Inwonertal_68;Omgevingsadressendichtheid_69
10;361;361;Alkmaar                           ; AKR;Alkmaar                   ;14;Alkmaar         ;6;Noord-Holland-Noord       ;25;Alkmaar                        ;19;Alkmaar en omgeving                ;55;Noord-Kennemerland                      ;11;Alkmaar           ;12;Alkmaar          ;29;GGD Noord-Kennemerland            ;46;Alkmaar            ;11;Den Helder      ;2708;Kennemerland                            ;7;Westelijk Holland            ;3;West-Nederland ;38;Alkmaar               ;   NL3;West-Nederland ;NL32;Noord-Holland; NL322;Alkmaar en omgeving                ;14;Noord-Noord-Holland             ;10;Noord-Holland-Noord      ;27;Noord-Holland;4;Amsterdam       ;19;Noord-Holland Noord    ;17;Overig Nederland                        ;24;Noord-Kennemerland             ;18;Kop Noord-Holland/West-Friesland        ;25;Noord-Kennemerlanden                    ;    ;    ;                              ;0;                ;0;                ;5;50 000 - < 100 000 inwoners ;2;Sterk stedelijk     ;94121;2152
11;141;141;Almelo                            ; AMO;Almelo                    ;8;Almelo          ;35;Twente                    ;12;Almelo                         ;12;Twente                             ;24;Overige gemeenten in Twente             ;4;Twente            ;5;Twente           ;11;GGD Regio Twente                  ;26;Almelo             ;4;Zwolle          ;2303;Twente                                  ;4;Oostelijk Veehouderijgebied  ;2;Oost-Nederland ;21;Almelo                ;   NL2;Oost-Nederland ;NL21;Overijssel   ; NL213;Twente                             ;6;Twente                          ;5;Twente                   ;23;Overijssel   ;2;Arnhem          ;7;Twente                 ;11;Twente, Salland en Vechtstreek          ;12;Twente                         ;7;Twente                                  ;7;Almelo                                  ; 121;    ;                              ;0;                ;0;                ;5;50 000 - < 100 000 inwoners ;3;Matig stedelijk     ;72227;1407
12;34;34;Almere                            ; AME;Almere                    ;7;Zwolle          ;65;Flevoland                 ;50;Almere-Lelystad                ;40;Flevoland                          ;129;Zuidelijke IJsselmeerpolders            ;10;Het Gooi/Flevoland;10;Flevoland        ;22;GGD Flevoland                     ;63;Lelystad           ;5;Lelystad        ;2402;Zuidelijke IJsselmeerpolders            ;6;IJsselmeerpolders            ;2;Oost-Nederland ;28;Harderwijk            ;   NL2;Oost-Nederland ;NL23;Flevoland    ; NL230;Flevoland                          ;10;Harderwijk-Amersfoort           ;25;Flevoland                ;24;Flevoland    ;2;Arnhem          ;15;Flevoland              ;3;IJsselmeerkust                          ;18;Flevoland                      ;31;Flevoland                               ;46;Flevoland                               ;    ;    ;                              ;0;                ;10;Amsterdam       ;7;150 000 - < 250 000 inwoners;2;Sterk stedelijk     ;170704;1557
13;484;484;Alphen aan den Rijn               ; ARN;AlphenRijn                ;9;'s-Gravenhage   ;16;Hollands-Midden           ;31;Leiden-Alphen aan den Rijn     ;28;Oost-Zuid-Holland                  ;73;Rijnstreek Zuid-Holland                 ;14;Leiden            ;15;Leiden           ;37;GGD Zuid-Holland Noord            ;31;Alphen aan den Rijn;15;Leiden          ;2806;Krimpenerwaard en Oostelijk Rijnland    ;9;Hollands/Utrechts weidegebied;3;West-Nederland ;47;Alphen aan den Rijn   ;   NL3;West-Nederland ;NL33;Zuid-Holland ; NL334;Oost-Zuid-Holland                  ;16;Noord-Zuid-Holland              ;16;Hollands Midden          ;28;Zuid-Holland ;3;'s-Gravenhage   ;21;Rijnstreek             ;17;Overig Nederland                        ;27;Zuid-Holland-Oost              ;21;Rijnstreek/Midden-Holland/Alblasserwaard;29;Rijnstreek/Midden-Holland/Alblasserwaard; 312;    ;                              ;0;                ;0;                ;5;50 000 - < 100 000 inwoners ;2;Sterk stedelijk     ;70477;2091
14;Alphen-Chaam;1723;Alphen-Chaam                      ; ACM;AlphenChaam               ;2;Breda           ;1;Midden- en West-Brabant   ;42;Tilburg                        ;34;Midden-Noord-Brabant               ;108;Gebied om Tilburg                       ;21;Tilburg           ;22;Breda            ;52;GGD West-Brabant                  ;6;Tilburg            ;17;Tilburg         ;3007;De Kempen                               ;13;Zuidelijk veehouderijgebied  ;4;Zuid-Nederland ;68;Tilburg               ;   NL4;Zuid-Nederland ;NL41;Noord-Brabant; NL412;Midden-Noord-Brabant               ;21;Tilburg en omstreken            ;20;Midden- en West-Brabant  ;30;Noord-Brabant;1;'s-Hertogenbosch;26;Midden Brabant         ;13;West- en Midden-Brabant                 ;34;West-Brabant                   ;26;Midden-Brabant/Waalwijk                 ;36;Midden-Brabant                          ;    ;    ;                              ;0;                ;0;                ;2;5 000 - < 10 000 inwoners   ;5;Niet stedelijk      ;9414;249
15;Ambt Montfort;1679;Ambt Montfort                     ; AMT;Ambt Montfort             ;4;Roermond        ;42;Noord- en Midden-Limburg  ;47;Roermond-Weert                 ;38;Midden-Limburg                     ;122;Overig Midden-Limburg ten oosten v. Maas;24;Noord-Limburg     ;26;Noord-Limburg    ;59;GGD Noord- en Midden-Limburg      ;12;Roermond           ;19;Maastricht      ;3101;Noord-Limburg                           ;13;Zuidelijk veehouderijgebied  ;4;Zuid-Nederland ;77;Roermond              ;   NL4;Zuid-Nederland ;NL42;Limburg      ; NL422;Midden-Limburg                     ;24;Roermond en omstreken           ;23;Limburg-Noord            ;31;Limburg      ;1;'s-Hertogenbosch;31;Roermond               ;14;O.-Brabant, N.- en M.-Limburg, Nijmegen ;39;Midden-Limburg                 ;29;Noord-Limburg                           ;42;Midden-Limburg                          ; 471;    ;                              ;0;                ;0;                ;3;10 000 - < 20 000 inwoners  ;5;Niet stedelijk      ;10989;310
16;60;60;Ameland                           ; ALD;Ameland                   ;17;Leeuwarden      ;23;Fryslân                   ;3;Leeuwarden-Franeker-Dongeradeel;4;Noord-Friesland                    ;13;Friese Waddeneilanden                   ;2;Friesland         ;2;Friesland        ;72;GGD Friesland                     ;53;Leeuwarden         ;2;Leeuwarden      ;2104;Eilanden                                ;3;Noordelijk Weidegebied       ;1;Noord-Nederland;10;Leeuwarden            ;   NL1;Noord-Nederland;NL12;Friesland    ; NL121;Noord-Friesland                    ;3;Friesland                       ;2;Friesland                ;21;Friesland    ;5;Leeuwarden      ;4;Friesland              ;1;Waddeneilanden                          ;4;Friesland-noord                ;3;Noord-Friesland/Waddeneilanden          ;3;Noord-Friesland/Waddeneilanden          ;    ;    ;                              ;0;                ;0;                ;1;minder dan 5 000 inwoners   ;5;Niet stedelijk      ;3525;194
17;306;306;Amerongen                         ; AON;Amerongen                 ;16;Utrecht         ;50;Utrechtsland              ;19;Utrecht-Zeist-Woerden          ;17;Utrecht                            ;44;Utrechtse Heuvelrug                     ;8;Amersfoort        ;9;Utrecht          ;26;GGD Midden-Nederland              ;51;Utrecht            ;8;Utrecht         ;2605;Zandgebied in Utrecht                   ;5;Centraal Veehouderijgebied   ;3;West-Nederland ;34;Veenendaal            ;   NL3;West-Nederland ;NL31;Utrecht      ; NL310;Utrecht                            ;13;Utrecht en omstreken            ;9;Utrecht                  ;26;Utrecht      ;4;Amsterdam       ;10;Valleiregio            ;7;Utrechtse Heuvelrug en 't Gooi          ;19;Utrecht                        ;13;Oost-Utrecht                            ;16;Oost-Utrecht                            ; 191;    ;                              ;0;                ;0;                ;2;5 000 - < 10 000 inwoners   ;4;Weinig stedelijk    ;7231;564
18;307;307;Amersfoort                        ; AFT;Amersfoort                ;16;Utrecht         ;50;Utrechtsland              ;20;Amersfoort                     ;17;Utrecht                            ;43;Utrechtse Vallei en Eemgebied           ;8;Amersfoort        ;9;Utrecht          ;23;GGD Eemland                       ;52;Amersfoort         ;8;Utrecht         ;2604;Eemland                                 ;9;Hollands/Utrechts weidegebied;3;West-Nederland ;35;Amersfoort            ;   NL3;West-Nederland ;NL31;Utrecht      ; NL310;Utrecht                            ;10;Harderwijk-Amersfoort           ;9;Utrecht                  ;26;Utrecht      ;4;Amsterdam       ;17;Eemland                ;7;Utrechtse Heuvelrug en 't Gooi          ;16;Eem en Vallei                  ;13;Oost-Utrecht                            ;16;Oost-Utrecht                            ; 201;    ;                              ;8;Amersfoort      ;8;Amersfoort      ;6;100 000 - < 150 000 inwoners;2;Sterk stedelijk     ;132851;2158
19;362;362;Amstelveen                        ; AVN;Amstelveen                ;13;Amsterdam       ;51;Amsterdam en omstreken    ;21;Amsterdam-Purmerend            ;23;Groot-Amsterdam                    ;64;Zuidelijk randgebied Amsterdam          ;13;Amsterdam         ;14;Amsterdam        ;35;GGD Amstelland - De Meerlanden    ;44;Amsterdam          ;10;Haarlem         ;2703;Amstelland en Aalsmeer                  ;7;Westelijk Holland            ;3;West-Nederland ;44;Amsterdam             ;   NL3;West-Nederland ;NL32;Noord-Holland; NL326;Groot-Amsterdam                    ;15;Zuid-Noord-Holland              ;13;Amsterdam-Amstelland     ;27;Noord-Holland;4;Amsterdam       ;20;Zuidelijk Noord-Holland;17;Overig Nederland                        ;21;Agglomeratie Amsterdam         ;16;Zaanstreek/Waterland/Amstelland/Meerland;23;Amstelland/Meerlanden                   ; 211; 232;Overig Groot-Amsterdam        ;10;Amsterdam       ;10;Amsterdam       ;5;50 000 - < 100 000 inwoners ;2;Sterk stedelijk     ;78866;2031
20;363;363;Amsterdam                         ; ADM;Amsterdam                 ;13;Amsterdam       ;51;Amsterdam en omstreken    ;21;Amsterdam-Purmerend            ;23;Groot-Amsterdam                    ;63;Amsterdam                               ;13;Amsterdam         ;14;Amsterdam        ;34;GG en GD Amsterdam                ;44;Amsterdam          ;9;Amsterdam       ;2706;Waterland en N.-Hollandse Droogmakerijen;8;Waterland en Droogmakerijen  ;3;West-Nederland ;44;Amsterdam             ;   NL3;West-Nederland ;NL32;Noord-Holland; NL326;Groot-Amsterdam                    ;15;Zuid-Noord-Holland              ;13;Amsterdam-Amstelland     ;27;Noord-Holland;4;Amsterdam       ;20;Zuidelijk Noord-Holland;16;4 grote steden excl. Noordzeebadplaatsen;21;Agglomeratie Amsterdam         ;15;Amsterdam                               ;19;Amsterdam                               ; 211; 231;Amsterdam                     ;10;Amsterdam       ;10;Amsterdam       ;8;250 000 inwoners of meer    ;1;Zeer sterk stedelijk;739104;5987
21;364;364;Andijk                            ; ADK;Andijk                    ;14;Alkmaar         ;6;Noord-Holland-Noord       ;26;Enkhuizen-Hoorn                ;18;Kop van Noord-Holland              ;54;Midden- en Oostelijk West-Friesland     ;11;Alkmaar           ;12;Alkmaar          ;28;GGD Westfriesland                 ;47;Hoorn              ;11;Den Helder      ;2705;West-Friesland en omgeving              ;7;Westelijk Holland            ;3;West-Nederland ;39;Enkhuizen             ;   NL3;West-Nederland ;NL32;Noord-Holland; NL321;Kop van Noord-Holland              ;14;Noord-Noord-Holland             ;10;Noord-Holland-Noord      ;27;Noord-Holland;4;Amsterdam       ;19;Noord-Holland Noord    ;3;IJsselmeerkust                          ;22;Westfriesland                  ;18;Kop Noord-Holland/West-Friesland        ;24;Kop Noord-Holland/West-Friesland        ; 262;    ;                              ;0;                ;0;                ;2;5 000 - < 10 000 inwoners   ;5;Niet stedelijk      ;6423;293
22;199;199;Angerlo                           ; AGO;Angerlo                   ;5;Arnhem          ;45;Gelderland-Midden         ;14;Arnhem-Doetinchem              ;15;Arnhem/Nijmegen                    ;26;De Lijmers                              ;6;Arnhem            ;7;Arnhem           ;19;Hulpverlening Gelderland Midden   ;14;Arnhem             ;7;Arnhem          ;2502;IJsselstreek                            ;4;Oostelijk Veehouderijgebied  ;2;Oost-Nederland ;26;Arnhem                ;   NL2;Oost-Nederland ;NL22;Gelderland   ; NL223;Arnhem/Nijmegen                    ;9;Arnhem en omstreken             ;7;Gelderland-Midden        ;25;Gelderland   ;2;Arnhem          ;11;Arnhem                 ;10;Achterhoek                              ;14;Arnhem/Nijmegen                ;10;Arnhem e.o.                             ;13;Arnhem e.o.                             ; 141;    ;                              ;0;                ;6;Arnhem          ;2;5 000 - < 10 000 inwoners   ;5;Niet stedelijk      ;5136;288
23;366;366;Anna Paulowna                     ; APA;Anna Paulowna             ;14;Alkmaar         ;6;Noord-Holland-Noord       ;27;Den Helder-Schagen             ;18;Kop van Noord-Holland              ;52;Overige gemeenten Kop van Noord-Holland ;11;Alkmaar           ;12;Alkmaar          ;27;GGD Kop Van Noord-Holland         ;48;Den Helder         ;11;Den Helder      ;2704;Texel en Land van Zijpe                 ;7;Westelijk Holland            ;3;West-Nederland ;37;Den Helder            ;   NL3;West-Nederland ;NL32;Noord-Holland; NL321;Kop van Noord-Holland              ;14;Noord-Noord-Holland             ;10;Noord-Holland-Noord      ;27;Noord-Holland;4;Amsterdam       ;19;Noord-Holland Noord    ;17;Overig Nederland                        ;23;Kop van Noord-Holland          ;18;Kop Noord-Holland/West-Friesland        ;24;Kop Noord-Holland/West-Friesland        ;    ;    ;                              ;0;                ;0;                ;3;10 000 - < 20 000 inwoners  ;5;Niet stedelijk      ;13953;432
24;Sint Anthonis;1702;Sint Anthonis                     ; SAS;Sint Anthonis             ;1;'s-Hertogenbosch;72;Noordoost Noord-Brabant   ;15;Nijmegen                       ;35;Noordoost-Noord-Brabant            ;119;Land van Cuijk                          ;7;Nijmegen          ;24;'s-Hertogenbosch ;54;GGD Hart voor Brabant             ;4;Boxmeer            ;18;'s-Hertogenbosch;3009;Maaskant en Land van Cuijk              ;13;Zuidelijk veehouderijgebied  ;4;Zuid-Nederland ;73;Boxmeer               ;   NL4;Zuid-Nederland ;NL41;Noord-Brabant; NL413;Noordoost-Noord-Brabant            ;11;Oostelijk Maas-Waalgebied       ;21;Brabant-Noord            ;30;Noord-Brabant;1;'s-Hertogenbosch;27;Noordoost Brabant      ;14;O.-Brabant, N.- en M.-Limburg, Nijmegen ;36;Noordoost-Brabant              ;27;'s-Hertogenbosch + Noordoost Brabant    ;40;Noordoost-Brabant                       ; 152; 352;Overig Noordoost-Noord-Brabant;0;                ;0;                ;3;10 000 - < 20 000 inwoners  ;5;Niet stedelijk      ;11843;220
25;200;200;Apeldoorn                         ; APN;Apeldoorn                 ;6;Zutphen         ;31;Noord- en Oost-Gelderland ;17;Apeldoorn                      ;13;Veluwe                             ;33;Apeldoorn                               ;5;Stedendriehoek    ;6;Stedendriehoek   ;14;GGD Regio Stedendriehoek          ;20;Apeldoorn          ;7;Arnhem          ;2501;Oostelijke Veluwe                       ;5;Centraal Veehouderijgebied   ;2;Oost-Nederland ;27;Apeldoorn             ;   NL2;Oost-Nederland ;NL22;Gelderland   ; NL221;Veluwe                             ;7;Apeldoorn en midden-IJsselgebied;6;Noord- en Oost-Gelderland;25;Gelderland   ;2;Arnhem          ;9;Stedendriehoek         ;8;Veluwe en Veluwerand                    ;11;Stedendriehoek                 ;9;Veluwe                                  ;11;Oost-Veluwe                             ;    ;    ;                              ;5;Apeldoorn       ;5;Apeldoorn       ;7;150 000 - < 250 000 inwoners;2;Sterk stedelijk     ;156000;1551
26;3;3;Appingedam                        ; APM;Appingedam                ;18;Groningen       ;34;Groningen                 ;1;Groningen                      ;2;Delfzijl en omgeving               ;2;Appingedam, Delfzijl                    ;1;Groningen-Drenthe ;1;Groningen        ;1;Hulpverleningsdienst GGD Groningen;57;Groningen          ;1;Groningen       ;2003;Oostelijke bouwstreek in Groningen      ;2;Veenkoloniën en Oldambt      ;1;Noord-Nederland;2;Appingedam/Delfzijl   ;   NL1;Noord-Nederland;NL11;Groningen    ; NL112;Delfzijl en omgeving               ;1;Groningen en omstreken          ;1;Groningen                ;20;Groningen    ;5;Leeuwarden      ;1;Noord Groningen        ;17;Overig Nederland                        ;2;Noord-Groningen en Eemsmond    ;1;Ommelanden                              ;1;Ommelanden                              ; 012;    ;                              ;0;                ;0;                ;3;10 000 - < 20 000 inwoners  ;4;Weinig stedelijk    ;12415;953
27;885;885;Arcen en Velden                   ; ACN;Arcen en Velden           ;4;Roermond        ;42;Noord- en Midden-Limburg  ;48;Venlo                          ;37;Noord-Limburg                      ;120;Noord-Limburg                           ;24;Noord-Limburg     ;26;Noord-Limburg    ;59;GGD Noord- en Midden Limburg      ;13;Venlo              ;19;Maastricht      ;3101;Noord-Limburg                           ;13;Zuidelijk veehouderijgebied  ;4;Zuid-Nederland ;76;Venlo                 ;   NL4;Zuid-Nederland ;NL42;Limburg      ; NL421;Noord-Limburg                      ;23;Noord-Limburg                   ;23;Limburg-Noord            ;31;Limburg      ;1;'s-Hertogenbosch;29;Noord Limburg          ;14;O.-Brabant, N.- en M.-Limburg, Nijmegen ;38;Noord-Limburg                  ;29;Noord-Limburg                           ;41;Noord-Limburg                           ;    ;    ;                              ;0;                ;0;                ;2;5 000 - < 10 000 inwoners   ;5;Niet stedelijk      ;8870;331
